year;MLABIL01_;MLABIL02_;MLABIL04_;MLABIL06_;MLABIL07_;MLABIL10_;MLABIL11_;MLABIL13_;MLABIL14_;MLABIL16_;aver
1931;635.7325439;504.3933716;332.741394;791.8057251;358.5133362;620.9916992;436.9414063;538.3806152;548.8253784;442.3231201;521.064859
1932;744.2660522;643.583374;452.7276611;689.3513794;461.8926086;649.3898315;536.2419434;614.8939209;534.5419312;529.0484619;585.5937164
1933;471.9106445;468.2262573;394.7846069;598.1828003;323.375946;700.689209;381.1508179;442.2153015;369.8398438;426.9219055;457.7297333
1934;462.9453735;406.2406311;326.7277527;513.44104;259.2296448;534.74646;371.306488;394.617981;310.8151245;380.3933105;396.0463806
1935;616.3126831;560.9974365;432.6456909;682.8738403;407.6999512;589.130127;477.587677;595.9179077;518.0010376;459.4894409;534.0655792
1936;644.435791;566.0263672;500.9745483;558.8054199;389.6616821;474.0199585;536.6340332;545.234436;553.6790771;518.7147217;528.8186035
1937;563.8388672;702.409668;504.0970764;773.3364258;378.8435059;622.8605347;511.4570923;565.1676025;612.7449951;615.2479858;585.0003754
1938;597.8632813;477.3859863;350.2538147;579.6065674;313.2107544;429.6228333;409.1407776;496.1085815;420.3071289;415.772583;448.9272308
1939;580.9060059;371.9594727;439.8782349;603.3364258;399.9667358;516.8616943;513.7197266;325.8398743;408.0076599;474.8876648;463.5363495
1940;630.8409424;574.8610229;497.12323;675.5045776;413.8014221;594.479187;526.0021973;436.7187195;446.9798584;524.1912231;532.050238
1941;571.8356323;688.574585;449.6334534;770.2562866;384.5736694;489.6707153;495.4487;532.7310181;670.4006958;654.3322754;570.7457031
1942;653.6891479;571.5262451;579.3544312;656.0137329;417.5614319;497.2810669;536.5707397;606.5375977;778.2653198;606.0518799;590.2851593
1943;692.9273682;506.9541016;551.425293;795.4979248;450.2427063;549.0334473;552.4223633;542.0699463;751.6056519;522.8051758;591.4983978
1944;593.9417114;566.2739868;539.6567383;723.4024658;551.2959595;549.7896118;582.0859985;589.3591309;548.1251831;582.0422363;582.5973022
1945;573.984314;449.05896;475.2296143;23.64029503;521.0134888;535.5568848;477.4176331;502.4161987;572.0703735;658.9737549;478.9361517
