year,MaxLABIL01_,MaxLABIL02_,MaxLABIL04_,MaxLABIL06_,MaxLABIL07_,MaxLABIL10_,MaxLABIL11_,MaxLABIL13_,MaxLABIL14_,MaxLABIL16_
1915,2481.494140625,2081.198974609375,2399.225341796875,1603.5111083984375,1973.676025390625,2435.8759765625,1816.8658447265625,1975.5361328125,2199.651123046875,2023.17626953125
1916,2464.1318359375,2489.479248046875,2470.352294921875,1840.686767578125,1868.6112060546875,2092.8857421875,2036.576416015625,2248.810302734375,2466.023681640625,2102.9521484375
1917,2473.005859375,2380.43505859375,2365.623046875,1855.6229248046875,1681.083740234375,2488.88427734375,2298.572021484375,2307.0419921875,2120.82177734375,2245.892822265625
1918,2485.826171875,2308.8857421875,2377.578369140625,1750.425048828125,1949.9603271484375,2478.978515625,2044.8626708984375,2351.471435546875,2022.590576171875,2087.374267578125
1919,2465.47314453125,2140.3359375,2271.835693359375,1449.8251953125,1599.2464599609375,2322.61767578125,1876.0137939453125,1918.5089111328125,1884.1065673828125,2352.15625
1920,2494.73193359375,2207.402099609375,2336.791259765625,1500.7615966796875,1448.3460693359375,2298.3828125,2018.8829345703125,2221.284423828125,2251.623779296875,2247.965576171875
1921,2391.29736328125,2249.81201171875,1839.2060546875,830.3026123046875,1625.788330078125,1760.75732421875,1561.85888671875,1708.3505859375,1911.5079345703125,1803.2703857421875
1922,2425.6259765625,2493.007568359375,2295.92919921875,1491.7547607421875,1697.24755859375,2402.777099609375,1979.902587890625,2179.690673828125,2189.649658203125,2081.26611328125
1923,2476.015625,2421.300537109375,2254.757080078125,1706.887451171875,1619.23779296875,1994.7650146484375,2005.99267578125,2228.46044921875,2443.872802734375,2191.9111328125
1924,2373.85498046875,2449.177734375,2267.20703125,1548.470703125,1677.7564697265625,2045.322021484375,2247.954833984375,1997.2978515625,2375.927490234375,2326.928466796875
1925,2487.326416015625,2414.3076171875,2483.4775390625,2235.867431640625,1898.1153564453125,2171.10009765625,2296.232666015625,2229.777587890625,2252.37939453125,2416.634033203125
