year,KhBIL01_,KhBIL02_,KhBIL04_,KhBIL06_,KhBIL07_,KhBIL10_,KhBIL11_,KhBIL13_,KhBIL14_,KhBIL16_
1951,5.028028140551709e-8,1.4189580825632576e-8,1.5175318926111917e-8,7.724010260851375e-9,1.4056797015209384e-8,9.034315350120663e-9,1.6734446231565556e-8,1.3579087479195872e-8,9.9292810180028e-9,1.3491976996104903e-8
1952,8.099960090435952e-8,1.5249738849493512e-8,2.7325876278718484e-8,1.0805276262327254e-8,1.629126519826699e-8,1.671449724525754e-8,1.2126069353436309e-8,1.2966254489139893e-8,1.4653443054897538e-8,1.843387720152185e-8
1953,5.1582698861107236e-8,1.8599478860114223e-8,3.603054776750368e-8,1.2818953408824871e-8,1.4524772563558086e-8,1.3014523158112447e-8,2.0584104877982146e-8,7.592399422112087e-9,7.947614651942002e-9,2.1780821605491494e-8
1954,3.1435823598118966e-8,8.04695422874776e-9,1.0928088894940607e-8,5.753677709609011e-9,8.261980597920005e-9,6.824412454458207e-9,1.1089002732247603e-8,2.875978747886647e-9,8.2131482752569e-9,9.600332680936117e-9
1955,5.580725196958572e-8,1.5231121867410953e-8,2.011382068167007e-8,1.103144858506627e-8,9.272951446408299e-9,1.4195058847035354e-8,1.6350345637643086e-8,5.661164453624134e-9,9.000691226200603e-9,1.688862611233261e-8
1956,7.984863892641852e-8,2.7255136220385484e-8,3.981238431742589e-8,1.5223247641002452e-8,1.5868845508642952e-8,2.02510768261638e-8,3.0693033448495736e-8,1.1586911400482405e-8,1.694687768961811e-8,2.8604379031715164e-8
1957,6.908798674972218e-8,1.6909415559580232e-8,3.4167368887131165e-8,1.0794807806813068e-8,1.6598110286637156e-8,2.001300998831173e-8,3.456551334247886e-8,8.029738218770846e-9,1.5488988439533248e-8,1.9653445098970258e-8
1958,1.185158421122323e-7,2.635123406781769e-8,5.838407791432767e-8,1.9521020204716703e-8,2.372374109144293e-8,2.7259779222687913e-8,3.0017689096470794e-8,1.6129492507488835e-8,2.2940797629623004e-8,3.8462374458769645e-8
1959,4.89562577577502e-8,1.5467217574818106e-8,3.010498512870672e-8,1.1389642213496401e-8,2.0032636351053825e-8,1.6868234988899903e-8,2.573654260154466e-8,1.216129286714818e-8,5.226870475372966e-9,2.3538949558272808e-8
1960,6.012137983842835e-8,1.6425759944179133e-8,3.468135330703426e-8,2.2423129658926735e-8,2.2592346159847974e-8,3.1316539428667516e-8,2.505039801961269e-8,2.045099911564974e-8,2.0264165834637843e-8,3.199609625147711e-8
1961,2.7007398822750666e-8,6.947861478743507e-9,7.316892658757691e-9,6.961715116902486e-9,1.0017947997823874e-8,1.306574556271603e-8,1.4227914979451746e-8,5.0499447528516434e-9,5.3892202355887736e-9,7.593664184652773e-9
1962,3.187149692751646e-8,1.6820503353699157e-8,5.9225012673252336e-9,1.0872472229241557e-8,1.4594616441816828e-8,1.689615026837575e-8,2.444102231666978e-8,6.592887385514378e-9,5.078225665291142e-9,1.3561727092192353e-8
1963,3.958894837853746e-8,1.2109420274928885e-8,1.1993883389282971e-8,2.0540676957502826e-8,1.463689577549829e-8,1.4333040097780085e-8,2.4021705849610363e-8,9.097367759073775e-9,9.977125600378863e-9,1.2411123626139198e-8
1964,6.964688107639601e-8,1.5782856391588976e-8,4.516479039550739e-8,1.8711471583979897e-8,1.52737855070275e-8,3.113164447987649e-8,5.129281729892742e-8,2.0632812431165234e-8,1.3008693608166522e-8,2.3373139346208837e-8
