year,RABIL01_,RABIL02_,RABIL04_,RABIL06_,RABIL07_,RABIL10_,RABIL11_,RABIL13_,RABIL14_,RABIL16_
1908,2.2958206519709137,1.864317537609736,3.2007577917032393,0.7876435314034751,1.4203641318923417,1.9636138345648249,2.043486644685373,2.073048586757835,1.7242616981422856,1.5635189994764431
1909,1.796518051245485,0.7674488001545541,0.8660264070685031,0.3281173890958087,0.758550578466469,1.684034840584431,1.206276270327507,0.8513564632827553,1.2669813296794814,0.630278820989929
1910,2.272514060218896,0.9305064413398583,1.5021615123194891,0.403296638386621,1.2280191094373265,1.619585041707083,1.2792941194746845,1.1206611356828518,1.2763360758387279,1.10894638568017
1911,3.894869481433801,2.5014889525922683,1.612506186891295,1.112540084363573,1.6567560572837579,2.1076103063374916,2.7260994742980813,2.184086562116221,1.904352322797351,1.7732062161025368
1912,3.1170651068467947,2.0714151490856807,2.892189850430128,0.769806606992887,1.7871163196800097,1.984082157590123,2.248861193055845,1.5482260097749787,2.3587798713740824,1.9845397106139728
1913,1.4658191595163998,1.470074498411634,1.348018562615593,0.5052655192661462,1.018994257517761,2.016381375022547,1.7477790167578178,0.8781135526353978,2.254205868432109,1.1133104929889583
1914,3.706427859273873,3.108876012073466,3.375227712044193,1.44045435112902,1.8309514560311158,2.324887783543062,2.595397768102316,2.1071711922211165,3.2478246352226563,2.022499307375483
1915,3.2182779265981196,2.018771909542764,4.083794018728156,0.940447001160905,1.578907627857987,2.10849704937651,1.6802653490732666,1.5972823407223586,2.3621966296260837,1.1038037345165463
1916,3.9383174205042195,3.0834230026119513,4.087726006256133,1.0575226541586744,1.7907975225976571,2.115085029583284,2.770865030614104,2.3063674320645475,2.807319045944624,2.3688011636449744
1917,2.6053777479038303,2.0728965460516804,1.9804931144709172,0.6949691310982615,1.1853219812559246,2.946026110388246,2.0789798023718475,2.0127220923370572,2.3534146387177657,1.6571582606516273
1918,3.4670289254498385,2.4526669417940354,2.630276439187682,1.1081894389988491,1.4970618665620066,2.8060894800560163,2.5655971047340245,2.762883212957888,3.576308618139336,2.5059824262094565
1919,2.42265475415212,1.3852028115882575,2.5850033774227796,0.6394945679332835,1.2226637020891786,1.8734469726806537,1.4601885027599764,1.4358824320488282,2.043487757899527,0.7675669637030609
1920,2.421843606834557,1.3533912924557683,2.4811182684452433,0.6313787036751961,1.261651222617587,1.1974602638524772,1.5593485305837618,1.4386787881251308,1.9173934963761496,1.5454008028824546
1921,1.9895931885140783,0.6779561397472378,0.6126169422626475,0.17248433331243973,0.7103721564122907,1.2091695116876195,0.7538829806981937,0.7874200212559685,0.7556757807093248,0.4952104627800935
1922,3.0689142984461597,1.3253506868617961,1.5738855234648383,0.6480752815699447,1.4785253854859377,1.7420030035370786,1.204377138989912,1.6887919744695097,1.8506577126282906,1.0934283100890383
1923,5.64497392798684,1.9028416402535129,3.7529928710738574,1.1681384647203004,1.685071974093944,2.1186240564410213,2.2027219746173756,2.7569559773238552,2.3892188309342686,1.5430473130987536
1924,4.4954677057898635,1.9394927609052814,4.352543288820726,1.2156170005423945,1.6818756353986117,1.8198489825910116,2.178451125845484,2.2285416600826977,1.842673780121629,2.3991750456674765
1925,5.115004872674604,2.0379550586238366,5.573237087884976,1.0794297625938185,1.881804319019011,1.7151922892118705,2.2124154652510555,2.3349463825054926,1.531710855508237,2.174904362498708
1926,3.1322302750050994,1.4048130461866037,2.89555527293399,0.8027112654839073,1.5970609043140627,1.9693252279006117,2.16754169903065,1.6812677582605318,1.2768110862873812,1.513871935175402
1927,3.283822157123126,1.3949788830866652,2.599804398275438,0.8699229391417589,1.464071897732154,1.7954780407817452,1.7041106929995635,1.7554813269363194,1.3234010736183706,1.7187383243470862
1928,4.150592597045602,1.0400856203504674,2.4160924997099897,1.141766651150931,1.7970324233077548,2.133862488888198,1.870361157474477,2.192926471743064,1.3649270527271682,1.582961407301724
1929,5.375119251865243,1.787696974682433,4.724037347942485,1.661691187016288,2.2429006822496973,3.815034624721406,2.9114831999792017,3.7980331426293077,2.695633884536946,2.4039231763181164
1930,4.002796543903642,1.4738219226143912,3.2076968679477176,1.783575203551905,2.0785460411346435,2.39804364569153,2.349259332852526,3.6585168611227203,2.022305399331799,1.8212281682138638
1931,5.34757159641272,1.6232654531043096,3.605021292858723,1.8246364706628668,2.2661882129832094,2.015101581399847,3.059552504133194,3.168684580085113,2.350194436011293,2.5160288884117676
1932,6.0683089842876825,1.4053389475464826,3.9712160036443294,1.9392767413473564,1.8654778990720047,1.9297363966961711,2.494416217640776,4.131883620742997,2.414458128326345,2.8881031091851668
1933,4.819884983422526,1.3400270653013564,2.9804631491984566,1.4894336850786232,1.6573752715659964,1.238622601551839,2.0957091713985108,2.8795885270669714,2.422459307299306,2.2882669540855147
1934,2.4301152563703283,0.9590262529447955,1.6534192272906836,0.9920601437214742,1.177690888806481,1.6232339047762139,1.5971712293906108,1.9975291898348218,1.4132074916393833,1.4670265573892323
1935,3.8981395574021462,2.2073787664854763,3.642759136132426,1.7477427968286463,2.3727353329163634,1.3656344530117508,3.166508376470162,2.6324749087078203,2.0402777108263876,2.578697568672112
1936,2.091127011807501,0.7179353586153496,2.2715664053166478,0.9510685895595259,1.0923415872073008,1.3095809988922724,2.2684949564395964,0.6904287249100065,1.026796490902072,1.1406085709347025
1937,3.403763025818975,1.5702401482644035,3.2987899960263007,1.7514273741079194,1.6995540308707149,1.3184700971370944,2.8356221158196178,1.7124504556696252,1.4538618383270858,2.2815901043515368
1938,4.471116863990133,1.513502661380187,3.1956926073355163,1.4688836308956468,1.650256942044237,1.2921662773923401,2.2201645564170605,1.4024242080653977,1.2452355930465728,2.3746986193164474
1939,3.8747749351897482,1.9846325220387087,4.001186316164365,2.118094118563036,2.22486045430999,2.0476393209558097,2.7408955569450058,3.185942844100339,2.688301751541104,2.648163744926947
1940,3.564389567794521,2.3452689925914854,4.12789906577018,2.187409935400524,3.2012838380030644,3.0563921565502454,3.616483702494918,4.82659828359354,2.855457254673979,3.181209621276764
1941,4.561005858697399,2.445639343286075,3.841518205490331,2.49956683663936,3.1703138319530524,2.3086535336976652,4.008641582822577,4.620133925008844,2.255668888729417,3.9547049423382674
1942,2.9594748791986234,1.5263931845233856,2.0883566151492516,1.5609781996784875,2.123243845239003,2.0251925528052794,2.8691931858144812,2.1830846405168387,2.3674754890558063,2.3389695913588326
1943,3.8293137071872394,2.2155601656466075,2.788185276667022,2.0635365014875333,2.6008081172517166,3.2470970914307884,3.5824330012166996,2.922205443654633,1.7930797109762864,3.4514154567807367
1944,3.9991405115075054,2.4596014785393407,3.3578055034403747,2.7832336975371703,3.2825939146383973,2.9342947645138793,3.7176001947147768,3.3490652803325247,1.655240885086144,2.939192505217534
1945,3.409964931754388,2.29632310828147,2.121669609537136,0.5404327773943862,2.7529029811271784,2.6526215300588802,2.378044294693453,2.2917047863141704,1.571814926485743,2.0983797831854503
1946,2.225537891478453,1.108762310120909,1.111219029334876,1.1472868191824404,1.8898623041917233,1.8851671648490083,1.6915771368031045,1.29353829087664,1.038097165176552,1.10857841571665
1947,3.8924688840685207,1.927600479061681,2.606611656093179,2.5459743089879225,2.2799617733013946,2.5520362574477815,2.458728671394965,2.7783787413632126,2.2184860346173565,2.104333143036854
1948,4.78668436047154,1.8661864400787067,3.1870670828268004,2.455757891092304,2.430894514218764,2.411157990951139,2.4827394374614897,2.804363991540228,2.140952318701295,2.5343649383707145
1949,4.787724016092568,1.0209451899165032,1.553163091599444,1.3631109535751307,1.5935564352820393,1.6396484133355784,1.5375311214541512,1.7665659933817892,1.3412882767566288,1.7091608501199715
1950,2.5778635114834856,0.41294901658568506,0.3393666105344124,0.44475447958154746,0.7370920518849147,0.8817437282809237,0.6869304415220228,1.3296755716455095,0.7221873438487023,0.5209122555252463
1951,3.6968887466033067,1.128680129022186,1.4980483878255058,1.2730114832551607,1.6344086674322114,1.0307385386535657,1.5188833936320805,1.7446977779900834,1.5262952685115607,1.4484195480015103
1952,4.589551709332838,1.0505253892361708,2.4978133666799778,1.4602998292300953,1.8778255350175357,1.6255551491650522,1.8434407028268538,1.992741417051704,2.236716909880485,1.7080881495894857
1953,2.9711512381489626,1.2301378480357812,2.97474911208613,1.3393654982127856,1.50172484814874,1.3618031661630283,1.818922234512769,1.6612779910574034,1.3925728468618672,1.6582638156002076
1954,1.5791551291254677,0.5253633321807598,0.8227652552124738,0.6177846817115551,0.7626095035508911,0.6028538776037351,0.8719048650164325,0.49826118779758133,0.8202792420210017,0.7735889161544662
1955,3.000366227972563,0.8600647898961995,1.3105234014447404,1.261886039951861,0.8652094527829917,1.083905395417304,1.3726254971202962,0.8630779877910726,0.8244810144108783,1.3176354443237983
1956,4.78575249681991,1.6446430426447876,2.3583518799514422,1.901904302375911,1.6247031801707408,1.5779650057918246,2.3720489074192557,1.9064381002580433,1.550369333906687,1.9943461155054933
1957,3.387724768202233,0.9344449599365703,1.590823893879275,1.3130607114673012,1.4632793604385483,1.4119326089522133,2.252171934738641,0.8711887400734071,1.3155543706555335,1.3726998999809155
1958,5.718794221115175,1.5485744189926436,2.998291747484757,2.6968065252655293,2.1806993133880894,1.8735287053803233,2.642840045103796,2.0529982414739862,2.097482592045992,2.6483589403228933
1959,2.7078665399560435,0.8464837599922816,1.6168275913385628,1.615075254573327,1.6490971084060533,1.303401879528792,1.9299107469777539,1.2465124024150498,0.8470525048003026,1.5179850421197898
1960,3.7421093151290705,1.267874533472309,2.073643513543132,2.416314085884352,2.0037605400304273,2.192516336022692,2.770174780430409,2.501585614451187,2.092885733710787,2.3165544771370037
1961,1.6730850181471624,0.4828057708412672,0.4456489193682529,0.7406888321829683,0.7658600617442346,1.1325690180095052,1.5680599830197224,0.5626327098865147,0.7292260552583798,0.6224710690798645
1962,1.9562474515657442,1.0521261012844434,0.3758158056251517,1.332810295949443,1.4432263495146174,1.3148247194998106,2.0093693738105003,0.7935563690808749,0.8261746137646213,0.9515801683772906
1963,2.4502499650208875,0.8255693943294347,0.7766412931617452,1.7983730699745308,1.5446935494328642,1.2014253153728447,2.024466289361655,1.1046839718527366,1.1696266756829772,1.1006064830439044
1964,3.606464767362695,1.169481522559579,2.578269308541536,2.541174048623475,1.7220679272688812,2.189002179003225,3.552381746075625,1.9597282273739864,1.681376632174448,2.189031326718947
1965,2.8668752304968876,0.7480891508023717,1.8034859341514107,1.3232383132791057,1.376646903364275,1.1912412567451582,1.9692717859654891,1.3126956109936856,1.0572227615909355,1.3359876261888246
1966,2.554744582726599,0.8428253635233887,0.9480623429978436,1.2958364933130184,1.3345239759643448,1.4173261575983958,1.824453685206322,1.064444328055032,0.7878789551671161,1.262265735840188
1967,2.4905971883140268,0.8330910632841437,1.1116153941343612,1.3315883211900257,1.503923665301457,1.1759748562820818,1.417934653436447,1.0727604481511719,1.1057345382835422,1.0494231121714535
