year,RAOIARBIL01_,RAOIARBIL02_,RAOIARBIL04_,RAOIARBIL06_,RAOIARBIL07_,RAOIARBIL10_,RAOIARBIL11_,RAOIARBIL13_,RAOIARBIL14_,RAOIARBIL16_
1927,0.9904982447624207,0.9093893766403198,0.9686917662620544,0.9190139770507812,0.9667998552322388,0.990572452545166,0.9618768692016602,0.9812555909156799,0.9241178035736084,0.9906169772148132
1928,0.9904288649559021,0.9905558824539185,0.9228774905204773,0.9304682612419128,0.9834957122802734,0.9902017116546631,0.9730334877967834,0.9903650283813477,0.948943018913269,0.9903457164764404
1929,0.9757437109947205,0.9907082915306091,0.8740677237510681,0.8321020603179932,0.9176781177520752,0.9190524220466614,0.9251082539558411,0.9904897809028625,0.9384523630142212,0.9907994270324707
1930,0.9905828833580017,0.9880006909370422,0.9878404140472412,0.8812827467918396,0.9784236550331116,0.9907041192054749,0.9343470931053162,0.9880542755126953,0.9293746948242188,0.9906283617019653
1931,0.990445613861084,0.9289670586585999,0.9306820631027222,0.7291890978813171,0.9638307690620422,0.990261971950531,0.955721378326416,0.9820050597190857,0.9372540712356567,0.9761763215065002
1932,0.9906224608421326,0.9909871220588684,0.8680379390716553,0.8292007446289062,0.9777030944824219,0.9911471605300903,0.9102268218994141,0.97153639793396,0.814076840877533,0.9398590326309204
1933,0.984305202960968,0.9909008741378784,0.9899458885192871,0.6527903079986572,0.98207688331604,0.9014398455619812,0.9259232878684998,0.9373104572296143,0.8358631134033203,0.9349991083145142
1934,0.9620219469070435,0.9899630546569824,0.9903223514556885,0.6728024482727051,0.9688381552696228,0.6408149600028992,0.9902944564819336,0.9772015810012817,0.9113768935203552,0.9394408464431763
1935,0.9844755530357361,0.9438005685806274,0.9806811809539795,0.8079442977905273,0.957525372505188,0.9800127744674683,0.9737779498100281,0.9813167452812195,0.9580358266830444,0.941379725933075
1936,0.990430474281311,0.9302790760993958,0.9675890207290649,0.8592547178268433,0.9650111198425293,0.7912203073501587,0.9459206461906433,0.9779281616210938,0.9418531656265259,0.956421971321106
1937,0.9623804688453674,0.920712411403656,0.9544597268104553,0.6358839273452759,0.9513649344444275,0.986778199672699,0.8841633796691895,0.9755370616912842,0.8023777604103088,0.8549994230270386
