year,CWTleBIL01_,CWTleBIL02_,CWTleBIL04_,CWTleBIL06_,CWTleBIL07_,CWTleBIL10_,CWTleBIL11_,CWTleBIL13_,CWTleBIL14_,CWTleBIL16_
1880,3.767961025238037,4.784121513366699,4.229110240936279,4.007420063018799,4.661278247833252,3.8779075145721436,3.6616568565368652,3.3438291549682617,4.265386581420898,4.021626949310303
1881,5.329744338989258,4.302450180053711,3.798815965652466,3.4711296558380127,4.454669952392578,3.48343825340271,3.375258684158325,3.150620698928833,3.14790415763855,3.3064184188842773
1882,3.995605945587158,4.890886306762695,4.618387699127197,4.633708953857422,5.52286434173584,4.364597320556641,4.230515003204346,4.066183567047119,4.270034313201904,4.382312774658203
1883,3.980168104171753,3.6386842727661133,3.9966681003570557,3.29685115814209,3.822751760482788,3.884556770324707,3.3007795810699463,3.5925228595733643,3.7138326168060303,3.4620606899261475
1884,3.4644668102264404,3.8163585662841797,3.442908525466919,3.615567445755005,4.116487503051758,4.185636043548584,3.3022162914276123,3.5951714515686035,3.396484613418579,3.561234712600708
1885,3.3923165798187256,3.0631227493286133,3.0819201469421387,3.2126553058624268,3.6944899559020996,3.9159560203552246,3.5026822090148926,3.5738086700439453,3.288539409637451,3.393298387527466
1886,2.8915088176727295,2.806373357772827,2.9513542652130127,2.9746882915496826,3.4090657234191895,3.501370668411255,3.519792079925537,3.1844818592071533,2.86864972114563,3.1276800632476807
1887,4.10983419418335,4.036306381225586,3.3739383220672607,3.506108045578003,3.668506622314453,4.4007487297058105,4.512754440307617,4.005605697631836,3.7610409259796143,3.423783779144287
1888,3.405944347381592,4.360013961791992,3.4100098609924316,4.248344898223877,4.76026725769043,3.7221832275390625,4.334719181060791,3.93074369430542,3.4976773262023926,3.596318006515503
1889,5.676476955413818,3.640716552734375,3.339439868927002,3.6953721046447754,4.591508388519287,3.9102606773376465,4.271829605102539,3.5570809841156006,3.743385076522827,3.5665721893310547
1890,3.4295103549957275,3.4177944660186768,3.47579288482666,3.6475989818573,3.96650767326355,3.8815882205963135,4.197028160095215,3.499154806137085,3.484381914138794,3.6184351444244385
