year,DhBIL01_,DhBIL02_,DhBIL04_,DhBIL06_,DhBIL07_,DhBIL10_,DhBIL11_,DhBIL13_,DhBIL14_,DhBIL16_
1893,32.963111877441406,29.5043888092041,28.987266540527344,22.886844635009766,28.83766746520996,27.034109115600586,26.236923217773438,26.729089736938477,29.06456756591797,25.471202850341797
1894,34.25172424316406,29.679136276245117,33.13019561767578,27.505802154541016,30.373998641967773,30.532981872558594,28.006444931030273,27.05811882019043,30.894264221191406,28.335037231445312
1895,31.362476348876953,27.976694107055664,29.292848587036133,25.49938201904297,28.781625747680664,30.665325164794922,26.353763580322266,26.88066864013672,30.749889373779297,26.69911766052246
1896,32.884117126464844,28.17430877685547,32.228031158447266,27.81345558166504,30.598207473754883,29.582592010498047,26.99418067932129,27.03298568725586,30.663597106933594,28.75338363647461
1897,32.997230529785156,28.958858489990234,32.72856903076172,27.20489501953125,30.621356964111328,29.818593978881836,28.071802139282227,26.330095291137695,32.2968864440918,29.490446090698242
1898,35.73505401611328,30.4266357421875,34.291141510009766,29.33722686767578,30.782318115234375,31.492687225341797,29.0284423828125,28.215009689331055,32.63690185546875,30.370609283447266
1899,35.20487976074219,30.75758171081543,33.761474609375,27.737449645996094,31.74962043762207,29.783376693725586,29.84346580505371,29.820613861083984,34.31884765625,31.762014389038086
1900,36.75608444213867,31.168094635009766,34.4911003112793,29.573423385620117,31.70279884338379,31.43259048461914,30.290945053100586,29.333322525024414,33.899620056152344,32.48452377319336
1901,37.396018981933594,33.357112884521484,35.26747512817383,31.239410400390625,32.608489990234375,31.90935707092285,27.471858978271484,30.647401809692383,33.929203033447266,31.5711612701416
1902,36.04233169555664,34.55103302001953,35.41788101196289,30.579864501953125,33.453792572021484,31.107084274291992,29.299467086791992,28.452085494995117,33.1363525390625,30.872766494750977
1903,32.8038444519043,34.56198501586914,32.1794548034668,30.6796817779541,31.978317260742188,31.72569465637207,29.776355743408203,32.31043243408203,32.01034927368164,29.876834869384766
1904,33.70045852661133,35.27033615112305,34.78041076660156,31.562454223632812,32.26852035522461,32.5349006652832,31.30622673034668,31.81334114074707,33.81083297729492,30.89915657043457
1905,33.139766693115234,33.171504974365234,33.76095199584961,28.21431541442871,32.009334564208984,31.93902015686035,28.855308532714844,30.786991119384766,33.1245231628418,28.112384796142578
1906,36.60445022583008,35.826778411865234,36.00255584716797,30.457073211669922,33.521114349365234,34.80645751953125,31.147083282470703,34.57773971557617,34.7557487487793,32.219078063964844
1907,37.757049560546875,35.9428825378418,34.853816986083984,30.38702392578125,32.38004684448242,34.145450592041016,31.180389404296875,35.61151885986328,33.73048400878906,31.603700637817383
1908,34.30706787109375,33.340431213378906,32.627864837646484,30.411842346191406,32.168155670166016,29.886796951293945,30.19240379333496,33.72462844848633,34.16445541381836,30.617725372314453
1909,35.99890899658203,32.756385803222656,31.916908264160156,27.059425354003906,31.697341918945312,32.59252166748047,30.619295120239258,32.62993240356445,35.49032211303711,28.398723602294922
