year,MRadDistBIL01_,MRadDistBIL02_,MRadDistBIL04_,MRadDistBIL06_,MRadDistBIL07_,MRadDistBIL10_,MRadDistBIL11_,MRadDistBIL13_,MRadDistBIL14_,MRadDistBIL16_
1942,5498.3671875,8974.5546875,3401.5546875,12686.2265625,6673.890625,9881.4921875,8067.453125,5518.859375,1009.5625,6101.8203125
1943,6580.03125,9600.0703125,4189.8125,13269.9296875,7409.765625,10797.9375,9080.7265625,6343.875,1516.4609375,1716.453125
1944,7711.7421875,10287.3984375,5138.8671875,14062.0390625,8339.421875,11631.0703125,10128.859375,7290.3359375,1986.0390625,2547.4453125
1945,8678.1640625,654.5,5738.3671875,157.9453125,9118.46875,12381.3203125,1329.796875,7940.0078125,2428.90625,3140.6796875
1946,9305.5703125,968.0625,6052.5625,482.2734375,539.21875,12914.5234375,1808.3046875,8306.46875,2722.703125,3454.0625
1947,10407.28125,1513.1953125,6789.4921875,1201.7265625,1183.8203125,2359.2578125,2503.53125,9093.9375,3350.328125,4049.28125
1948,11761.328125,2040.859375,7691.8515625,1896.265625,1870.984375,3040.84375,3205.71875,9886.0234375,3956.3203125,4766.671875
1949,2841.6875,2329.4921875,8132.6640625,2281.4296875,2321.84375,3504.03125,3639.890625,10385.109375,4335.015625,5249.6171875
1950,3571.8046875,2446.3046875,8227.8515625,2407.25,2530.203125,3753.2109375,3834.7421875,10760.5625,4539.5234375,5397.6640625
1951,4616.4765625,2766.171875,8651.3984375,2767.171875,2992.078125,4044.5546875,4264.0546875,11253.515625,4971.5234375,5807.34375
1952,5914.8203125,3062.1484375,9357.46875,3179.90625,3522.6953125,4504.3984375,4785.0390625,2675.3515625,5603.2265625,6291.1640625
1953,6755.671875,3409.6875,10198.671875,3558.7109375,3947.84375,4889.1796875,5299.2734375,3145.4765625,5994.703125,6759.8359375
1954,7201.6953125,3558.3359375,10432.0234375,3733.0234375,4163.609375,5059.5078125,5545.75,3286.1953125,6226.9296875,6977.78125
1955,8050.859375,3802.078125,10801.453125,4089.3984375,4408.796875,5365.65625,5933.90625,3530.484375,6459.8046875,7349.5234375
1956,9404.03125,4266.84375,11470.6484375,4627.875,4869.171875,5811.171875,6604.4921875,4070.1875,6898.8828125,7911.9609375
1957,10362.9453125,4531.1484375,1776.453125,4998.34375,5283.3671875,6210.7734375,7241.0234375,4316.7578125,7271.8359375,8300.9765625
1958,3870.34375,4968.8984375,2623.796875,5760.578125,5900.3515625,6742.1171875,7986.796875,4897.09375,7864.2421875,9048.6640625
1959,4636.4140625,5208.4609375,3080.78125,6215.4453125,6364.8671875,7109.125,8532.7890625,5249.890625,8103.9140625,9476.4609375
1960,5695.375,5567,3667.109375,6898.3984375,6930.890625,7731.2578125,9314.140625,5957.0703125,8695.5234375,10130.7890625
