year,RCTA*BIL01_,RCTA*BIL02_,RCTA*BIL04_,RCTA*BIL06_,RCTA*BIL07_,RCTA*BIL10_,RCTA*BIL11_,RCTA*BIL13_,RCTA*BIL14_,RCTA*BIL16_
1891,55.05276870727539,42.15616226196289,52.99174118041992,42.725040435791016,40.10112762451172,45.10002517700195,35.18865203857422,42.73884582519531,38.67822265625,39.48781967163086
1892,55.51559066772461,47.737998962402344,54.06063461303711,45.40238952636719,43.9869270324707,47.3832893371582,37.3180046081543,43.62262725830078,55.01595687866211,48.768646240234375
1893,55.04244613647461,48.42532730102539,50.52510452270508,37.73015594482422,46.37736511230469,42.98943328857422,39.21218490600586,36.20968246459961,23.821401596069336,43.4786491394043
1894,54.68620300292969,41.208351135253906,51.10515594482422,39.066734313964844,44.139827728271484,43.3314094543457,30.591407775878906,38.58597183227539,23.92143440246582,41.33488845825195
1895,46.376129150390625,42.20033645629883,47.458805084228516,33.556949615478516,39.73360061645508,47.40766143798828,28.166645050048828,38.04774475097656,46.630462646484375,33.4710693359375
1896,53.2006950378418,46.693355560302734,54.98333740234375,39.38688659667969,48.995059967041016,47.59555435180664,34.896812438964844,40.555809020996094,42.83158874511719,44.917213439941406
1897,51.07887268066406,39.8076171875,53.779693603515625,37.17420196533203,40.90803909301758,33.76884841918945,33.81297302246094,33.81534194946289,42.03300094604492,41.80219268798828
1898,54.10606002807617,44.30475616455078,52.785762786865234,44.09892654418945,41.376712799072266,33.610870361328125,34.30666732788086,37.36419677734375,53.58058547973633,43.8785514831543
1899,53.670997619628906,43.401920318603516,49.79253387451172,34.02325439453125,46.41068649291992,33.03740310668945,33.014976501464844,39.7201042175293,36.25031280517578,44.12158203125
1900,54.41777801513672,44.43025207519531,52.637935638427734,40.2060661315918,39.50975036621094,35.801300048828125,35.00627899169922,35.35209655761719,35.931644439697266,49.20209884643555
1901,50.867698669433594,46.097862243652344,53.40058517456055,45.75383758544922,49.37351989746094,39.69594955444336,30.59957504272461,41.294002532958984,39.37761306762695,50.1068229675293
1902,49.42179489135742,44.70866775512695,49.392704010009766,42.110939025878906,43.465946197509766,36.15385055541992,35.16842269897461,36.66271209716797,43.355369567871094,48.01483154296875
1903,48.692012786865234,45.748809814453125,41.57499694824219,43.62929916381836,45.51420211791992,34.90805435180664,30.406396865844727,47.2768669128418,41.63264083862305,44.027198791503906
1904,51.48497009277344,46.49526596069336,45.89312744140625,44.83099365234375,45.32799530029297,41.80540466308594,38.7024040222168,47.447105407714844,49.40920639038086,43.89554977416992
1905,57.15468215942383,53.3774299621582,49.96045684814453,47.677459716796875,55.21532440185547,38.26791000366211,39.187503814697266,51.67080307006836,56.74757766723633,53.09617233276367
1906,54.157257080078125,52.352088928222656,49.83552551269531,50.10922622680664,54.86686325073242,40.83302307128906,40.02882766723633,44.52910232543945,53.45167922973633,49.7600212097168
1907,50.69976043701172,49.023658752441406,42.86566925048828,46.790950775146484,49.41255569458008,39.18190002441406,40.0964469909668,47.05192565917969,51.5544319152832,39.629859924316406
1908,49.23246765136719,47.11623001098633,41.724334716796875,43.887115478515625,32.69275665283203,32.74059295654297,37.95931625366211,49.67088317871094,49.80250930786133,42.66362762451172
1909,46.575897216796875,40.26470947265625,42.24796676635742,36.625160217285156,43.48540496826172,35.42287826538086,37.72734451293945,46.235294342041016,42.26721954345703,37.40644073486328
1910,55.38568878173828,51.338443756103516,45.217140197753906,46.10554885864258,49.768775939941406,31.6777286529541,41.79601287841797,49.96237564086914,54.050209045410156,41.679832458496094
1911,50.99055862426758,45.273475646972656,42.1816520690918,42.87965774536133,41.0729866027832,37.90589141845703,38.484291076660156,47.64665985107422,47.67314529418945,32.937747955322266
1912,49.22474670410156,45.549381256103516,39.73885726928711,39.180023193359375,43.33164978027344,37.389400482177734,37.65622329711914,44.915096282958984,43.679351806640625,33.292205810546875
1913,47.434574127197266,37.27116012573242,36.964271545410156,35.89677429199219,36.6657829284668,32.98487091064453,35.46910095214844,41.58980178833008,44.1273193359375,28.430490493774414
1914,54.9768180847168,44.02069854736328,38.90872573852539,49.24479293823242,39.75928497314453,39.27214431762695,44.29258728027344,49.712486267089844,45.54976272583008,29.261981964111328
