year,MinRWBIL01_,MinRWBIL02_,MinRWBIL04_,MinRWBIL06_,MinRWBIL07_,MinRWBIL10_,MinRWBIL11_,MinRWBIL13_,MinRWBIL14_,MinRWBIL16_
1969,1478.6640625,415.875,326.59375,506.234375,629.90625,488.9375,505.8515625,490.7578125,388.5390625,489.2109375
1970,943.2578125,246.984375,488.453125,370.4140625,536.46875,445.984375,556.359375,604.765625,335.953125,430.0859375
1971,930.921875,290.40625,261.2421875,300.1640625,708.53125,260.4921875,434.140625,254.1953125,495.4296875,478.03125
1972,594.921875,194.4375,264.7890625,148.7578125,284.2265625,182.390625,544.171875,209.484375,260.828125,225.75
1973,440.65625,403.9921875,316.5078125,270.984375,495.4296875,265.8359375,670.2734375,376.1875,347.4609375,402.6953125
1974,793.90625,297.875,408.875,341.3359375,460.171875,262.5859375,621.3984375,399.203125,334.1875,279.8046875
1975,547.6484375,147.640625,365.5703125,210.5625,460.5703125,244.078125,453.5625,282.5703125,249.28125,267.625
1976,725.40625,215.3125,412.796875,306.609375,627.1328125,317.9765625,607.015625,445.4453125,263.0859375,353.2578125
1977,610.3828125,133.0859375,248.453125,285.7578125,536.6328125,357.390625,480.1171875,279.3828125,289.859375,327.5078125
1978,424.3203125,89.4296875,220.5625,162.3046875,394.109375,289.7890625,566.65625,179.4453125,213.21875,320.0546875
1979,717.6875,205,413.8046875,307.7734375,553.1015625,380.34375,664.34375,329.7890625,281.078125,395.1875
1980,818.2421875,276.828125,457.0625,343.015625,566.2734375,391.3125,1041.6015625,326.1796875,316.9375,322.25
1981,583.03125,152.5859375,277.96875,267.9140625,446.703125,364.984375,663.8671875,272.671875,250.21875,260.3359375
1982,416.828125,86.859375,95.046875,79.5625,248.4140625,286.421875,208.21875,95.140625,125.109375,129.046875
1983,532.1875,164.4453125,486.875,193.1640625,329.8203125,339.140625,632.78125,278.6328125,164.90625,344.3515625
1984,530.4453125,157.2890625,436.3203125,233.265625,411.1015625,366.4609375,540.8984375,196.140625,72.28125,270.96875
1985,700.265625,304.5859375,621.484375,442.015625,561.3828125,508.8125,1078.5546875,273.5078125,443.8046875,675.984375
1986,553.0546875,211.71875,349.7265625,214.84375,298.7578125,574.1953125,723.203125,229.234375,339.234375,424.15625
1987,447.3125,119.3203125,37.9765625,136.6015625,174.1640625,462.453125,343.6015625,57.640625,232.9140625,197.7734375
1988,535.1875,216.203125,385.4375,287.75,319.53125,409.53125,482.2265625,175.3046875,340.46875,323.2265625
