year,MRWBIL01_,MRWBIL02_,MRWBIL04_,MRWBIL06_,MRWBIL07_,MRWBIL10_,MRWBIL11_,MRWBIL13_,MRWBIL14_,MRWBIL16_
1899,359.7061462402344,221.9936065673828,351.7473449707031,95.07948303222656,265.68048095703125,464.9294738769531,291.736328125,235.9468994140625,327.3836669921875,333.9819030761719
1900,981.7637939453125,486.1427307128906,599.4754028320312,221.1667938232422,395.2470703125,692.312255859375,670.1323852539062,624.6909790039062,492.0397033691406,656.2571411132812
1901,876.1497802734375,427.6111145019531,724.4977416992188,246.71575927734375,440.7063293457031,917.9949951171875,616.479248046875,576.4743041992188,484.712890625,685.681884765625
1902,1566.4716796875,687.6159057617188,1460.73828125,317.5931396484375,798.7029418945312,1055.183837890625,742.38671875,987.734619140625,715.8088989257812,905.2654418945312
1903,1126.048095703125,532.6214599609375,753.6504516601562,239.47842407226562,486.5130310058594,660.2369995117188,487.5585021972656,991.6984252929688,544.5668334960938,492.3966064453125
1904,837.73095703125,755.7265625,889.27392578125,272.34765625,504.76654052734375,618.01318359375,661.73193359375,843.0249633789062,741.3692626953125,622.1524047851562
1905,256.2822570800781,204.06332397460938,296.4812927246094,139.31358337402344,198.36013793945312,302.9961853027344,288.85064697265625,228.65322875976562,327.0906066894531,169.269775390625
1906,587.2105102539062,406.38873291015625,460.57965087890625,270.6302185058594,379.4804992675781,557.613037109375,487.1739807128906,506.5994567871094,512.8462524414062,390.434326171875
1907,1014.9580688476562,611.1265869140625,1642.7181396484375,373.3135681152344,534.7614135742188,766.1512451171875,734.8189697265625,864.5963134765625,603.4732666015625,692.0377197265625
1908,649.9969482421875,526.3687744140625,905.3113403320312,222.13108825683594,399.006103515625,554.7244262695312,577.8538818359375,585.5142822265625,485.3869323730469,440.7320251464844
1909,508.4508361816406,216.74415588378906,244.9488983154297,92.52423095703125,213.11953735351562,475.93939208984375,340.851806640625,240.38040161132812,356.4245300292969,177.65159606933594
1910,642.4464111328125,262.7530212402344,424.46099853515625,113.77018737792969,345.92498779296875,457.82818603515625,361.9024963378906,316.7518005371094,359.02642822265625,313.039794921875
1911,1101.3211669921875,706.9889526367188,456.1487731933594,313.8364562988281,466.671630859375,595.5492553710938,770.0321044921875,617.0327758789062,534.3632202148438,500.4563903808594
1912,881.1192626953125,585.8789672851562,818.3392333984375,217.1299285888672,503.74822998046875,560.5126953125,635.07177734375,437.3555908203125,659.0175170898438,559.87548828125
1913,414.2353210449219,415.6807861328125,380.9275207519531,142.3075408935547,287.98309326171875,570.6802978515625,493.68048095703125,248.18568420410156,628.8817138671875,314.2621154785156
1914,1048.04541015625,878.8140258789062,954.0921630859375,406.1181335449219,517.2630004882812,656.9972534179688,729.3165283203125,595.7886352539062,905.5237426757812,570.3912963867188
1915,909.6718139648438,570.5510864257812,1153.0740966796875,264.977783203125,445.9512939453125,595.759033203125,472.2268371582031,451.3974304199219,658.68212890625,311.6670837402344
1916,1113.7095947265625,871.9647827148438,1153.1251220703125,297.8758544921875,505.75177001953125,598.8689575195312,779.5458984375,651.4088745117188,781.9060668945312,669.58544921875
1917,736.9378051757812,585.7180786132812,558.8837280273438,195.6734161376953,334.2688903808594,833.3472290039062,585.9456176757812,568.9273071289062,653.28515625,468.6579284667969
1918,980.1305541992188,693.1517944335938,743.4476318359375,312.09295654296875,421.958740234375,792.8433837890625,723.97900390625,779.5169677734375,991.78173828125,707.8304443359375
