year,MinLABIL01_,MinLABIL02_,MinLABIL04_,MinLABIL06_,MinLABIL07_,MinLABIL10_,MinLABIL11_,MinLABIL13_,MinLABIL14_,MinLABIL16_
1902,40.14242172241211,10.300699234008789,40.0184211730957,20.170635223388672,8.819504737854004,40.197288513183594,32.03565979003906,10.669410705566406,40.05340576171875,40.181724548339844
1903,40.05342102050781,10.430886268615723,40.034873962402344,20.268362045288086,8.335293769836426,40.365360260009766,14.131051063537598,12.162016868591309,40.08457946777344,40.12493896484375
1904,40.07547378540039,40.02131652832031,40.04469299316406,20.05626106262207,9.133845329284668,40.525421142578125,15.760132789611816,12.650113105773926,40.00373077392578,40.01123809814453
1905,40.42064666748047,43.81222152709961,41.019630432128906,20.383970260620117,9.410407066345215,41.27136993408203,16.557886123657227,22.142070770263672,40.00182342529297,46.637874603271484
1906,40.22809982299805,40.083648681640625,40.03564453125,20.669097900390625,16.28089141845703,40.46662139892578,14.799206733703613,17.395984649658203,40.249698638916016,40.13359451293945
1907,40.010066986083984,40.050655364990234,40.06763458251953,20.416505813598633,9.719330787658691,40.221588134765625,18.49504852294922,17.632844924926758,40.149078369140625,40.051605224609375
1908,40.16880798339844,40.52407455444336,40.03675079345703,20.106948852539062,8.69343376159668,40.2800407409668,13.2686767578125,16.566083908081055,40.06202697753906,40.085838317871094
1909,40.093570709228516,40.10266876220703,40.17305374145508,20.524930953979492,8.20390796661377,40.02676010131836,19.8622989654541,15.396777153015137,40.09979248046875,40.68623352050781
1910,41.81925582885742,40.94643783569336,40.0101203918457,20.535646438598633,11.495048522949219,41.296207427978516,17.626850128173828,16.05274200439453,40.376930236816406,40.32731246948242
1911,40.40957260131836,40.317501068115234,40.11690902709961,20.38382911682129,8.889298439025879,40.344398498535156,12.114395141601562,11.428398132324219,40.05101776123047,40.1052360534668
1912,40.208160400390625,40.01323699951172,40.0506591796875,20.473377227783203,8.41002368927002,40.03463363647461,12.845297813415527,13.261963844299316,40.00287628173828,40.100833892822266
1913,40.490394592285156,40.164085388183594,40.060237884521484,20.180246353149414,7.009547233581543,40.24673080444336,13.084296226501465,15.189970016479492,40.64544677734375,40.341270446777344
1914,40.50720977783203,40.118900299072266,40.00414276123047,21.441123962402344,7.277680397033691,40.04195785522461,14.701679229736328,16.264802932739258,40.4217643737793,40.18840408325195
1915,40.27931213378906,40.32059860229492,40.01715087890625,20.57119369506836,7.293849468231201,40.440040588378906,13.9448881149292,15.613454818725586,40.05129623413086,40.5065803527832
1916,40.062591552734375,40.05158615112305,40.02634811401367,20.416534423828125,7.147187232971191,40.181640625,13.18722915649414,14.9705810546875,40.1597900390625,40.16718673706055
1917,40.58382797241211,40.73274612426758,40.22502899169922,20.12411117553711,7.831830978393555,40.05101776123047,14.253655433654785,14.602856636047363,40.05037307739258,40.08254623413086
1918,40.003299713134766,40.07624053955078,40.2459602355957,20.660171508789062,7.0496978759765625,40.340782165527344,13.0573091506958,12.03211784362793,40.242584228515625,40.13209533691406
1919,40.03420639038086,40.06763458251953,40.002166748046875,21.149030685424805,7.132184982299805,40.31109619140625,13.353436470031738,14.016154289245605,40.10287094116211,40.04364776611328
1920,40.116424560546875,40.85572814941406,40.66925048828125,23.739896774291992,13.871886253356934,40.02950668334961,13.333829879760742,14.811169624328613,40.54670715332031,40.03450393676758
1921,40.204437255859375,40.00252151489258,40.07497024536133,39.09856033325195,7.960350036621094,40.0262451171875,13.447484970092773,16.10178565979004,40.232765197753906,40.19786834716797
1922,41.045867919921875,40.01384735107422,40.01091384887695,29.27410316467285,8.914037704467773,40.102970123291016,14.799280166625977,15.890205383300781,40.15031433105469,40.22185516357422
1923,40.01077651977539,40.44166946411133,40.24591064453125,20.073774337768555,7.718320846557617,40.066192626953125,13.57845401763916,13.008819580078125,40.118080139160156,40.003292083740234
1924,40.110313415527344,20.18829345703125,40.14023971557617,20.622343063354492,7.098731517791748,40.14130401611328,13.025128364562988,16.12885856628418,40.164127349853516,40.20486831665039
1925,40.00215530395508,20.220779418945312,40.08607482910156,20.21302604675293,7.174442291259766,40.131805419921875,13.33393383026123,15.31966781616211,40.16461181640625,30.72226905822754
