year,DradBIL01_,DradBIL02_,DradBIL04_,DradBIL06_,DradBIL07_,DradBIL10_,DradBIL11_,DradBIL13_,DradBIL14_,DradBIL16_
1889,23.4039306640625,25.914690017700195,28.79248809814453,26.31351661682129,19.964672088623047,28.380353927612305,23.88485336303711,24.952974319458008,30.496978759765625,28.52983856201172
1890,24.913122177124023,21.553096771240234,27.11471939086914,23.506847381591797,22.173906326293945,25.994741439819336,21.090290069580078,22.48008918762207,34.806312561035156,25.54081916809082
1891,30.254962921142578,24.742155075073242,30.898536682128906,24.603130340576172,23.103986740112305,26.38628387451172,25.683971405029297,24.558151245117188,31.76778793334961,28.04182243347168
1892,29.705955505371094,24.045150756835938,32.234737396240234,25.605344772338867,23.972686767578125,30.509201049804688,25.761066436767578,26.444499969482422,36.15196990966797,28.170957565307617
1893,25.702648162841797,20.355775833129883,23.440204620361328,17.881122589111328,20.590274810791016,19.75053596496582,19.927398681640625,17.40150260925293,23.411928176879883,22.255027770996094
1894,29.3145809173584,21.1008243560791,28.674890518188477,22.268775939941406,21.72060775756836,26.157262802124023,24.359582901000977,21.541805267333984,19.225101470947266,29.466787338256836
1895,23.990331649780273,19.183076858520508,26.457988739013672,19.451086044311523,17.607770919799805,26.21629524230957,20.72056770324707,19.824342727661133,27.325931549072266,24.795331954956055
1896,24.873003005981445,19.52486801147461,27.010223388671875,26.012664794921875,20.819969177246094,23.98824119567871,19.329574584960938,18.447980880737305,24.21126365661621,25.56343650817871
1897,26.29431915283203,22.460718154907227,31.254507064819336,23.824716567993164,20.52057647705078,23.386274337768555,24.248289108276367,16.845115661621094,28.155887603759766,27.23897361755371
1898,30.296606063842773,24.457395553588867,29.86446762084961,28.58819580078125,19.037717819213867,27.061357498168945,24.700376510620117,20.43987464904785,31.51062774658203,29.23357582092285
1899,27.229217529296875,23.467016220092773,30.17551612854004,19.03329086303711,21.402544021606445,22.296539306640625,22.014671325683594,19.837154388427734,29.517141342163086,30.49827766418457
1900,29.444564819335938,22.24243927001953,32.30317687988281,25.182743072509766,17.830678939819336,26.824575424194336,21.519926071166992,19.39048957824707,28.531085968017578,28.73467254638672
1901,30.571077346801758,26.643165588378906,34.18438720703125,25.883039474487305,23.887714385986328,28.904102325439453,21.787246704101562,21.814279556274414,27.57251739501953,29.18642234802246
1902,29.17634391784668,30.719329833984375,35.60740280151367,27.04551887512207,21.4437198638916,26.441761016845703,29.357255935668945,21.160184860229492,26.69393539428711,29.283720016479492
1903,28.614723205566406,29.115234375,23.727115631103516,27.67528533935547,22.163827896118164,26.41839599609375,25.209928512573242,24.94703483581543,24.27159881591797,24.864364624023438
1904,29.766855239868164,27.38262367248535,32.839298248291016,28.46329689025879,21.86690330505371,28.213897705078125,26.586105346679688,26.041305541992188,28.702350616455078,29.17129898071289
1905,26.137176513671875,24.27872657775879,29.382108688354492,24.64521598815918,24.832265853881836,24.558151245117188,21.765836715698242,24.581085205078125,28.864343643188477,24.524803161621094
