year,Ks*BIL01_,Ks*BIL02_,Ks*BIL04_,Ks*BIL06_,Ks*BIL07_,Ks*BIL10_,Ks*BIL11_,Ks*BIL13_,Ks*BIL14_,Ks*BIL16_
1897,0.01364568146246015,0.00809104609912669,0.014116493779083692,0.006672348743976061,0.009020856144566611,0.007221227096494226,0.006555728745017738,0.0054333931815735426,0.011230755816037453,0.009204709623905794
1898,0.016839612556459202,0.009661877010444709,0.015011886609073087,0.009505058902609387,0.00915184072170986,0.007754028825357679,0.007108469867866162,0.00691194367709266,0.014513272573865716,0.010176778261005118
1899,0.015911622416679285,0.009452361771747162,0.013554874672695595,0.006065848332429123,0.010963009429832268,0.006882481344132468,0.006877645505784883,0.007838918770091288,0.010774526098227575,0.010832637358385815
1900,0.017464562898512552,0.00969418734663646,0.014800575057145013,0.008702413762773548,0.008745830755425227,0.00825209313551414,0.007347132304274957,0.006826454022802166,0.009854186737986164,0.012521088446937625
1901,0.016807726917001244,0.011782639117527374,0.015257781157010748,0.010710928167073433,0.012457794073932485,0.009329522610361173,0.005177877781466287,0.008354527766972155,0.011128452584203311,0.011824355053786217
1902,0.015098992028673932,0.012817017264861025,0.014201882211516444,0.009593178050855277,0.011576868851826246,0.008107769338170888,0.007228994859857536,0.006531352279898952,0.011532928831536251,0.010538023860079689
1903,0.012460866612444988,0.012917708610183275,0.009313654174197697,0.01008840698779684,0.010824144150120032,0.008025817736067385,0.006448772334563942,0.011359413392629431,0.009988826046465973,0.00854755767120281
1904,0.014297338403176667,0.013921678566728234,0.012695133141096401,0.010967456129642655,0.01119883227945888,0.010669848446981057,0.00886797809719972,0.01119390619484683,0.01370518155175101,0.009661578152538809
1905,0.01536596472628865,0.01355536980073318,0.013142074848417985,0.009146295233136011,0.013980355281230625,0.008968440953533937,0.007410313088366702,0.011744864253035633,0.01547728483879154,0.010166472104871045
1906,0.017332639609677254,0.015647037471474366,0.014561200732471455,0.01086793999992886,0.014978993090002701,0.011338707030845408,0.009180813829599016,0.012275454377219145,0.015852895466879326,0.01177358242086774
1907,0.017279161857653127,0.015393005828263409,0.011473859073400062,0.010073943436250675,0.01244191017972712,0.010792270612036102,0.009210089865329837,0.0136483314228653,0.014451279721580817,0.008798197625238325
1908,0.013503732679016235,0.012017662281427052,0.009547098403027171,0.009631918976799802,0.007504371941375475,0.006595709918712618,0.007943116691584089,0.013422333234676563,0.013688782498220985,0.008752621959792725
1909,0.014155889821092048,0.009744303659281025,0.00935762616680287,0.006416942675464584,0.0105955643421183,0.00869469261296673,0.008662518947874131,0.011836663678305416,0.012531333509226675,0.007262260541628253
1910,0.017344364648584246,0.01397094382979581,0.012798726273641989,0.009875513410038754,0.013239123809898896,0.007686485362443638,0.01005115038484351,0.014534733431944051,0.01670929431213951,0.010471237180229506
1911,0.01712510482737605,0.011680946872332263,0.011964189480385242,0.010170816209453096,0.00999671815467527,0.01111577443530088,0.009768051188506812,0.014020653361589397,0.015357989593768818,0.0069817736998793005
1912,0.014268723525111904,0.012561350313812007,0.0116894051809756,0.008589685005819582,0.011254046858779199,0.009741951105273284,0.00929451453057615,0.012621921246459961,0.011459599041140729,0.007680888810916238
1913,0.012813262705456917,0.010145624458489428,0.008254726922352676,0.007333070816737339,0.0075202552592211,0.008329363416596725,0.008235520691921122,0.011041112338694708,0.011982573389808755,0.005509157078727338
1914,0.020495116325099705,0.01225504792761304,0.011973232435611937,0.012669506606020751,0.008960942840879282,0.011447792358255002,0.012181328590993646,0.01587096605038194,0.01290820067348431,0.005987938317240853
1915,0.0187070389075404,0.01150831706087983,0.012762380964625277,0.011187511003348905,0.00933618804718336,0.011708367002311383,0.012909092964245732,0.016093724771338993,0.013390483434782899,0.00532861017254563
1916,0.017715429031593392,0.011021912895160737,0.01124347939407143,0.011156337214316393,0.008058654230093493,0.010554493830585593,0.011437378385862456,0.015616234000218268,0.012180705862364288,0.003989346568829826
1917,0.019221668754069048,0.00877699077830053,0.011310185400353993,0.012649656743282937,0.009101206783498064,0.01361725342210473,0.010977389337545548,0.0175487452237373,0.007842069979258211,0.004601334113233995
1918,0.016596390040433336,0.00999438234821153,0.012223973198947557,0.012384664715768302,0.007865474737643522,0.009091522388282732,0.009274814602159561,0.016787139822411666,0.012831730160622118,0.0042187109635406835
1919,0.016029010040326985,0.008533395507273002,0.00948777003669718,0.010288997028470326,0.006545441728990624,0.00892030515033553,0.010716129371758164,0.013637218208762129,0.007906261849539955,0.006087688906007653
1920,0.018497465202423354,0.009950931447864294,0.01280833119260074,0.011321681758117822,0.007748188833731363,0.008808046948545827,0.012281757133052752,0.017676733410190836,0.012749621341244731,0.006493761614084449
1921,0.013557314273578806,0.009117350407474835,0.007502919335906637,0.0026770555324615412,0.006132333769254177,0.007596535095587036,0.008199147829398396,0.01216861691394775,0.006887434480693258,0.006326881100575182
1922,0.01931251579574995,0.014110469672418273,0.012659620328800787,0.011954899847182425,0.008248104657765286,0.010127118466683582,0.01316312233171439,0.019471485444703784,0.016972544883027123,0.005731102712716864
