year,CWTradBIL01_,CWTradBIL02_,CWTradBIL04_,CWTradBIL06_,CWTradBIL07_,CWTradBIL10_,CWTradBIL11_,CWTradBIL13_,CWTradBIL14_,CWTradBIL16_
1957,4.0031352043151855,4.351058006286621,3.5880610942840576,4.4848551750183105,4.221782684326172,4.548881530761719,4.171093463897705,5.579542636871338,5.073745250701904,3.5176475048065186
1958,3.932969570159912,4.746984004974365,4.321547031402588,5.095615386962891,4.298911094665527,4.733070373535156,5.0473737716674805,5.5926713943481445,4.805652618408203,3.939025402069092
1959,4.063354015350342,4.280778408050537,4.304500102996826,4.888875484466553,4.383955001831055,4.949668884277344,5.000431060791016,6.147263050079346,6.084555625915527,3.75302791595459
1960,3.9034810066223145,3.9843733310699463,4.015716075897217,4.04575252532959,4.394065856933594,4.38106632232666,5.509685039520264,5.682796478271484,4.91188907623291,3.3958919048309326
1961,3.9965081214904785,4.131076335906982,3.5035548210144043,4.16373872756958,3.886306047439575,5.205399513244629,5.011413097381592,5.52816104888916,4.996640205383301,3.421868324279785
1962,4.136826992034912,4.662738800048828,3.727933645248413,5.076249599456787,4.817208290100098,4.651717185974121,4.5359296798706055,6.369348526000977,6.363687038421631,3.7992804050445557
1963,4.304074764251709,4.717938423156738,4.179431438446045,4.585026264190674,4.6948370933532715,4.519226551055908,5.0260467529296875,5.892058372497559,5.816412448883057,3.6760218143463135
1964,4.135071754455566,4.7792253494262695,4.231441497802734,4.95292854309082,4.712854385375977,4.371514320373535,4.445570945739746,5.743170738220215,5.095021724700928,4.320645809173584
1965,3.867694616317749,4.0782270431518555,3.4579007625579834,3.955268383026123,4.130882263183594,3.8860859870910645,4.348703861236572,5.42585563659668,5.645214557647705,3.439068078994751
1966,4.051578521728516,4.720713138580322,3.9863882064819336,4.65928316116333,4.301990032196045,4.457760334014893,4.662792205810547,5.286947727203369,4.387052059173584,4.216990947723389
1967,4.355362892150879,4.758917331695557,4.282937526702881,4.868812561035156,4.484527111053467,4.708780765533447,4.884710311889648,5.642550468444824,4.958756923675537,3.8090426921844482
1968,4.494088172912598,5.684657096862793,4.2190704345703125,5.238478660583496,4.820119857788086,4.419022560119629,4.713261604309082,5.62796688079834,5.249917507171631,4.1787333488464355
1969,4.3917412757873535,5.996725082397461,4.7250847816467285,5.045325756072998,5.235635280609131,4.400171756744385,5.81817102432251,5.814112186431885,5.398544788360596,5.239477634429932
1970,3.7726125717163086,4.7815399169921875,3.733330011367798,4.54742431640625,3.8925981521606445,3.561793565750122,4.44274377822876,5.708334922790527,5.440203666687012,3.802488088607788
1971,3.9394960403442383,6.462873935699463,4.3238019943237305,4.978739261627197,4.178701877593994,4.113293647766113,5.084378719329834,5.2426838874816895,4.54580545425415,4.655730247497559
1972,4.261928081512451,5.2090911865234375,4.353756427764893,5.513228416442871,4.19988489151001,4.503094673156738,5.761926651000977,5.595291614532471,5.144343376159668,4.1188435554504395
1973,4.006800174713135,4.941322326660156,4.7321248054504395,5.700227737426758,4.336874008178711,4.5028228759765625,4.88486385345459,5.929653167724609,4.724799633026123,4.1527533531188965
1974,3.9797534942626953,4.217773914337158,4.902017593383789,5.52449893951416,4.842710018157959,4.6528778076171875,5.10245418548584,5.83403205871582,4.302308559417725,4.071519374847412
1975,3.5498294830322266,4.435258388519287,4.192890167236328,5.746026515960693,4.205930709838867,4.2302565574646,5.402475833892822,5.560249328613281,4.275792121887207,3.821315288543701
1976,3.805565595626831,4.777853965759277,4.082627773284912,5.597255229949951,4.043149948120117,3.982847213745117,4.728086948394775,5.883788585662842,4.505364418029785,4.035696506500244
1977,3.442512035369873,3.352405309677124,3.391512632369995,4.507937431335449,3.9039034843444824,3.8336288928985596,4.331464767456055,4.9265241622924805,3.5864996910095215,3.024461269378662
1978,3.7944703102111816,4.93208122253418,4.394796371459961,5.458067893981934,4.626277923583984,4.375635147094727,5.254934310913086,5.441412448883057,4.474665641784668,4.795539379119873
1979,4.028165817260742,4.492027282714844,4.0600457191467285,5.064899444580078,4.995788097381592,4.44645881652832,5.103240966796875,5.54644775390625,4.015345096588135,4.539684295654297
1980,4.152259826660156,5.238201141357422,4.730151176452637,5.274332523345947,4.911313533782959,4.541621685028076,4.449930667877197,5.741413593292236,4.003298759460449,3.9994654655456543
1981,4.357690334320068,4.446436882019043,4.7164483070373535,4.851204872131348,5.4198689460754395,5.0305867195129395,4.278085231781006,5.671327590942383,3.7441534996032715,4.351669788360596
1982,3.6511242389678955,3.5989627838134766,3.2385146617889404,4.640790939331055,4.587873458862305,4.5008063316345215,3.2596895694732666,4.675177574157715,3.528151750564575,3.5296130180358887
1983,4.188844203948975,4.045786380767822,4.380580902099609,6.194103240966797,5.241459369659424,4.499996185302734,4.485223770141602,5.694326877593994,4.259040832519531,3.9087541103363037
