year,CWTbaBIL01_,CWTbaBIL02_,CWTbaBIL04_,CWTbaBIL06_,CWTbaBIL07_,CWTbaBIL10_,CWTbaBIL11_,CWTbaBIL13_,CWTbaBIL14_,CWTbaBIL16_
1893,3.122558116912842,2.7177255153656006,3.184901237487793,3.2637457847595215,3.4184634685516357,3.447173833847046,3.382446050643921,3.5464088916778564,3.273125171661377,3.090050458908081
1894,3.3542721271514893,3.547508716583252,3.918869972229004,4.41895866394043,4.060013294219971,3.674609661102295,4.448107719421387,3.886183023452759,4.880665302276611,3.5024638175964355
1895,3.864522695541382,3.67128324508667,3.4895412921905518,4.515307426452637,3.9758472442626953,2.984546422958374,4.597754001617432,3.5757057666778564,3.5633959770202637,3.8877551555633545
1896,3.21138072013855,2.5031375885009766,2.9679272174835205,3.8988921642303467,2.9356136322021484,3.059908151626587,3.5145583152770996,3.029095411300659,3.3005428314208984,3.301966428756714
1897,3.4723408222198486,3.4274818897247314,3.3884565830230713,4.134727478027344,4.146960735321045,4.131499290466309,4.001755237579346,3.6353020668029785,4.0030293464660645,3.415320873260498
1898,3.437176465988159,3.34013032913208,3.3144376277923584,3.9749951362609863,4.037535667419434,4.173797607421875,3.985264301300049,3.4496092796325684,3.2224340438842773,3.7260684967041016
1899,3.334829807281494,3.397679328918457,3.610092878341675,4.428837299346924,3.730919122695923,4.143141746520996,4.314565658569336,3.3795268535614014,3.7535207271575928,3.2213356494903564
1900,3.564810037612915,3.323624849319458,3.5137224197387695,4.167295932769775,4.196091651916504,4.844926834106445,4.273038387298584,3.870790481567383,3.7912511825561523,3.3116328716278076
1901,3.4156906604766846,3.1119544506073,3.723896026611328,4.210381031036377,3.6888349056243896,4.425804615020752,4.966768741607666,3.471137046813965,3.8485701084136963,3.0129191875457764
1902,4.033481597900391,3.5250415802001953,4.1760149002075195,4.405954360961914,4.4730377197265625,5.197111129760742,4.823996543884277,4.415689945220947,4.386404514312744,3.21628737449646
1903,4.0112481117248535,3.2445127964019775,4.381957530975342,4.263084411621094,3.9998369216918945,5.126217842102051,4.235321044921875,3.771639585494995,4.5878586769104,3.353121280670166
1904,3.5284314155578613,3.773334503173828,4.010283946990967,4.050971508026123,3.9680347442626953,4.169977188110352,3.553420066833496,3.2649986743927,3.933833122253418,3.2244834899902344
1905,2.623628854751587,2.358319044113159,2.901242256164551,3.043592691421509,2.5903708934783936,3.8045036792755127,2.904644250869751,2.4122307300567627,2.872169256210327,2.212921142578125
1906,2.8581292629241943,2.8016631603240967,3.235515832901001,3.5151352882385254,3.0273184776306152,3.432798147201538,2.6951637268066406,3.0003697872161865,3.2986526489257812,2.4964826107025146
1907,3.6602706909179688,3.4183924198150635,4.831288814544678,3.9531960487365723,3.6884257793426514,4.827327728271484,3.44347882270813,3.6806137561798096,3.7727465629577637,3.324448823928833
1908,3.4930074214935303,3.1733007431030273,3.8691000938415527,3.9281556606292725,3.809936046600342,4.847756862640381,3.7964038848876953,3.5390684604644775,3.758650302886963,3.15067195892334
1909,3.9613499641418457,3.7742021083831787,3.44950270652771,3.8576414585113525,3.710620641708374,4.568174839019775,3.6351118087768555,3.538588762283325,4.520570755004883,2.872614860534668
1910,3.0884203910827637,2.5863120555877686,3.0750293731689453,3.4135422706604004,3.0829110145568848,3.5953662395477295,2.7149722576141357,3.1135993003845215,3.3080623149871826,2.4090006351470947
1911,3.579946756362915,3.8400657176971436,3.893049716949463,4.233091354370117,4.242629528045654,4.341731548309326,3.7639801502227783,3.914809465408325,3.861664295196533,3.9660589694976807
1912,3.975294828414917,3.3612492084503174,4.359445571899414,4.191742420196533,4.2329206466674805,4.717682361602783,3.75180721282959,3.592315912246704,4.347794055938721,3.4211137294769287
1913,3.980360746383667,3.9708991050720215,4.297632694244385,4.319392681121826,3.9148077964782715,5.529727458953857,4.396580219268799,3.80538272857666,4.6539130210876465,3.397167921066284
1914,3.708707571029663,3.5832509994506836,4.466641426086426,4.004528999328613,4.1734113693237305,4.2968525886535645,3.344653844833374,3.632967710494995,4.399569988250732,3.568682909011841
1915,3.659654378890991,3.2972664833068848,3.9123716354370117,4.064705848693848,3.5771725177764893,3.425938367843628,3.064405918121338,3.3445019721984863,4.041756629943848,3.248185157775879
1916,3.774437665939331,3.9144535064697266,4.191405296325684,4.0740203857421875,4.105367660522461,3.362682342529297,3.7208828926086426,3.8902580738067627,4.576603412628174,4.525181770324707
1917,3.6614649295806885,4.223380088806152,4.142146587371826,4.200750827789307,3.875110149383545,3.2761995792388916,3.8609695434570312,3.74147891998291,5.7996649742126465,4.075497627258301
1918,3.9134023189544678,3.800082206726074,4.315671443939209,4.219087600708008,4.2779035568237305,3.5344643592834473,4.124779224395752,3.9561026096343994,4.938047885894775,4.070153713226318
1919,3.8433780670166016,3.453803539276123,4.368403911590576,3.933176279067993,4.425313472747803,4.923262596130371,3.395768880844116,3.5233426094055176,5.047924995422363,2.879209280014038
1920,2.979499101638794,2.5984625816345215,3.234452962875366,3.6960625648498535,2.839366912841797,4.13893985748291,2.4730169773101807,2.9505460262298584,3.216545820236206,2.602661609649658
1921,4.03110933303833,3.1373345851898193,3.6248486042022705,4.793875217437744,3.963353395462036,4.781713962554932,3.8037683963775635,4.210899829864502,3.9997365474700928,2.8552656173706055
1922,3.451385974884033,2.800798177719116,3.357682943344116,3.6245675086975098,3.3032407760620117,4.015110969543457,2.813627004623413,3.228774070739746,3.5005953311920166,2.8236167430877686
1923,4.028031349182129,3.382539987564087,4.478448390960693,3.826976776123047,4.394636631011963,4.35395622253418,3.7478158473968506,3.994128704071045,4.096929550170898,3.5584778785705566
1924,3.828129768371582,3.474174737930298,4.156376361846924,4.356231212615967,3.460850954055786,4.065422534942627,3.166813850402832,3.167231798171997,3.4453160762786865,3.457206964492798
1925,3.3335165977478027,3.6238973140716553,4.153199195861816,3.62164044380188,3.650582790374756,4.114313125610352,3.254775285720825,3.371561050415039,3.4332101345062256,3.324826240539551
1926,3.417140245437622,3.4455509185791016,3.9465432167053223,3.616008758544922,3.794275999069214,4.456408977508545,3.9336013793945312,3.418212652206421,3.7967207431793213,3.407616138458252
1927,3.630631923675537,3.8702425956726074,4.745941162109375,4.415332317352295,4.123712062835693,4.491438865661621,3.6207435131073,3.9605374336242676,4.11572265625,3.807769536972046
1928,3.8673954010009766,3.6782917976379395,4.469532489776611,4.201033115386963,3.8583648204803467,4.737590789794922,3.5894830226898193,3.835803985595703,4.400557518005371,3.6729793548583984
1929,4.177257061004639,4.012881278991699,4.64146089553833,4.20186185836792,4.566359996795654,3.1450915336608887,4.508415699005127,4.336645603179932,5.469144344329834,3.852618932723999
1930,3.117098093032837,3.6138832569122314,4.002784252166748,4.0881524085998535,3.62846040725708,3.251459836959839,3.0442771911621094,3.3129162788391113,4.30066442489624,3.485063314437866
1931,4.262387275695801,3.664712905883789,4.821244239807129,3.730193614959717,4.140740871429443,2.641909599304199,3.9015543460845947,3.8493340015411377,4.378118515014648,3.747954845428467
1932,3.7901558876037598,3.804685354232788,4.452123165130615,4.23931360244751,4.064257621765137,2.6786134243011475,3.623237133026123,3.9945778846740723,4.359976768493652,3.951948404312134
1933,4.9135870933532715,4.6924729347229,5.120588302612305,4.002786159515381,5.18685245513916,2.4897851943969727,4.252187728881836,4.647763729095459,5.179258823394775,4.400262832641602
1934,4.773773193359375,4.484409332275391,5.710006237030029,4.082900524139404,5.094952583312988,2.263410806655884,4.518423557281494,4.804656505584717,5.6751203536987305,4.439701080322266
1935,3.757735013961792,4.241947650909424,5.064040660858154,3.8214662075042725,4.153932571411133,2.2221295833587646,4.098702430725098,3.9466943740844727,4.323452949523926,4.042124271392822
1936,3.412670135498047,3.1265487670898438,4.14414119720459,3.572270393371582,3.490020751953125,2.4689652919769287,3.753204584121704,2.568779468536377,3.4138031005859375,3.612492322921753
1937,4.598416328430176,4.516148090362549,5.304149150848389,3.8649353981018066,4.633002281188965,2.5307369232177734,4.0484089851379395,4.506829738616943,4.2824201583862305,4.588284015655518
