year,DtanBIL01_,DtanBIL02_,DtanBIL04_,DtanBIL06_,DtanBIL07_,DtanBIL10_,DtanBIL11_,DtanBIL13_,DtanBIL14_,DtanBIL16_
1902,21.480762481689453,20.5977783203125,21.18410301208496,18.65618133544922,17.722190856933594,19.315385818481445,20.749149322509766,15.732797622680664,20.08462142944336,18.70745277404785
1903,20.49367332458496,20.29296112060547,17.88799476623535,19.40081787109375,17.936433792114258,19.96147346496582,20.145437240600586,18.36166763305664,18.924280166625977,18.0659122467041
1904,22.628314971923828,21.368852615356445,20.838115692138672,19.82523536682129,18.51587677001953,22.05523109436035,21.178627014160156,19.3227596282959,21.897897720336914,18.953601837158203
1905,25.306154251098633,23.665369033813477,23.071626663208008,20.251317977905273,22.59384536743164,22.737829208374023,21.639673233032227,22.03346061706543,23.553327560424805,21.821807861328125
1906,24.46204376220703,23.97317123413086,22.253583908081055,19.63316535949707,21.956371307373047,22.132490158081055,21.64872169494629,22.165990829467773,23.55942726135254,21.507282257080078
1907,23.450103759765625,23.05439567565918,18.241117477416992,19.154781341552734,19.30469512939453,21.658170700073242,20.453533172607422,20.787506103515625,21.922727584838867,19.112560272216797
1908,20.987638473510742,21.810932159423828,19.384611129760742,19.1278018951416,17.016931533813477,18.443317413330078,18.591045379638672,20.50967025756836,20.9989013671875,19.29437828063965
1909,21.998044967651367,20.918437957763672,19.838245391845703,18.83504295349121,19.021160125732422,20.602428436279297,20.50235939025879,20.80451202392578,21.118745803833008,21.241374969482422
1910,24.560441970825195,22.653657913208008,23.28894805908203,20.503555297851562,20.95279884338379,22.52803611755371,22.011634826660156,22.885465621948242,24.08978271484375,22.81736183166504
1911,24.18482780456543,20.448259353637695,21.393526077270508,19.331592559814453,17.35927963256836,22.534923553466797,20.657499313354492,21.401159286499023,23.630460739135742,18.10114288330078
1912,21.896595001220703,22.13994026184082,20.127071380615234,19.114482879638672,18.0072078704834,21.59865951538086,19.72772979736328,20.476417541503906,21.876455307006836,20.178701400756836
