year,Dh2BIL01_,Dh2BIL02_,Dh2BIL04_,Dh2BIL06_,Dh2BIL07_,Dh2BIL10_,Dh2BIL11_,Dh2BIL13_,Dh2BIL14_,Dh2BIL16_
1910,29.832618713378906,27.570165634155273,28.451091766357422,24.317859649658203,26.499446868896484,25.776792526245117,25.5584659576416,27.95585060119629,29.100299835205078,27.132553100585938
1911,30.841550827026367,26.344438552856445,28.10387420654297,25.995859146118164,24.515756607055664,28.804914474487305,26.565269470214844,28.266204833984375,30.032894134521484,23.14691734313965
1912,28.661216735839844,27.872800827026367,28.56636619567871,24.834636688232422,25.42726707458496,27.242233276367188,25.647687911987305,27.419086456298828,26.82314109802246,25.343690872192383
1913,26.603897094726562,26.5144100189209,24.2921085357666,22.774925231933594,22.247703552246094,25.800926208496094,24.03517723083496,25.50947380065918,26.657913208007812,22.91404151916504
1914,32.56314468383789,27.131250381469727,28.307035446166992,27.80967903137207,24.23674774169922,28.926300048828125,27.408004760742188,30.077192306518555,27.449983596801758,22.86829948425293
1915,31.511709213256836,27.944730758666992,28.568845748901367,26.466398239135742,24.796022415161133,29.80564308166504,27.92243766784668,29.81706428527832,28.212276458740234,23.717554092407227
1916,30.29665756225586,27.457128524780273,27.201953887939453,26.6908016204834,23.754682540893555,28.810884475708008,25.702672958374023,29.267717361450195,26.860244750976562,21.2834529876709
1917,30.977134704589844,26.624313354492188,27.856786727905273,27.968311309814453,24.64015769958496,32.7800178527832,25.905231475830078,29.926834106445312,24.261648178100586,21.907398223876953
1918,29.939971923828125,26.98752784729004,28.705730438232422,28.346294403076172,23.19474983215332,28.142057418823242,23.497539520263672,29.71630859375,27.99225425720215,21.778181076049805
1919,29.05377960205078,26.381086349487305,27.066904067993164,27.0491943359375,21.6268310546875,26.71613121032715,24.808856964111328,27.00292205810547,24.71026039123535,21.97567367553711
1920,29.603803634643555,25.86868667602539,27.911792755126953,27.976770401000977,22.28590965270996,25.655925750732422,26.065162658691406,28.830026626586914,26.465164184570312,23.4466609954834
1921,26.974498748779297,24.24051284790039,22.21061134338379,20.270763397216797,21.4948673248291,25.481082916259766,22.210412979125977,25.79389190673828,22.589771270751953,20.60684585571289
1922,31.062625885009766,29.498138427734375,29.442787170410156,27.785667419433594,24.027488708496094,27.698156356811523,27.706682205200195,30.7015438079834,30.294954299926758,23.800724029541016
1923,29.796186447143555,27.763992309570312,28.86627197265625,27.467853546142578,23.011259078979492,28.184019088745117,25.42538070678711,30.118446350097656,29.4190731048584,23.068695068359375
1924,29.227706909179688,28.38322639465332,29.566551208496094,26.837318420410156,25.073223114013672,28.729005813598633,26.251556396484375,29.724124908447266,28.569244384765625,24.814090728759766
1925,30.425430297851562,26.08076286315918,29.06793785095215,27.901092529296875,25.481054306030273,29.64307403564453,25.651226043701172,29.719558715820312,29.983312606811523,23.617733001708984
1926,28.91652488708496,27.263179779052734,29.989540100097656,28.85698890686035,23.857067108154297,29.425573348999023,25.836944580078125,28.77129554748535,28.708343505859375,24.522144317626953
1927,30.165409088134766,28.415494918823242,31.42685317993164,28.227394104003906,25.070863723754883,29.711149215698242,27.08875846862793,29.33869743347168,29.54479217529297,25.17060089111328
1928,30.165903091430664,26.829265594482422,28.3858642578125,28.712404251098633,25.213207244873047,28.760305404663086,25.476160049438477,30.51239585876465,27.420515060424805,24.35271644592285
1929,30.354019165039062,27.837783813476562,30.045888900756836,29.679540634155273,24.12651252746582,28.90122413635254,26.577072143554688,30.82948112487793,27.862104415893555,25.024953842163086
1930,31.51157569885254,28.375568389892578,26.974159240722656,31.62628746032715,25.735610961914062,29.470691680908203,28.4035587310791,32.259525299072266,26.673200607299805,24.58119773864746
1931,30.37061882019043,27.64314079284668,23.025415420532227,31.611042022705078,23.77751922607422,29.314453125,26.51042938232422,28.357830047607422,28.079269409179688,24.75957489013672
