year,rTSRBIL01_,rTSRBIL02_,rTSRBIL04_,rTSRBIL06_,rTSRBIL07_,rTSRBIL10_,rTSRBIL11_,rTSRBIL13_,rTSRBIL14_,rTSRBIL16_
1945,1.157523512840271,2.102869749069214,1.607072114944458,2.1714205741882324,1.008862853050232,1.2249187231063843,1.3014073371887207,1.7649444341659546,0.7882785201072693,1.1338050365447998
1946,0.9905970692634583,0.7887551188468933,1.1706807613372803,1.6872223615646362,1.3951315879821777,1.194818377494812,1.2194422483444214,1.6430199146270752,0.8229698538780212,1.034794569015503
1947,0.8883489966392517,1.1151779890060425,1.2965258359909058,1.358496904373169,1.2391103506088257,1.0298752784729004,1.051501989364624,1.1172226667404175,0.645865797996521,0.7996691465377808
1948,0.9794673919677734,0.9228353500366211,1.0817761421203613,1.085594654083252,1.104440689086914,0.8941090703010559,1.0204936265945435,0.9992137551307678,0.8681445121765137,0.6883465647697449
1949,0.9366906881332397,0.8197149038314819,0.8873542547225952,1.1911613941192627,1.1203138828277588,0.8447020053863525,1.0513999462127686,1.104506492614746,1.4368945360183716,0.6107775568962097
1950,1.0483689308166504,0.9836600422859192,0.8372038006782532,1.1618812084197998,1.6218786239624023,1.125544548034668,1.0827386379241943,1.3705744743347168,1.4374396800994873,0.8167281746864319
1951,1.101603388786316,1.7409993410110474,1.327957272529602,1.5486973524093628,2.1531336307525635,1.420013427734375,1.4650380611419678,2.300032615661621,1.521633267402649,1.3271554708480835
1952,0.7743786573410034,1.106546401977539,1.9364550113677979,0.9550487399101257,1.8293871879577637,1.0294307470321655,1.8161307573318481,0.7582582235336304,0.8898032307624817,0.5148343443870544
1953,0.9112828969955444,1.7588046789169312,1.250225305557251,0.8548863530158997,1.5555098056793213,0.957192599773407,1.6322718858718872,0.6429823040962219,0.8510655760765076,0.5187689065933228
1954,1.075860857963562,1.5391685962677002,0.9408453106880188,1.367341160774231,1.5759594440460205,0.9276255965232849,1.4104201793670654,0.8070422410964966,1.2470715045928955,1.1661629676818848
1955,0.9831233620643616,1.6676050424575806,1.2508054971694946,1.2167941331863403,1.5131776332855225,1.1742991209030151,1.3305983543395996,1.0494848489761353,1.0500160455703735,1.2784368991851807
1956,0.8783181309700012,1.3620320558547974,1.3237597942352295,1.2390447854995728,1.6374115943908691,1.3232802152633667,1.3102247714996338,0.9552033543586731,1.678520679473877,1.095170497894287
1957,0.8284238576889038,1.4541161060333252,0.7339789271354675,0.9981120228767395,1.2589694261550903,1.0720270872116089,1.0604695081710815,0.816400945186615,1.438570499420166,0.9263999462127686
1958,0.7938382625579834,1.5080617666244507,1.3248443603515625,1.365294098854065,1.5141057968139648,1.3174837827682495,1.4977142810821533,0.963071346282959,1.0969370603561401,1.1123871803283691
1959,0.8401545286178589,1.36296808719635,1.443626046180725,1.2713301181793213,1.3038041591644287,1.391124963760376,1.318377137184143,1.346709966659546,2.099295139312744,0.9928165078163147
1960,1.0358896255493164,1.3237900733947754,1.4584388732910156,0.81815505027771,1.5720924139022827,1.2565078735351562,1.7620054483413696,0.7827921509742737,0.9328815937042236,0.6610127091407776
1961,1.053335428237915,1.858075737953186,0.8736308217048645,1.1734611988067627,1.2648996114730835,1.6458244323730469,1.6594072580337524,0.7145856022834778,1.0107814073562622,0.9791742563247681
1962,1.005471110343933,1.4169691801071167,0.9908851981163025,1.4566320180892944,1.6237941980361938,1.2601432800292969,1.2207595109939575,1.7292962074279785,1.9852237701416016,0.9512696266174316
1963,0.992439329624176,1.5464248657226562,1.3142637014389038,1.132458209991455,1.4922127723693848,1.1921452283859253,1.2412843704223633,1.4327510595321655,1.7708053588867188,0.8957497477531433
1964,0.9591518640518188,2.0221283435821533,1.4306488037109375,1.3007012605667114,1.695622444152832,1.2196012735366821,1.0491423606872559,1.589980959892273,0.9273019433021545,1.3425005674362183
1965,0.8305952548980713,1.1574453115463257,0.7741401195526123,0.98299640417099,1.0720828771591187,0.9873701333999634,1.0789408683776855,1.0812349319458008,1.3647990226745605,0.8606799840927124
1966,1.130469799041748,1.8675050735473633,1.449841022491455,1.530767798423767,1.531685709953308,1.3037439584732056,1.4210643768310547,1.4009552001953125,1.0663461685180664,1.259170651435852
1967,1.169715404510498,1.8522971868515015,1.6263550519943237,1.5688332319259644,1.678864598274231,1.6902334690093994,1.4493201971054077,1.5713274478912354,1.2819089889526367,1.2534488439559937
1968,1.103332757949829,2.395961284637451,1.6213809251785278,1.4719940423965454,1.5091761350631714,1.410492181777954,1.3727610111236572,1.5030667781829834,1.1341694593429565,1.289452075958252
1969,0.973134458065033,2.7990968227386475,2.3109934329986572,1.4519566297531128,1.7579172849655151,1.448400616645813,1.8623913526535034,1.4520021677017212,1.3558244705200195,2.0518085956573486
1970,0.8438321352005005,1.3335434198379517,0.935276448726654,1.0670993328094482,1.0142828226089478,0.7554412484169006,1.1343169212341309,1.1859161853790283,1.4694292545318604,0.8483380675315857
1971,1.0351076126098633,2.518148183822632,1.8080472946166992,1.3837486505508423,1.4117679595947266,1.6959993839263916,1.5315104722976685,1.2330340147018433,0.886159360408783,1.718068242073059
1972,1.192663550376892,2.196455717086792,1.6796363592147827,1.352454662322998,1.7086831331253052,1.7322982549667358,1.7238526344299316,1.4158296585083008,1.3188021183013916,1.3042595386505127
1973,1.0623458623886108,1.4964889287948608,1.8775993585586548,1.9336003065109253,1.4152929782867432,1.6729974746704102,1.3432390689849854,1.7411924600601196,1.388196587562561,1.2001945972442627
1974,1.0631667375564575,0.9682186245918274,2.006070852279663,1.781965970993042,2.0714032649993896,1.9356149435043335,1.4581414461135864,1.8942346572875977,1.102399230003357,1.4004262685775757
1975,0.7698264718055725,1.5183285474777222,1.3702139854431152,1.8082644939422607,1.401030421257019,1.6526135206222534,1.5754761695861816,1.1621580123901367,1.0171282291412354,1.0305325984954834
1976,0.7387238144874573,1.4402031898498535,0.9565461277961731,1.5753027200698853,1.0043333768844604,1.2016870975494385,1.1178609132766724,1.2280609607696533,1.297713041305542,0.9307897090911865
1977,0.9153003692626953,1.0934276580810547,0.8156574368476868,1.5741020441055298,1.3197095394134521,1.532768964767456,1.2946979999542236,0.5988719463348389,0.6562574505805969,0.559258222579956
1978,0.8678730726242065,1.8614814281463623,1.3972924947738647,1.8379290103912354,1.4244675636291504,1.747633457183838,1.5829815864562988,1.2140717506408691,1.014418601989746,1.618126630783081
1979,0.8169199228286743,1.3925670385360718,1.234157919883728,1.1770823001861572,1.2453490495681763,1.5441269874572754,1.3117367029190063,1.1863521337509155,0.7157032489776611,1.326295018196106
1980,0.9328839182853699,1.9688881635665894,1.5757241249084473,1.4132626056671143,1.318965196609497,1.4363951683044434,0.6306222081184387,1.410488486289978,0.7055931687355042,1.1428025960922241
1981,1.0959620475769043,1.8937633037567139,1.6774976253509521,1.226945400238037,1.7069931030273438,1.7218017578125,1.078431248664856,1.6157482862472534,0.4996227025985718,1.3851712942123413
1982,0.9578486680984497,1.0604177713394165,0.7078704237937927,1.0329813957214355,1.1548696756362915,1.7932435274124146,0.42070409655570984,0.6625232696533203,0.5699599981307983,0.9253899455070496
1983,1.0398831367492676,1.3588148355484009,1.599556565284729,2.4916110038757324,1.8108092546463013,1.5824741125106812,1.2811208963394165,1.4742672443389893,1.0935139656066895,1.1642717123031616
1984,1.0164858102798462,0.6482074856758118,1.3202605247497559,1.2553337812423706,1.1946330070495605,1.4672064781188965,1.4125432968139648,1.0939751863479614,0.6469805836677551,1.1816104650497437
1985,1.0500110387802124,2.325192451477051,1.5579376220703125,2.2805418968200684,1.5480942726135254,1.8989033699035645,1.6815942525863647,1.4416441917419434,2.1349775791168213,1.8776507377624512
1986,1.0136362314224243,1.3554317951202393,0.8273653984069824,1.5182026624679565,1.3141533136367798,1.3221025466918945,1.4772173166275024,1.2374039888381958,1.7118113040924072,0.9929215312004089
1987,0.8743876218795776,1.797640085220337,0.6631689071655273,1.507459282875061,1.0484718084335327,1.5627614259719849,1.6848955154418945,0.9468865990638733,1.485190749168396,1.1849135160446167
1988,0.7847387194633484,2.085803270339966,1.0049265623092651,1.10035240650177,1.389352560043335,1.6853059530258179,1.6182703971862793,1.020862102508545,1.4491959810256958,1.1263673305511475
1989,0.907800018787384,1.741997241973877,1.2503652572631836,1.4210097789764404,1.3351126909255981,1.701865792274475,1.6330405473709106,1.1720772981643677,1.306230068206787,0.827847957611084
1990,0.80809086561203,0.9683403968811035,0.7835268974304199,1.1561309099197388,0.7659521698951721,1.7828400135040283,1.4124999046325684,0.9716880321502686,1.1166307926177979,0.9533681869506836
1991,0.9727646112442017,1.476603388786316,0.7823370695114136,1.9939311742782593,0.987724244594574,1.7584753036499023,1.918429970741272,0.9530343413352966,1.4667627811431885,1.186435580253601
1992,1.0253400802612305,1.7828360795974731,0.8792538046836853,1.594996690750122,0.9419487118721008,1.3921719789505005,2.331744909286499,2.3933043479919434,1.4647924900054932,1.1867924928665161
1993,1.175624132156372,1.8228800296783447,1.0453052520751953,1.936174988746643,1.496089220046997,1.9511688947677612,2.2427446842193604,1.5010201930999756,2.004923105239868,0.9702656269073486
1994,0.9061547517776489,1.3364624977111816,0.7899566292762756,1.2188266515731812,1.0177735090255737,1.8240811824798584,1.3969699144363403,0.969376802444458,1.533652663230896,0.8551610112190247
1995,0.8619839549064636,1.419988989830017,0.9601056575775146,1.3791643381118774,1.0270442962646484,2.208496332168579,1.7533586025238037,1.0246696472167969,1.4656462669372559,0.9441810250282288
