Year	BIL01	BIL02	BIL03	BIL04	BIL05	BIL06	BIL07	BIL08	BIL09	BIL10	BIL11B	BIL12	BIL13	BIL14	BIL15	BIL16	BIL17	BIL18	BIL19	BIL20
1977	0,70	0,18	0,42	0,26	0,56	0,33	0,58	0,57	0,67	0,40	0,53	0,38	0,33	0,40	0,32	0,36	0,31	1,07	0,22	0,16
1978	0,49	0,11	0,15	0,25	0,30	0,20	0,47	0,37	0,43	0,33	0,61	0,20	0,22	0,26	0,24	0,34	0,16	0,65	0,07	0,00
1979	0,77	0,21	0,29	0,46	0,47	0,34	0,57	0,58	0,65	0,42	0,75	0,29	0,34	0,32	0,29	0,42	0,21	1,22	0,20	0,26
1980	0,85	0,32	0,37	0,49	0,57	0,37	0,61	0,88	0,63	0,41	0,97	0,27	0,35	0,40	0,39	0,34	0,23	1,35	0,19	0,21
1981	0,63	0,14	0,14	0,36	0,36	0,30	0,49	0,61	0,61	0,39	0,72	0,22	0,29	0,27	0,09	0,30	0,23	1,08	0,13	0,12
1982	0,46	0,11	0,14	0,13	0,18	0,11	0,29	0,28	0,31	0,29	0,23	0,06	0,12	0,19	0,07	0,17	0,17	0,39	0,10	0,07
1983	0,55	0,20	0,24	0,53	0,32	0,25	0,36	0,52	0,47	0,37	0,63	0,26	0,30	0,20	0,21	0,37	0,24	0,74	0,15	0,18
1984	0,56	0,16	0,21	0,50	0,31	0,30	0,44	0,41	0,50	0,37	0,61	0,15	0,19	0,12	0,27	0,31	0,21	0,76	0,15	0,17
1985	0,84	0,35	0,38	0,65	0,42	0,66	0,58	0,85	0,71	0,50	1,22	0,26	0,36	0,53	0,34	0,77	0,24	1,09	0,30	0,41
1986	0,60	0,23	0,19	0,38	0,33	0,37	0,32	0,49	0,88	0,64	0,86	0,13	0,27	0,38	0,22	0,45	0,13	0,61	0,24	0,37
1987	0,50	0,13	0,10	0,06	0,11	0,19	0,20	0,25	0,50	0,49	0,45	0,08	0,10	0,25	0,08	0,22	0,11	0,22	0,06	0,14
1988	0,58	0,24	0,30	0,43	0,28	0,32	0,34	0,48	0,58	0,46	0,49	0,19	0,20	0,39	0,25	0,33	0,18	0,66	0,19	0,31
1989	0,55	0,22	0,26	0,48	0,28	0,30	0,39	0,43	0,43	0,34	0,53	0,17	0,23	0,38	0,38	0,11	0,14	0,66	0,21	0,21
1990	0,41	0,14	0,17	0,24	0,18	0,16	0,30	0,28	0,30	0,36	0,28	0,11	0,11	0,29	0,16	0,14	0,12	0,46	0,10	0,14
1991	0,65	0,23	0,24	0,48	0,32	0,26	0,39	0,55	0,45	0,42	0,47	0,20	0,24	0,38	0,32	0,21	0,17	0,83	0,18	0,30
1992	0,23	0,06	0,07	0,09	0,00	0,14	0,11	0,10	0,14	0,10	0,20	0,10	0,02	0,14	0,04	0,04	0,06	0,11	0,04	0,00
1993	0,35	0,10	0,13	0,17	0,08	0,04	0,15	0,23	0,15	0,20	0,22	0,18	0,07	0,08	0,16	0,06	0,17	0,25	0,03	0,10
1994	0,52	0,16	0,24	0,25	0,15	0,25	0,27	0,31	0,25	0,22	0,35	0,24	0,19	0,26	0,30	0,15	0,17	0,59	0,12	0,18
1995	0,68	0,14	0,23	0,27	0,14	0,25	0,31	0,44	0,25	0,30	0,50	0,22	0,14	0,28	0,24	0,15	0,12	0,63	0,11	0,22
1996	0,38	0,10	0,05	0,09	0,11	0,05	0,22	0,18	0,19	0,22	0,33	0,06	0,09	0,17	0,12	0,06	0,11	0,23	0,09	0,13
1997	0,79	0,27	0,35	0,37	0,32	0,36	0,43	0,76	0,33	0,46	0,84	0,22	0,33	0,37	0,38	0,31	0,23	0,84	0,22	0,29
1998	0,54	0,14	0,26	0,17	0,13	0,19	0,32	0,34	0,25	0,43	0,68	0,19	0,34	0,27	0,14	0,10	0,13	0,36	0,11	0,15
1999	0,68	0,22	0,26	0,30	0,29	0,26	0,37	0,59	0,29	0,52	0,77	0,24	0,42	0,37	0,26	0,22	0,24	0,64	0,18	0,28
2000	0,56	0,16	0,09	0,24	0,18	0,13	0,41	0,60	0,26	0,43	0,70	0,10	0,42	0,39	0,26	0,16	0,17	0,71	0,10	0,20
2001	0,63	0,13	0,14	0,18	0,15	0,17	0,27	0,49	0,22	0,53	0,57	0,16	0,26	0,48	0,19	0,12	0,12	0,75	0,13	0,14
2002	0,46	0,19	0,21	0,36	0,21	0,26	0,25	0,38	0,25	0,35	0,57	0,23	0,24	0,47	0,16	0,14	0,21	0,58	0,18	0,21
2003	0,42	0,15	0,20	0,23	0,14	0,21	0,27	0,39	0,28	0,27	0,40	0,20	0,19	0,38	0,14	0,06	0,15	0,58	0,11	0,08
2004	0,57	0,22	0,26	0,41	0,22	0,36	0,37	0,58	0,30	0,44	0,56	0,30	0,31	0,51	0,40	0,22	0,31	0,85	0,20	0,30
2005	0,62	0,29	0,34	0,55	0,28	0,39	0,52	0,58	0,45	0,41	0,54	0,33	0,39	0,67	0,37	0,27	0,28	0,70	0,27	0,36
2006	0,55	0,14	0,32	0,31	0,20	0,29	0,32	0,47	0,40	0,36	0,51	0,21	0,22	0,36	0,30	0,13	0,18	0,49	0,11	0,17
2007	0,55	0,20	0,32	0,36	0,22	0,29	0,35	0,56	0,46	0,42	0,60	0,32	0,20	0,49	0,32	0,17	0,21	0,51	0,23	0,29
2008	0,48	0,15	0,19	0,29	0,20	0,21	0,34	0,28	0,29	0,45	0,54	0,28	0,18	0,28	0,27	0,16	0,14	0,44	0,20	0,21
2009	0,39	0,14	0,23	0,23	0,12	0,14	0,30	0,25	0,22	0,36	0,42	0,24	0,14	0,25	0,15	0,11	0,11	0,34	0,14	0,19
2010	0,71	0,22	0,50	0,37	0,31	0,37	0,43	0,63	0,33	0,51	0,96	0,40	0,20	0,46	0,28	0,20	0,19	0,51	0,27	0,37
2011	0,56	0,18	0,31	0,37	0,24	0,25	0,25	0,35	0,28	0,37	0,75	0,24	0,31	0,40	0,31	0,14	0,20	0,44	0,24	0,22
2012	0,54	0,21	0,36	0,30	0,26	0,32	0,29	0,38	0,25	0,38	0,62	0,32	0,27	0,45	0,28	0,15	0,16	0,40	0,24	0,26
2013	0,36	0,14	0,12	0,12	0,09	0,09	0,23	0,15	0,17	0,26	0,31	0,15	0,09	0,13	0,14	0,04	0,13	0,13	0,10	0,16
2014	0,34	0,07	0,11	0,10	0,06	0,13	0,22	0,32	0,15	0,32	0,28	0,15	0,05	0,24	0,13	0,05	0,10	0,18	0,09	0,24
2015	0,61	0,16	0,31	0,28	0,25	0,24	0,33	0,67	0,25	0,41	0,42	0,36	0,20	0,35	0,33	0,16	0,17	0,38	0,22	0,30
2016	0,61	0,13	0,22	0,30	0,25	0,17	0,33	0,46	0,22	0,51	0,52	0,29	0,19	0,38	0,34	0,08	0,17	0,41	0,26	0,23
2017	0,70	0,13	0,33	0,43	0,24	0,40	0,56	0,66	0,29	0,81	0,77	0,45	0,16	0,59	0,38	0,04	0,12	0,53	0,34	0,74
2018	0,57	0,15	0,29	0,29	0,25	0,30	0,50	0,69	0,22	0,82	0,68	0,35	0,18	0,49	0,26	0,08	0,17	0,74	0,35	0,69
2019	0,68	0,12	0,25	0,31	0,19	0,22	0,36	0,61	0,24	0,74	0,61	0,25	0,12	0,49	0,15	0,10	0,19	0,80	0,29	0,17
2020	0,59	0,16	0,26	0,23	0,18	0,19	0,30	0,30	0,17	0,63	0,55	0,29	0,15	0,34	0,18	0,11	0,15	0,43	0,21	0,21
2021	0,60	0,16	0,27	0,26	0,21	0,19	0,35	0,38	0,14	0,72	0,56	0,24	0,17	0,48	0,14	0,10	0,18	0,19	0,23	0,30
2022	0,37	0,10	0,18	0,23	0,10	0,10	0,19	0,23	0,13	0,36	0,35	0,21	0,04	0,25	0,07	0,06	0,08	0,15	0,14	0,16
