year,MinRWAPA06_,MinRWAPA07_,MinRWAPA08_,MinRWAPA09_,MinRWAPA10_,MinRWAPA11_,MinRWAPA13_,MinRWAPA15_,MinRWAPA17_,MinRWAPA19_
1833,457.421875,686.53125,659.4609375,662.6484375,560.3203125,319.3046875,91.3671875,106.1328125,271.109375,193.578125
1834,581.2265625,394.3359375,626.5078125,789.03125,380.5859375,444.796875,25.90625,68.4609375,284.78125,160.4609375
1835,437.5,495.515625,488.9921875,596.7109375,404.9765625,363.5234375,84.546875,168.390625,375.078125,162.7109375
1836,416.765625,359.984375,496.40625,626.625,271.703125,304.859375,155.6875,120.6328125,436.5625,144.546875
1837,383.6328125,484.8984375,381.8359375,409,173.71875,223.671875,294.8671875,170.1953125,317.609375,92.828125
1838,498.0703125,415.078125,433.9609375,425.15625,293.921875,308.0703125,255.6328125,105.140625,275.453125,94.6484375
1839,362.4609375,259.9140625,379.96875,457.46875,267.71875,190.0859375,388.7421875,225.0234375,208.9453125,103
1840,366.078125,421.6796875,859.984375,679.359375,386.1875,338.9375,502.6796875,141.03125,323.640625,215.6953125
1841,274.21875,357.5390625,752.1796875,321.9921875,301.6796875,380.6640625,335.5,71.5859375,236.7109375,178.9609375
1842,364.4765625,354.109375,877.84375,467.1796875,353.8515625,427.6015625,289.0546875,94.09375,443.8515625,190.546875
1843,291.2578125,356.296875,624.03125,326.8515625,221.8046875,261.5859375,335.2734375,75.640625,225.703125,136.4765625
1844,296.3984375,273.203125,412.453125,439.9375,271.53125,276.6875,360.78125,40.21875,199.7265625,97.953125
1845,365.1875,241.078125,896.96875,768.75,396.5859375,390.6171875,301.9375,113.046875,200.2578125,133.84375
1846,367.234375,259.3828125,724.625,469.6953125,298.46875,375.6875,293.53125,75.5703125,147.7578125,152.546875
1847,338.515625,123.34375,694.125,423.1640625,315.953125,246.8828125,170.640625,105.234375,250.9296875,153.3203125
1848,379.7734375,77.453125,550.0703125,339.9453125,315.6796875,245.6328125,203.515625,106.96875,163.8984375,175.4921875
1849,749.78125,60.953125,808.25,496.78125,483.546875,385.6015625,149.15625,160.453125,114.140625,204.546875
1850,767.53125,134.90625,777.1953125,403.21875,595.7578125,405.1171875,70.1875,191.828125,93.2734375,279.3125
1851,603.5859375,204.625,951.8828125,526.1875,503.65625,348.1484375,204.2890625,276.2421875,361.015625,235.6484375
1852,551.2421875,181.6875,842.421875,560.65625,511.7265625,333.0625,97.65625,256.3515625,412.375,249.28125
1853,622.90625,154.296875,803.234375,469.40625,404.59375,376.625,157.3125,312.5078125,448.2578125,292.921875
1854,628.203125,81.25,743.609375,485.015625,464.234375,407.96875,154.6953125,342.1015625,478.65625,326.265625
1855,581.5234375,55.1328125,654.5234375,467.2421875,511.6328125,331.1796875,44.4296875,268.6328125,449.5703125,288.1875
1856,678.4140625,104.21875,584.4296875,411.546875,428.8828125,240.8984375,208.8671875,256.484375,435.7109375,244.265625
1857,554.6484375,190.109375,588.921875,357.7890625,358.140625,197.9765625,128.59375,184.8828125,417.765625,248.8671875
