year,MaxRWAPA06_,MaxRWAPA07_,MaxRWAPA08_,MaxRWAPA09_,MaxRWAPA10_,MaxRWAPA11_,MaxRWAPA13_,MaxRWAPA15_,MaxRWAPA17_,MaxRWAPA19_
1774,569.984375,2449.390625,872.8984375,1028.984375,259.5078125,742.0546875,875.6015625,487.5859375,600.28125,324.5703125
1775,553.2265625,798.6640625,766.34375,812.0234375,362.25,532.609375,792.0078125,543.21875,346.2734375,218.125
1776,538.7109375,596.0546875,604.140625,878.9609375,702.28125,623.96875,783.546875,472.3984375,260.2265625,274.1171875
1777,651.765625,870.765625,824.4765625,1035.5078125,543.3828125,638.4765625,567.75,463.1640625,416.34375,275.7265625
1778,829.9609375,798.2109375,970.3671875,949.015625,476.8828125,711.296875,660.0546875,426.1640625,341.625,355.8203125
1779,680.0078125,880.4765625,858.6484375,858.3125,355.515625,592.5859375,628.5703125,319.671875,345.515625,239.8515625
1780,704.1484375,967.734375,1032.546875,1118.375,472.2421875,871.59375,681.078125,274.5,459.03125,227.765625
1781,709.40625,658.2421875,753.5546875,819.09375,297.1796875,809.5,394.921875,227.578125,462.734375,220.140625
1782,688.9765625,655.921875,688.53125,727.578125,343.546875,737.7421875,363.6171875,278.6015625,593.4765625,296.421875
1783,624.5234375,413.2578125,778.609375,778.4765625,281.78125,668.421875,299.9453125,180.7421875,526.1953125,239.3515625
1784,680.390625,517.5390625,1076.5625,698.03125,180.125,753.46875,269.578125,139.1953125,583.109375,283.5625
1785,611.03125,645.96875,865.078125,817.3046875,290.9296875,616.234375,251.703125,232.4921875,683,250.7109375
1786,531.7734375,449.359375,715.8359375,673.890625,254.59375,653.8984375,161.2578125,155.484375,764,282.6875
1787,366.140625,559.421875,559.890625,662.5078125,268.8671875,425.78125,156.7578125,206.015625,783.5,204.4140625
1788,399.3671875,635.7421875,763.640625,682.609375,271.2578125,594.9375,176.1484375,225.3984375,711.7265625,262.953125
1789,268.90625,485.6484375,744.8671875,476.53125,256.6953125,404.4453125,185.40625,203.1953125,709.28125,343.4140625
1790,201.8984375,328.4140625,368.6328125,476.984375,201.5234375,281.25,124.6875,104.7734375,379.921875,265.078125
1791,384.140625,344.3515625,587.46875,623.7734375,346.4765625,407.71875,300.7109375,220.8984375,394.2109375,217.0625
1792,324.828125,462.578125,571.9375,690.4453125,318.109375,342.2265625,289.4375,203.5703125,469.6484375,366.9453125
1793,314.796875,431.0703125,592.1640625,788.1796875,267.8984375,413.3671875,343.4375,212.65625,530.4765625,237.765625
1794,396.3046875,815.21875,675.734375,826.1640625,220.7578125,364.2109375,284.3984375,166.203125,391.3359375,196.2734375
1795,366.859375,690.40625,741.1640625,798.3125,238.1875,346.78125,383.2578125,173.8046875,354.0703125,302.140625
1796,445.65625,661.7578125,787.0703125,520.390625,301.7890625,333.3984375,233.8671875,125.6328125,310.765625,323.2421875
1797,461.9765625,514.078125,670.5859375,687.4296875,335.8203125,408.125,347.046875,134.7421875,315.9921875,295.7421875
1798,401.8515625,403.796875,634.4609375,478.390625,256.2734375,467.328125,277.0390625,113.6171875,376.5859375,234.2734375
1799,521.1640625,716.3125,1055.140625,904.3359375,339.40625,436,278.5390625,72.78125,278.2421875,269.6171875
1800,432.46875,552.515625,735.6953125,560.7890625,246.421875,303.1328125,293.5078125,121.4296875,235.140625,244.03125
1801,458.1640625,568.09375,563.3828125,572.421875,236.0703125,516.078125,409.7890625,148.015625,426.5546875,260.8828125
1802,484.671875,637.359375,689.90625,584.484375,241.3515625,422.796875,304.1640625,104.8125,319.2421875,218.3046875
1803,424.7109375,672.7265625,664.6015625,510.7578125,199.8125,335.90625,270.5625,77.953125,334.15625,215.3359375
1804,481.5625,699.40625,901.1328125,486.8125,272.09375,343.3046875,290.546875,70.6953125,402.7578125,255.875
1805,490.7265625,865.8125,1044.640625,746.5078125,326.640625,383.78125,341.0234375,111.34375,293.6875,235.6484375
1806,472.828125,309.9921875,613.609375,387.359375,101.7890625,174.734375,300.2265625,137.03125,427.484375,131.328125
1807,414.8125,520.5859375,708.7421875,784.078125,302.765625,373.2578125,221.0625,84.875,450.5,191.40625
1808,577.84375,551.5546875,784.78125,968.7890625,336.6875,503.25,184.1953125,106.53125,254.53125,270.515625
1809,512.359375,502.46875,760.140625,801.1875,267.25,402.9765625,320.3203125,144.5234375,313.859375,256.8984375
1810,473.2109375,372.625,635.921875,536.0078125,240.4765625,307.1953125,331.109375,83.9765625,439.96875,167.9609375
1811,466.0703125,364.6171875,612.4609375,483.484375,271.484375,363.3203125,346.0859375,143.3046875,375.796875,214.0234375
1812,423.0859375,385.671875,611.6484375,700.234375,282.765625,431.1015625,427.90625,100.28125,318.65625,207.671875
1813,488.875,304.859375,656.1484375,721.2109375,115.828125,384.3046875,549.125,96.2890625,296.9375,206.8828125
