year;MLAAPA06_;MLAAPA07_;MLAAPA08_;MLAAPA09_;MLAAPA10_;MLAAPA11_;MLAAPA13_;MLAAPA15_;MLAAPA17_;MLAAPA19_;aver
1793;437.9312744;437.5001221;505.108429;491.1915894;364.240509;344.6144409;479.4855347;339.765625;485.5336304;462.6464844;434.8017639
1794;458.5722351;339.643219;465.3211365;544.6786499;353.4067993;356.0773315;416.7919922;294.2992859;511.5627441;400.5066223;414.0860016
1795;417.4934998;227.0122681;449.4276428;519.8852539;298.2667542;322.8816528;531.9825439;355.4433594;539.3347168;383.6761475;404.5403839
1796;499.4039917;388.4954224;480.9969177;452.9434204;368.5248108;397.0950928;447.6702271;215.4565125;502.1445618;427.0556946;417.9786652
1797;538.4075928;427.4710999;552.4207153;621.3712769;396.302948;468.3280029;555.0508423;269.6221619;444.5860596;458.7968445;473.2357544
1798;484.2435303;342.6730957;434.3528137;512.2012329;344.8181152;402.5825195;463.7404785;201.6883087;517.234375;466.9264526;417.0460922
1799;464.1903076;457.2624817;554.0248413;613.7531738;413.915863;396.3312378;488.1244202;243.0926361;500.1980896;478.4811401;460.9374191
1800;565.3381348;453.7799072;545.723877;611.1539307;378.8291931;408.0099487;583.4963379;271.4489746;469.7920837;465.269043;475.2841431
1801;441.4938965;337.4942627;398.1238098;502.0934143;316.7798462;373.155426;508.8493347;255.171936;521.1082153;431.378418;408.564856
1802;507.5281067;366.757843;490.4399109;566.3626099;375.8823242;374.8388062;534.2405396;181.7947998;512.3223267;481.8911133;439.205838
1803;470.6403198;381.9831238;396.8204346;532.378418;330.319458;347.9386597;540.7643433;234.4462128;483.3460999;386.8453369;410.5482407
1804;442.2713013;472.8040771;424.5494995;534.7122803;375.8656311;329.1569214;502.809967;143.7421265;504.9023132;394.1789551;412.4993073
1805;442.2700806;502.086853;499.7498779;611.9048462;424.105072;383.9061279;398.0452576;285.9506226;402.873291;427.571991;437.846402
1806;474.0452576;385.9737244;458.0729065;452.7125244;155.7621918;313.3522644;444.5353394;285.6911926;423.9995422;338.6130066;373.275795
1807;462.9442444;429.4265442;589.2671509;572.05896;369.341156;424.1296692;446.921936;210.2619934;445.7186584;368.9960327;431.9066345
1808;477.7582092;481.4064636;518.631897;505.1847534;428.7776184;431.1779175;356.3734131;234.1988983;453.7810059;434.6987;432.1988876
1809;464.1650085;515.8477173;516.9665527;587.6939087;430.6821289;409.3361511;461.4473877;320.7162476;437.532196;441.1180725;458.5505371
