year;CWTtanAPA06_;CWTtanAPA07_;CWTtanAPA08_;CWTtanAPA09_;CWTtanAPA10_;CWTtanAPA11_;CWTtanAPA13_;CWTtanAPA15_;CWTtanAPA17_;CWTtanAPA19_;aver
1888;2.754787207;3.068628788;2.809001923;2.808548689;0;2.167327166;2.435669184;4.031654835;3.304366112;2.892944336;2.627292824
1889;2.779488087;3.494586945;2.662093401;2.704595804;0;2.133461714;2.36017251;3.892460346;3.298880339;2.928097963;2.625383711
1890;3.530468225;3.272325993;3.220721006;2.729863167;0;2.228812218;2.305387735;2.914823532;3.03821373;3.066020727;2.630663633
1891;3.24101615;3.214675665;2.788367987;3.293564081;0;2.041150093;2.213317633;3.019775152;3.780513287;2.819075346;2.641145539
1892;3.173641682;2.721241474;2.742934942;3.141798735;0;2.107016802;2.84080863;2.850321531;3.376783609;2.807359695;2.57619071
1893;3.193802595;2.787567854;2.993525743;2.853570461;0;2.038203716;2.507996321;3.059364557;3.372905016;3.087994337;2.58949306
1894;3.377435684;3.293152094;3.296166182;3.163841009;0;2.236304998;2.585732937;3.074895859;3.326680422;3.393562317;2.77477715
1895;3.406658411;3.236667633;3.156262398;3.092312336;0;2.137924671;2.373805285;3.465729713;3.31285882;2.96712327;2.714934254
1896;3.215960741;3.17530942;3.111172438;3.049821138;0;2.305253029;2.293135881;3.099954128;3.277674198;3.212960243;2.674124122
1897;3.285084724;3.08522296;2.826826334;2.821444511;0;2.186448812;2.256849289;3.918534756;3.343596458;3.141604424;2.686561227
1898;3.400859356;3.347519159;2.803615808;2.779341936;0;2.201488256;2.444032907;3.256956577;2.783721685;2.884667635;2.590220332
1899;3.134792566;3.035476685;2.539488554;2.790353775;0;2.024697781;2.29607749;3.038036346;2.738491297;2.808122158;2.440553665
1900;3.293717623;3.068440437;2.818007708;2.994184017;0;2.368132591;2.219410896;3.364589214;2.684044123;3.223208666;2.603373528
1901;3.713099003;3.418396235;3.278527021;3.040641069;0;2.273458004;2.677212;3.276958942;2.691126108;3.154830694;2.752424908
1902;3.046133757;3.14982152;2.45815897;2.87059617;0;2.144014597;2.550994396;2.603725672;2.635620594;2.670789957;2.412985563
1903;3.141025543;3.218666315;2.586880684;3.011116266;0;2.248120785;2.537139893;3.564292908;2.771086693;3.028832912;2.6107162
1904;3.394037485;3.287971973;2.742975712;2.900717258;0;2.11855793;2.673840046;3.187197447;2.834744215;3.017410994;2.615745306
1905;3.472249269;3.001555204;2.461778641;2.863253832;0;2.150113106;2.503784418;3.352712393;2.695874214;3.112646341;2.561396742
1906;3.316474199;3.459108114;2.824028254;3.03962183;0;2.181785822;2.496025085;3.340548515;2.617241621;3.087979555;2.6362813
1907;3.160715103;3.673191547;2.682826519;3.1012187;0;2.143189907;2.506908894;3.401411295;2.557876825;3.021374464;2.624871325
1908;3.369454622;3.271049023;2.75211525;3.441360235;0;2.236936808;2.611314058;4.189519405;2.497692823;3.484499693;2.785394192
1909;3.08075285;3.2585392;2.373628616;2.953158379;0;1.990426779;2.320643902;3.384931564;2.309993982;2.858255863;2.453033113
1910;3.054088354;3.639494419;2.776532888;2.929555893;0;2.194090128;2.522788525;4.122662067;2.316227674;3.012196779;2.656763673
1911;3.032457829;4.009783745;2.78350997;2.966613293;0;2.09452796;2.508246183;4.175140858;2.461274624;3.025175333;2.705672979
1912;3.040355921;3.604063272;2.559379101;2.917732239;0;2.06971693;2.458165407;3.485207081;2.487622976;2.814203739;2.543644667
1913;2.765986681;3.666177511;2.758621454;3.19217205;0;2.059478045;2.404623747;3.562847137;2.439792633;2.913176775;2.576287603
1914;2.987767935;3.494831562;2.727530003;3.157742023;0;2.01287961;2.469710588;3.222578526;2.339585543;3.100654364;2.551328015
1915;3.134518147;3.781900406;2.695487499;3.307763577;0;2.018676043;2.333551884;3.418340445;2.414226294;3.036575556;2.614103985
