year;MLACHO01_;MLACHO03_;MLACHO04_;MLACHO05_;MLACHO07_;MLACHO14_;MLACHO15_;MLACHO16_;MLACHO17_;MLACHO19_;aver
1825;416.6144714;365.8373413;451.2302856;353.7069702;372.4876404;349.9317322;0;467.8028259;349.2596741;377.6576843;350.4528625
1826;381.874115;394.5941467;477.7194824;373.1853943;381.273468;409.0693665;0;491.3143005;403.10849;432.418457;374.455722
1827;349.6066284;99.67585754;392.214447;318.8646851;367.7609253;300.6371765;0;292.8813171;316.804657;131.3911285;256.9836823
1828;423.9971008;427.3778687;483.4201355;406.7136536;419.1470032;381.1533508;0;477.1941528;358.4363403;444.1482544;382.158786
1829;407.9677429;354.2891541;521.2383423;381.6938171;413.5103149;391.3876038;0;457.9328613;357.0127563;400.86026;368.5892853
1830;519.0630493;313.6186523;530.3521729;371.1568604;347.2984314;432.4052429;0;347.3128967;367.0415039;499.7185059;372.7967316
1831;518.7263794;413.570282;558.7854004;421.74823;364.3663025;468.0827942;0;438.23349;363.5172729;543.0651245;409.0095276
1832;502.5574341;494.5845032;581.1269531;469.853302;502.6730652;521.3522949;0;487.0552063;203.8920135;519.0791016;428.2173874
1833;545.5146484;463.8304138;545.0576782;427.7168579;429.9641418;518.5079346;0;473.9812927;280.9889221;541.2926636;422.6854553
1834;509.517395;427.2706909;509.5046082;358.1506653;409.1473083;436.4886169;0;543.036438;332.7792358;495.8572083;402.1752167
1835;649.3287964;561.5264282;601.7937012;439.0630798;472.7062378;609.2893677;0;611.0581665;351.2893982;601.4879761;489.7543152
1836;475.6365967;564.5907593;582.2255859;401.4703369;458.57724;0;0;589.9094849;364.2589722;670.1503906;410.6819366
1837;177.4085083;91.11393738;390.7160034;135.261322;240.2617035;472.6759949;0;64.75829315;282.5912781;253.9366608;210.8723701
1838;522.0285645;594.8649902;597.84375;441.4474182;475.172699;520.4543457;0;624.621521;397.8291931;636.4345703;481.0697052
1839;510.537262;511.3311462;506.9300537;392.2731934;440.8791199;405.9650269;0;629.720459;464.2366333;573.3284912;443.5201385
1840;457.7637329;496.0323486;532.2380981;403.2445374;374.8897095;395.4562073;0;619.8709106;385.8401794;570.0762939;423.5412018
1841;290.5316162;58.1505127;511.59198;272.7785034;225.3647308;283.0503845;0;203.7745667;54.09389114;175.6532898;207.4989475
1842;528.2007446;584.0332031;591.8012085;454.8080139;456.2286072;419.184906;0;616.2958984;447.043335;573.0842285;467.0680145
1843;542.2225342;532.0942993;646.2340698;508.1307373;443.477478;444.3555908;0;670.4459839;354.2496948;588.8812866;473.0091675
1844;446.1784668;409.9951477;429.9984741;411.4077454;311.9957581;280.2499695;0;484.118988;376.2724915;308.7477417;345.8964783
1845;458.838623;440.2501831;492.8872681;419.3125305;379.3500977;328.3049622;0;507.3877869;394.2794189;486.9773865;390.7588257
1846;561.2868042;643.4574585;702.1087036;559.4473877;540.9514771;386.598114;0;637.0455322;427.1196594;603.7914429;506.180658
1847;504.616272;523.4416504;607.729126;478.9077759;420.5756531;371.6296387;0;558.7263794;177.7609558;539.4375;418.2824951
1848;571.5114136;287.8139954;688.4672241;432.254364;486.9718323;342.597229;0;568.0075073;353.8793335;402.0809937;413.3583893
1849;411.6933899;390.1993103;268.5073547;321.9016418;283.3625488;281.1305542;0;417.5071106;446.2833252;362.4716492;318.3056885
1850;488.4096985;503.1667786;561.6223755;452.0018616;418.9386292;439.9571533;0;609.3511353;358.34375;477.1538391;430.8945221
1851;455.09375;424.1343384;563.4644775;456.966156;393.3109741;362.29776;0;463.6434326;346.980957;412.1085815;387.8000427
1852;508.7758789;363.431427;531.5219727;410.1953125;341.1889648;336.3781128;0;479.1170349;323.5075684;372.4714661;366.6587738
1853;409.6541443;487.4388123;506.2116394;440.9197083;423.796936;361.694458;0;524.9302368;363.1104126;369.7690125;388.752536
1854;589.1679077;501.6386414;590.848999;522.730896;444.231781;401.8853455;0;543.9901123;351.2264709;497.0353088;444.2755463
1855;439.0615234;522.8954468;541.3729248;495.3729553;424.5341492;368.4021301;0;591.8748169;421.8535156;526.0536499;433.1421112
1856;364.9182739;466.591156;450.9351196;368.6049194;382.3917542;318.6344604;0;417.593689;381.2206421;424.5175171;357.5407532
1857;484.0069275;434.5725098;569.2052612;442.0318604;367.2074585;340.7085266;0;428.278717;305.4951477;152.2812805;352.3787689
1858;479.9515686;595.7664795;536.0822754;511.6588745;410.5760803;467.7357178;0;580.2513428;451.2893982;641.5960693;467.4907806
1859;394.5602417;327.6289978;178.4243774;339.7353821;387.8769226;316.7002258;0;356.3739929;296.7789612;419.9427185;301.802182
1860;478.8726196;560.8516846;407.6213379;434.8501282;453.2471924;482.6015625;0;587.1411743;425.039978;510.660553;434.088623
1861;590.7784424;558.1635132;472.5360413;456.714325;490.0561218;555.1865234;0;622.4159546;407.6183472;555.7306519;470.9199921
1862;534.7544556;422.6072083;536.0042725;409.2090454;383.1526794;491.1972961;0;525.8024902;329.1905823;412.156189;404.4074219
1863;474.9763184;338.9320068;328.7251282;377.5716553;460.242218;346.7137756;0;397.2862854;146.8006592;438.6159973;330.9864044
1864;287.2373657;303.1784363;418.1406555;193.6759949;289.4072571;328.5463562;0;351.3380432;196.1802216;411.8763428;277.9580673
1865;555.3111572;397.7896118;404.0318909;481.9901428;357.2385559;386.7820129;0;447.4663391;372.7392883;429.0558777;383.2404877
1866;567.8202515;485.786499;444.4415894;477.9645081;492.0020142;487.2801819;0;598.3758545;458.9326782;477.645813;449.024939
1867;527.0630493;491.2955933;501.5418396;519.3590698;448.9356995;529.1557007;0;621.0775146;418.4405518;548.2294312;460.509845
1868;590.8930664;478.4289551;463.8736267;528.0306396;417.6531372;461.2944946;0;577.7837524;392.5140076;516.1386108;442.6610291
1869;576.1466675;465.7507935;514.6124268;530.4919434;430.4577637;528.015625;0;550.7845459;423.6655579;577.3320923;459.7257416
1870;584.8624268;478.9403687;535.3322754;560.7147827;427.7691956;526.3788452;0;540.6104736;453.2861328;553.9272461;466.1821747
1871;632.3184204;467.2478027;536.1225586;595.6083984;412.3490295;548.0363159;0;577.9451294;473.8715515;534.6803589;477.8179565
1872;569.6000366;488.8247375;468.4581909;555.93573;468.7402954;510.1575012;0;556.0819702;456.1435547;507.0268555;458.0968872
1873;548.6746216;501.4727783;460.7893066;552.2650757;438.9728394;527.3864746;0;555.3460083;450.7814636;581.0776978;461.6766266
1874;482.0754395;464.7140503;454.513031;531.5622559;473.7142029;509.799408;0;572.5070801;414.9387207;488.961731;439.2785919
1875;454.6250305;455.2700806;499.6012268;479.1689758;445.4465027;383.2836914;0;551.6746826;138.7922821;414.1773376;382.203981
