Year	KHA01	KHA02	KHA03	KHA04	KHA05	KHA06	KHA08	KHA09	KHA10	KHA11	KHA12	KHA14	KHA15	KHA16	KHA17	KHA19	KHA20
1850	0,21	0,28	0,36	0,19	0,36	0,28	0,12	0,22	0,35	0,29	0,36	0,13	0,27	0,28	0,26	0,37	0,23
1851	0,03	0,08	0,19	0,05	0,19	0,19	0,05	0,15	0,30	0,09	0,28	0,09	0,06	0,24	0,14	0,17	0,16
1852	0,29	0,33	0,43	0,25	0,83	0,35	0,52	0,42	0,66	0,50	0,59	0,34	0,49	0,55	0,40	0,83	0,43
1853	0,12	0,27	0,38	0,06	0,90	0,33	0,39	0,23	0,45	0,35	0,33	0,39	0,31	0,33	0,48	0,36	0,27
1854	0,21	0,43	0,58	0,13	0,96	0,36	0,50	0,22	0,52	0,45	0,46	0,69	0,34	0,33	0,85	0,66	0,41
1855	0,13	0,15	0,78	0,07	0,77	0,39	0,46	0,31	0,54	0,38	0,44	0,51	0,24	0,32	0,76	0,65	0,31
1856	0,20	0,31	0,50	0,23	0,91	0,32	0,45	0,19	0,51	0,16	0,45	0,50	0,30	0,39	0,73	0,77	0,31
1857	0,34	0,43	0,84	0,28	1,02	0,37	0,50	0,37	0,60	0,40	0,80	0,67	0,38	0,48	0,66	0,90	0,50
1858	0,30	0,33	0,41	0,20	1,15	0,32	0,31	0,29	0,44	0,33	0,73	0,42	0,32	0,49	0,50	0,68	0,38
1859	0,25	0,19	0,28	0,11	0,98	0,21	0,31	0,25	0,30	0,29	0,58	0,42	0,19	0,45	0,41	0,61	0,36
1860	0,54	0,45	0,62	0,47	1,47	0,47	0,55	0,34	0,77	0,46	0,83	0,52	0,45	0,87	0,73	1,03	0,61
1861	0,45	0,31	0,66	0,27	1,22	0,51	0,45	0,31	0,68	0,40	0,67	0,44	0,27	0,63	0,72	0,67	0,47
1862	0,34	0,29	0,55	0,19	1,04	0,45	0,43	0,27	0,47	0,28	0,58	0,43	0,23	0,50	0,75	0,74	0,49
1863	0,12	0,10	0,39	0,19	0,94	0,26	0,51	0,32	0,46	0,42	0,60	0,44	0,24	0,66	0,73	0,71	0,46
1864	0,25	0,24	0,43	0,24	1,00	0,38	0,54	0,35	0,62	0,75	0,76	0,44	0,27	0,63	0,64	0,62	0,46
1865	0,32	0,36	0,74	0,29	0,96	0,39	0,58	0,35	0,54	0,78	0,90	0,57	0,32	0,75	0,79	0,64	0,60
1866	0,00	0,08	0,20	0,05	0,27	0,13	0,04	0,09	0,15	0,14	0,32	0,10	0,09	0,16	0,24	0,12	0,22
1867	0,08	0,06	0,21	0,04	0,34	0,06	0,12	0,11	0,19	0,23	0,42	0,17	0,15	0,25	0,35	0,19	0,21
1868	0,30	0,42	0,74	0,39	0,93	0,39	0,49	0,35	0,52	0,76	0,84	0,50	0,41	0,64	0,68	0,51	0,54
1869	0,00	0,07	0,15	0,04	0,28	0,11	0,00	0,00	0,06	0,00	0,18	0,07	0,00	0,16	0,22	0,04	0,08
1870	0,09	0,13	0,38	0,15	0,43	0,13	0,22	0,14	0,16	0,23	0,20	0,11	0,31	0,30	0,23	0,20	0,18
1871	0,17	0,22	0,68	0,16	0,54	0,26	0,23	0,18	0,20	0,26	0,43	0,20	0,30	0,43	0,41	0,29	0,27
1872	0,17	0,28	0,76	0,03	0,69	0,41	0,29	0,21	0,23	0,41	0,51	0,22	0,43	0,52	0,77	0,37	0,32
1873	0,09	0,05	0,20	0,17	0,39	0,19	0,11	0,08	0,07	0,13	0,31	0,09	0,10	0,16	0,39	0,11	0,11
1874	0,00	0,09	0,18	0,12	0,33	0,14	0,03	0,00	0,12	0,10	0,31	0,05	0,10	0,19	0,29	0,13	0,13
1875	0,19	0,34	0,50	0,19	0,60	0,27	0,32	0,21	0,26	0,17	0,63	0,11	0,40	0,40	0,50	0,25	0,38
1876	0,10	0,13	0,33	0,07	0,41	0,20	0,23	0,11	0,10	0,14	0,41	0,12	0,18	0,20	0,40	0,17	0,23
1877	0,29	0,33	0,65	0,24	1,12	0,42	0,60	0,26	0,19	0,40	0,87	0,35	0,43	0,48	0,79	0,43	0,53
1878	0,27	0,24	0,90	0,24	1,28	0,42	0,66	0,25	0,34	0,44	0,79	0,43	0,63	0,58	1,04	0,62	0,49
1879	0,32	0,21	0,87	0,26	1,29	0,42	0,56	0,23	0,26	0,63	0,70	0,29	0,58	0,59	0,81	0,59	0,44
1880	0,23	0,19	0,98	0,24	1,22	0,40	0,38	0,21	0,24	0,53	0,82	0,21	0,75	0,57	0,81	0,57	0,49
1881	0,13	0,12	0,78	0,12	0,79	0,25	0,37	0,14	0,15	0,33	0,73	0,16	0,23	0,47	0,53	0,31	0,41
1882	0,14	0,13	0,80	0,13	1,00	0,23	0,37	0,26	0,13	0,34	0,77	0,19	0,29	0,43	0,53	0,25	0,39
1883	0,23	0,24	0,74	0,18	1,08	0,32	0,53	0,21	0,20	0,38	0,96	0,30	0,48	0,59	0,93	0,46	0,37
1884	0,07	0,07	0,24	0,05	0,47	0,11	0,00	0,10	0,05	0,15	0,34	0,00	0,11	0,11	0,42	0,12	0,11
1885	0,03	0,06	0,16	0,05	0,28	0,04	0,11	0,03	0,03	0,09	0,25	0,00	0,07	0,11	0,42	0,06	0,07
1886	0,16	0,12	0,29	0,06	0,54	0,22	0,28	0,13	0,08	0,19	0,34	0,14	0,25	0,24	0,61	0,21	0,21
1887	0,28	0,33	0,47	0,20	0,66	0,28	0,36	0,28	0,15	0,34	0,38	0,25	0,46	0,46	0,88	0,23	0,42
1888	0,17	0,13	0,48	0,17	0,78	0,17	0,37	0,23	0,11	0,26	0,28	0,16	0,32	0,35	1,02	0,25	0,35
1889	0,08	0,04	0,29	0,03	0,50	0,09	0,20	0,16	0,03	0,13	0,23	0,13	0,21	0,19	0,55	0,13	0,26
1890	0,16	0,11	0,32	0,07	0,67	0,16	0,16	0,16	0,08	0,18	0,37	0,14	0,34	0,32	0,59	0,21	0,29
1891	0,36	0,26	0,77	0,26	1,10	0,41	0,53	0,43	0,18	0,39	0,56	0,40	0,73	0,61	0,99	0,47	0,53
1892	0,37	0,19	0,65	0,29	1,15	0,58	0,53	0,32	0,14	0,28	0,47	0,35	0,74	0,73	1,13	0,58	0,61
1893	0,23	0,12	0,52	0,24	0,73	0,42	0,32	0,21	0,20	0,28	0,44	0,21	0,66	0,65	0,74	0,35	0,32
1894	0,32	0,27	0,70	0,26	0,99	0,45	0,43	0,32	0,38	0,57	0,57	0,44	0,72	0,87	0,95	0,94	0,29
1895	0,22	0,15	0,40	0,19	0,99	0,38	0,37	0,17	0,19	0,31	0,53	0,17	0,13	0,43	0,76	0,61	0,20
1896	0,38	0,30	0,70	0,44	1,10	0,46	0,56	0,32	0,34	0,33	0,59	0,31	0,71	0,71	1,11	0,99	0,38
1897	0,32	0,30	0,67	0,59	1,55	0,45	0,80	0,38	0,44	0,66	0,62	0,41	0,84	0,77	1,35	1,05	0,36
1898	0,06	0,08	0,29	0,08	0,56	0,29	0,20	0,14	0,14	0,26	0,46	0,09	0,48	0,37	0,65	0,45	0,13
1899	0,11	0,04	0,24	0,10	0,42	0,20	0,15	0,13	0,05	0,20	0,36	0,09	0,32	0,43	0,62	0,37	0,15
1900	0,05	0,09	0,29	0,06	0,23	0,18	0,07	0,10	0,04	0,08	0,22	0,12	0,39	0,26	0,20	0,22	0,13
1901	0,21	0,22	0,42	0,20	0,46	0,31	0,20	0,25	0,21	0,19	0,45	0,14	0,64	0,57	0,52	0,46	0,28
1902	0,21	0,27	0,47	0,23	0,51	0,29	0,30	0,22	0,22	0,20	0,45	0,11	0,38	0,55	0,46	0,53	0,27
1903	0,12	0,08	0,44	0,04	0,43	0,25	0,29	0,17	0,12	0,15	0,38	0,11	0,53	0,47	0,49	0,29	0,20
1904	0,12	0,11	0,40	0,12	0,28	0,24	0,29	0,09	0,14	0,14	0,45	0,08	0,21	0,45	0,33	0,38	0,12
