year,RCTA*KHA_03_,RCTA*KHA_06_,RCTA*KHA_09_,RCTA*KHA_12_,RCTA*KHA_14_,RCTA*KHA_15_,RCTA*KHA_16_,RCTA*KHA_17_,RCTA*KHA_19_,RCTA*KHA_20_
1852,35.23649215698242,30.642684936523438,40.75557327270508,40.66270446777344,31.99602508544922,0,30.26458168029785,38.77670669555664,0,16.912309646606445
1853,26.880643844604492,22.151811599731445,32.441070556640625,44.05164337158203,33.53050994873047,0,32.054691314697266,41.505374908447266,0,12.117563247680664
1854,37.639766693115234,26.49117088317871,29.59955596923828,51.015621185302734,29.986408233642578,0,31.621870040893555,51.39578628540039,20.72389793395996,13.647716522216797
1855,37.459312438964844,24.280895233154297,31.656587600708008,46.662654876708984,28.844148635864258,0,36.124595642089844,43.74468231201172,28.252140045166016,14.583921432495117
1856,31.399742126464844,22.38805389404297,28.601707458496094,39.5477409362793,29.69171905517578,0,42.683494567871094,45.3390998840332,40.5119514465332,14.269840240478516
1857,40.30435562133789,28.495441436767578,34.13652038574219,50.502967834472656,29.14901351928711,0,25.381757736206055,49.5841178894043,0,12.58249568939209
1858,33.937400817871094,24.9728946685791,40.15434265136719,52.643009185791016,30.1866455078125,0,43.964054107666016,45.66442108154297,32.32773208618164,12.569714546203613
1859,30.3299617767334,31.594770431518555,38.402469635009766,44.40009689331055,28.20242691040039,0,20.851825714111328,41.9374885559082,33.28862762451172,10.663290977478027
1860,30.436548233032227,25.433469772338867,40.51437759399414,47.36675262451172,24.704648971557617,0,22.082740783691406,42.945186614990234,42.163352966308594,11.305835723876953
1861,34.063453674316406,25.70981216430664,41.74390411376953,48.15668487548828,37.50295639038086,0,23.957582473754883,48.142269134521484,42.60503387451172,11.383523941040039
1862,36.19443130493164,27.368385314941406,41.67874526977539,50.60823440551758,33.349273681640625,0,31.038131713867188,46.394325256347656,41.990169525146484,7.150475978851318
1863,23.6856746673584,20.664533615112305,34.310184478759766,43.98459243774414,32.0876579284668,0,36.257389068603516,42.39800262451172,37.936683654785156,4.627997398376465
1864,31.72793960571289,25.870574951171875,41.134368896484375,50.28755187988281,36.67408752441406,0,0,46.57139205932617,41.74483871459961,7.176177978515625
1865,32.99050521850586,24.387922286987305,39.720726013183594,40.5919189453125,34.46240997314453,0,23.68269920349121,46.29741668701172,43.131038665771484,12.538580894470215
1866,36.15232467651367,26.95766830444336,39.46964645385742,51.46710968017578,36.5754280090332,0,30.123884201049805,50.18798065185547,48.62935256958008,19.72473907470703
1867,38.52629470825195,35.01103210449219,49.749019622802734,48.332515716552734,42.24653625488281,0,32.91441345214844,48.78168869018555,46.16950988769531,12.470622062683105
1868,37.08061599731445,26.568727493286133,46.48125076293945,46.105308532714844,40.682594299316406,0,33.40542984008789,46.72982406616211,45.948055267333984,18.78408432006836
1869,46.70954513549805,37.117431640625,4.586852550506592,59.510562896728516,42.18769454956055,0,38.08293151855469,52.53926467895508,50.702178955078125,27.341033935546875
1870,34.96206283569336,32.91579818725586,43.17624282836914,37.73252868652344,33.88761520385742,0,35.89540100097656,44.10478973388672,38.53639602661133,16.55498504638672
1871,38.36203384399414,28.37736701965332,40.36769104003906,51.213802337646484,35.396522521972656,0,33.6917724609375,46.95368194580078,43.35895538330078,18.235546112060547
1872,39.806182861328125,30.850482940673828,36.8415412902832,48.22138214111328,35.029685974121094,0,34.04018783569336,44.99225616455078,44.697265625,21.77508544921875
1873,38.75286102294922,31.96038055419922,43.632225036621094,49.61320495605469,31.330562591552734,0,28.696552276611328,46.06902313232422,41.94039535522461,20.36483383178711
1874,51.03916549682617,28.723888397216797,12.62636661529541,43.591793060302734,27.185766220092773,0,37.829410552978516,49.76268768310547,45.621192932128906,24.39189910888672
