year,CWTtanKHA_03_,CWTtanKHA_06_,CWTtanKHA_09_,CWTtanKHA_12_,CWTtanKHA_14_,CWTtanKHA_15_,CWTtanKHA_16_,CWTtanKHA_17_,CWTtanKHA_19_,CWTtanKHA_20_
1893,5.000354766845703,3.9531071186065674,0,0,3.7588307857513428,4.6698527336120605,4.77794075012207,3.7193756103515625,4.389601707458496,4.813281536102295
1894,5.951209545135498,4.741171360015869,0,0,3.9744396209716797,5.1215314865112305,4.853295803070068,4.170240879058838,3.9639899730682373,5.271327495574951
1895,4.561933994293213,4.413695812225342,0,0,3.6153640747070312,3.0059397220611572,4.1893744468688965,3.582608222961426,4.689528942108154,5.048360824584961
1896,5.784506320953369,4.577602863311768,0,0,4.006007671356201,4.604073524475098,4.633965969085693,4.0567626953125,4.140631675720215,5.076816558837891
1897,6.601306915283203,4.968006134033203,0,0,4.248282432556152,5.28214168548584,3.7774741649627686,4.273987293243408,3.869802474975586,5.883144855499268
1898,4.42319917678833,3.5779807567596436,0,0,3.4602584838867188,3.814774751663208,3.6410157680511475,3.663060426712036,3.6338613033294678,3.7845025062561035
1899,4.479891300201416,4.01711368560791,0,0,3.5190415382385254,2.959958553314209,3.22776198387146,3.1884782314300537,3.28781795501709,3.399348258972168
1900,5.134685039520264,3.3635451793670654,0,0,3.8754000663757324,3.4762685298919678,3.895106554031372,3.2824318408966064,3.194718837738037,3.9493281841278076
1901,4.721323013305664,3.6437721252441406,0,0,3.65175199508667,4.270337104797363,3.3196208477020264,3.251413583755493,3.1432507038116455,4.3903727531433105
1902,3.8609848022460938,3.205127716064453,0,0,3.432878017425537,4.435588836669922,3.0071818828582764,3.131645679473877,3.1192123889923096,3.754206418991089
1903,4.006696701049805,3.713883876800537,0,0,3.689636468887329,4.506224155426025,3.5944504737854004,3.607227087020874,3.3822593688964844,3.871204376220703
1904,4.527005672454834,4.166995525360107,0,0,3.573298692703247,5.444535732269287,3.383167266845703,3.6393206119537354,3.674656629562378,3.459097385406494
