year,MaxRWKHA_03_,MaxRWKHA_06_,MaxRWKHA_09_,MaxRWKHA_12_,MaxRWKHA_14_,MaxRWKHA_15_,MaxRWKHA_16_,MaxRWKHA_17_,MaxRWKHA_19_,MaxRWKHA_20_
1820,239.7734375,201.453125,170.6328125,244.046875,59.21875,50.375,234.1640625,0,174.9140625,152.953125
1821,397.9609375,346.9765625,316.640625,483.3984375,141.0234375,286.3828125,468.2421875,0,417.2578125,219.2421875
1822,538.0859375,425.25,295.15625,524.625,124.6640625,217.03125,483.6953125,0,554.296875,327.984375
1823,279.3984375,283.34375,149.4921875,402.3671875,56.96875,69.3984375,216.3984375,0,426.2734375,168.8359375
1824,267.578125,246.2109375,191.96875,507.515625,62.4140625,50.3671875,190.1875,0,396.09375,232.9453125
1825,44.296875,74.1015625,0.078125,401.4765625,26.140625,14.140625,37.875,0,90.9140625,26.703125
1826,162.2421875,247.140625,123.0625,182.6796875,57.015625,55.703125,137.4296875,0,273.4609375,194.1640625
1827,319.84375,248.421875,196.2109375,210.3984375,98.21875,64.953125,200.1171875,0,156.0390625,189.1875
1828,840.2578125,451.2578125,370.9375,380.5,202.890625,190.40625,354.8671875,0,541.4453125,355.8515625
1829,452.1796875,358.1171875,211.1484375,298.8046875,101.6484375,247.109375,367.5234375,0,400.1015625,220.0625
1830,249.484375,83.1015625,65.125,88.7734375,60.5390625,11.6171875,81.140625,0,179.515625,125.5390625
1831,511.734375,336.4453125,194,321.84375,180.7890625,120.796875,297.3515625,0,416.8359375,272.2109375
1832,320.4921875,226.3515625,165,267,109.609375,267.859375,191.9140625,0,256.0703125,207.7578125
1833,111.6015625,161.71875,53.5546875,127.75,48.65625,18.5625,85.8046875,0,152.9140625,122.0234375
1834,339.09375,304.0546875,313.203125,386.640625,255.8046875,101.75,226.5078125,137.140625,539.75,293.0546875
1835,448.2578125,446.8671875,489.4609375,389.3125,330.65625,208.296875,345.9375,314.1328125,736.4296875,382.859375
1836,276.703125,255.5,332.6640625,350.578125,208.6328125,233.375,208.6953125,257.7109375,480.4453125,217.7578125
1837,133.34375,95.21875,87.5546875,191.7265625,60.125,151.6484375,77.8984375,156.5546875,150.6484375,91.75
1838,166.2265625,142.46875,159.53125,141.96875,128.234375,146.3125,111.4453125,479.203125,337.8671875,214.3828125
1839,251.515625,222.765625,192.7890625,253.5625,110.0625,80.015625,139.6796875,447.2265625,316.4921875,182.4765625
1840,366.625,354.3984375,240.0546875,227.28125,149.8515625,194.515625,364.7890625,597.40625,530.4765625,270.171875
1841,351.4296875,526.453125,288.25,307.8203125,216.1640625,223.640625,349.71875,258.625,2188.0703125,414.65625
1842,714.3515625,325.7890625,340.796875,415.453125,223.2421875,307.765625,427.8671875,365.2734375,943.890625,361.1484375
1843,624.5390625,245.3515625,186.109375,274.4921875,182.1796875,68.0703125,293.640625,572.4453125,510.25,500.875
1844,224.109375,180.328125,179.453125,178.546875,153.2734375,105.6640625,183.5390625,563.2578125,338.4921875,206.0703125
1845,339.5390625,223.2421875,235.0859375,231.1015625,192.2578125,87.0625,259.5078125,575,457.2109375,227.6875
1846,360.671875,259.421875,311.15625,263.0234375,193.875,198.0546875,300.15625,695.1328125,551.4921875,269.296875
1847,321.765625,116.6953125,130.8515625,183.9375,102.09375,122.4375,151.71875,313.1484375,257.0078125,293.1015625
1848,294.390625,241.46875,165.390625,270.9140625,144.1015625,0,212.2578125,492.40625,406.984375,282.4296875
1849,245.4453125,94.5625,16.8125,463.09375,45.9765625,448.1953125,52.8359375,289.234375,146.875,114.890625
1850,392.96875,337.6796875,237.6328125,389.078125,167,263.921875,321.53125,352.03125,474.703125,279.7890625
1851,210.875,211.2109375,178.546875,341.234375,88.53125,102.5546875,295.4765625,200.6796875,202.03125,196.28125
1852,458.015625,352.75,452.25,588.109375,368.203125,581.6640625,679.8203125,552.9296875,914.1640625,496.171875
1853,388.09375,322.2578125,250.2421875,308.078125,384.9921875,387.203125,397.765625,597.4296875,620.3828125,294.9375
1854,612.140625,386.3515625,353.5546875,528.984375,649.84375,432.296875,473.6328125,1057.4765625,875.5546875,432.890625
1855,1039.2734375,407.9609375,409.8046875,389.046875,501.2578125,388.296875,420.671875,835.2890625,786.7421875,339.125
1856,618.8046875,684.3125,246.203125,432.5859375,523.734375,509.2890625,455.53125,715.7890625,910.7734375,369.5
1857,866.875,707.203125,541.3515625,767.515625,745.703125,479.140625,520.9140625,727.28125,1093.515625,501.40625
1858,447.8046875,563.5703125,311.65625,749.265625,416.765625,443.8515625,514.96875,611.0078125,625.4140625,440.28125
1859,328.8046875,255.453125,243.59375,636.6796875,463.28125,197.484375,520.0078125,460.703125,563.6796875,425.109375
1860,630.375,602.1015625,366.8828125,974.9921875,596.1328125,494.3046875,844.9453125,800.171875,928.625,695.9921875
1861,754.6484375,528.109375,374.875,724.3515625,469.0078125,352.6875,581.3828125,853.171875,638.109375,502.5390625
1862,560.0390625,486.2109375,294.8984375,678.9765625,448.71875,236.421875,498.09375,784.2734375,593.7890625,640.4609375
1863,452.2265625,320.0625,375.6953125,620.7578125,461.7265625,296.2109375,690.71875,777.078125,651.8671875,522.8515625
1864,464.1796875,459.796875,409.7265625,772.7421875,537.515625,254.1328125,0,686.5390625,660.2890625,509.2265625
1865,749.671875,440.7578125,427.875,913.765625,657.0234375,366.46875,1018.609375,845.0078125,698.6484375,639.2265625
1866,242.7421875,164.1015625,107.8515625,378.171875,141.9609375,107.9140625,216.671875,261.8046875,126.4765625,233.96875
1867,346.9140625,113.1015625,111.8984375,444.6171875,197.1484375,181.234375,318.5546875,381.2265625,180.171875,217.9375
1868,908.0078125,413.8203125,373.7109375,813.515625,527.1875,448.359375,736.8515625,710.5,563.125,564.984375
1869,301.6328125,128.671875,20.9453125,285.625,93.7421875,0,280.265625,255.828125,85.09375,108.1875
1870,487.1015625,181.671875,178.8125,243.8984375,117.828125,707.1875,290.40625,258.421875,216.890625,180.71875
1871,831.140625,275.390625,206.3984375,477.2734375,199.4765625,404.8359375,380.625,429.2265625,315.203125,263.90625
1872,798.703125,399.2265625,240.015625,592.4375,251.3203125,556,547.6640625,798.15625,402.3515625,372.5859375
1873,231.1640625,191.3828125,107.4609375,350.90625,126.0390625,158.6875,258.609375,405.6484375,134.28125,168.8828125
1874,179.5,194.5078125,14.2578125,351.5390625,56.4453125,144.0625,224.4609375,311.671875,110.078125,152.1484375
1875,579.8359375,291.703125,219.2421875,665.75,89.3359375,513.1796875,399.125,527.0546875,359.6796875,320.0859375
1876,343.3828125,219.7109375,108.984375,439.9453125,130.578125,276.1640625,246.5859375,437.3359375,188.8359375,214.3125
1877,851.390625,402.46875,280.4453125,931.671875,310.4296875,476.9453125,537.5234375,836.6953125,470.59375,482.734375
1878,536,555.9296875,355.84375,785.5,382.765625,713.5234375,608.1953125,1049.8125,601.2890625,514.9765625
1879,892.53125,453.9140625,218.8359375,772.265625,323.359375,664.7265625,633.8125,841.2421875,574.5,512.6328125
1880,1037,428.9453125,237.828125,870.5234375,227.40625,857.2734375,659.4609375,869.890625,573.203125,507.8984375
1881,778.765625,291.7109375,132.15625,756.640625,150.9140625,360.828125,456.890625,574.3671875,359.640625,376.0859375
1882,793.9453125,300.8046875,301.4765625,780.1484375,180.5390625,331.6953125,435.3671875,548.6953125,300.15625,360.2265625
1883,778.5,319.1953125,327.0859375,986.46875,260.765625,603.6015625,557.0859375,937.3515625,524.8515625,407.984375
1884,247.5859375,132.1484375,98.171875,386.890625,30.4296875,169.5,170.2109375,414.6796875,176.0859375,137.4921875
1885,190.75,64.328125,36.703125,0,34.390625,96.5390625,156.4375,430.65625,84.5390625,101.640625
1886,309.5078125,239.703125,157.34375,0,155.6484375,315.8671875,296.265625,656.71875,208.671875,202.890625
1887,496.484375,293.9375,278.4296875,0,273.03125,555.8828125,522.9765625,933.5390625,272.359375,376.140625
1888,559.1875,197.1640625,352.3203125,0,243.2734375,475.6328125,404.8984375,1045.4296875,267.03125,364.2421875
1889,324.90625,125.9765625,0,0,154.90625,321.984375,217.9140625,621.078125,164.7421875,306.328125
1890,345.1640625,216.1171875,0,0,141.859375,384.7109375,326.15625,633.5234375,223.140625,356.3359375
1891,752.6640625,437.9765625,0,0,375.6171875,764.3359375,624.9609375,1065.6953125,483.8203125,655.515625
1892,690.9140625,538.1953125,0,0,443.3359375,789.671875,739.5,1153.8125,571.40625,822.6171875
1893,549.1875,446.96875,0,0,263.734375,658.7109375,651.4296875,735.6640625,415.7734375,412.375
1894,731.1953125,480.03125,0,0,440.7890625,743.78125,896.078125,943.84375,880.265625,463.6640625
1895,402.4296875,401.3671875,0,0,222.4609375,156.578125,491.1171875,748.015625,612.078125,289.5078125
1896,689.8046875,463.640625,0,0,323.125,721.65625,825.6015625,1106.3046875,1091.8359375,439.359375
1897,672.421875,511.09375,0,0,461.515625,840.109375,746.8984375,1358.1953125,1071.171875,367.7578125
1898,299.8671875,327.9609375,0,0,109.0234375,367.1640625,363.7421875,739.9140625,666.203125,145.4375
1899,245.4921875,230.2421875,0,0,123.03125,187.578125,380.40625,718.1953125,501.6640625,122.015625
1900,300.5703125,179.8984375,0,0,162.2265625,339.1953125,257.078125,231.3984375,354.953125,126
1901,439.8515625,321.8828125,0,0,148.09375,390.046875,618.421875,495.765625,543.6328125,315.703125
1902,474.84375,323.078125,0,0,144.6171875,729.0625,515.4921875,525.1640625,560.875,264.1875
1903,532.2421875,320.4609375,0,0,138.5625,420.4140625,505.8125,494.3046875,363.3828125,182.546875
1904,430.5234375,310.640625,0,0,104.984375,599.578125,474.0859375,382.7734375,390.046875,126.34375
1905,311.4765625,171.0625,0,423.3125,98.3984375,235.7734375,272.6171875,257.0234375,377.2421875,110.0859375
1906,343,209.984375,0,401.46875,169.7890625,282.921875,311.765625,400.3203125,334.53125,214.609375
1907,392.28125,204.171875,0,352.53125,133.15625,350.1484375,311.109375,413.640625,299.4765625,199.3046875
1908,789.046875,502.5703125,0,610.625,418.34375,636.6171875,615.7890625,831.3359375,1061.640625,387.640625
1909,546.34375,119.15625,0,294.625,209.765625,180.9296875,253.7578125,751.6953125,479.15625,304.546875
1910,336.1953125,308.078125,0,127.6796875,251.3203125,472.5078125,286.5546875,737.1640625,249.3984375,190.5234375
1911,403.75,304.140625,0,216.0859375,172,532.8359375,191.3515625,649.6171875,213.5,143.2109375
1912,139.4140625,100.359375,0,96.171875,90.8984375,101.40625,98.0234375,420.0078125,96.9296875,152.53125
1913,243.6953125,202.46875,0,229.4453125,104.7578125,246.2265625,188.171875,355.125,169.359375,318.578125
1914,952.2265625,439.3515625,0,393.25,336.3984375,693.15625,524.6796875,703.6953125,448.21875,316.4453125
1915,587.6640625,444.6328125,0,156.296875,333.6875,343.2265625,337.8203125,669.7734375,325.9375,335.5078125
1916,665.5703125,442.5234375,0,345.0859375,463.078125,484.8515625,385.90625,846.4296875,359.2734375,358.015625
1917,532.46875,367.3125,0,268.71875,430.6484375,513.6171875,395.2421875,789.6015625,276.0234375,292.1953125
1918,585.8671875,481.3515625,0,428.859375,562.484375,465.5078125,435.4453125,782.53125,311.7109375,296.2734375
1919,511.328125,397.4921875,0,378.53125,375.421875,516.984375,418.609375,853.734375,345.1875,272.359375
1920,723.3359375,422.9609375,0,436.421875,435.4453125,554.53125,565.90625,850.8984375,355.03125,317.3515625
1921,418.6796875,312.59375,0,349.234375,383.9375,534.0703125,385.7421875,512.625,163.6015625,208.1953125
1922,521.875,369.109375,0,531.4375,607.6484375,498.765625,519.96875,630.640625,344.4765625,284.1171875
1923,662.0703125,346.1015625,0,490.4140625,531.453125,457.9140625,387.3671875,713.1640625,318.4453125,322.2265625
1924,691.6875,381.4765625,0,427.375,711.5703125,478.046875,432.0546875,838.40625,414.2734375,389.453125
1925,394.78125,205.015625,0,372.171875,417.046875,372.34375,270.6171875,504.015625,216.2734375,194.9765625
1926,457.7734375,350.09375,0,498.671875,551.4765625,438.6171875,532.09375,934.3046875,457.328125,288.6640625
1927,297.7734375,227.3046875,0,348.46875,292.5625,247.109375,197.2734375,531.359375,235.1875,199.421875
1928,579.3046875,426.59375,0,490,546.0625,545.3515625,698.5,831.8515625,460.109375,292.2890625
1929,686.6640625,344.8125,0,378.3359375,400.65625,597.296875,451.1015625,496.453125,407.171875,346.9453125
1930,540.8984375,324.46875,0,586.0390625,475.4453125,729.984375,543.265625,586.9765625,435.2890625,356.71875
1931,256.1875,261.703125,0,171.0703125,183.46875,117.8359375,172.71875,323.609375,232.8203125,153.3359375
1932,366.21875,323.59375,0,512.203125,464.3671875,500.75,430.0390625,585.0703125,382.484375,214.9375
1933,732.28125,338.5625,0,551.8359375,319.0390625,459.9609375,467.375,635.640625,399.4296875,360.25
1934,526.2109375,321.34375,0,556.296875,386.3046875,217.1328125,430.4375,671.453125,389.71875,234.2734375
1935,567.828125,293.390625,0,401.5,411.3515625,356.0625,489.6640625,904.375,545.7734375,258.5703125
1936,694.96875,399.6015625,0,381.2734375,830.6875,1365.4453125,658.140625,1157.265625,648.0078125,278.5625
1937,510.21875,365.3984375,0,343.8828125,451.8046875,391.9921875,537.015625,1000.7890625,485.421875,263.046875
1938,344.625,379.671875,0,534.0859375,633.5,454.5859375,584.8515625,978.6171875,397.2109375,228.15625
