year,CWAKHA_03_,CWAKHA_06_,CWAKHA_09_,CWAKHA_12_,CWAKHA_14_,CWAKHA_15_,CWAKHA_16_,CWAKHA_17_,CWAKHA_19_,CWAKHA_20_
1881,442.48382568359375,330.05426025390625,371.7674255371094,463.02825927734375,402.7398986816406,419.223388671875,486.6850280761719,301.0205993652344,456.8416748046875,359.34246826171875
1882,386.5060729980469,260.29608154296875,437.8388977050781,438.80096435546875,427.9471740722656,387.55804443359375,484.6702880859375,296.63116455078125,546.9819946289062,335.3072204589844
1883,418.1816711425781,351.034423828125,405.34765625,401.3930358886719,455.35272216796875,410.686767578125,432.28106689453125,309.5556335449219,428.54046630859375,371.4808349609375
1884,315.4405822753906,298.8794860839844,260.8656311035156,302.47833251953125,423.98114013671875,251.50021362304688,412.5798645019531,230.74050903320312,417.1608581542969,267.9751281738281
1885,303.01568603515625,333.45367431640625,253.2776336669922,0,247.81097412109375,242.938720703125,380.8082275390625,230.9353485107422,475.3533935546875,268.1134033203125
1886,369.68255615234375,243.43807983398438,377.52069091796875,0,373.3681640625,319.2351989746094,381.1777648925781,288.7170715332031,607.1854858398438,299.8291015625
1887,439.5080871582031,281.12664794921875,444.72161865234375,0,452.35272216796875,386.7410583496094,450.046875,324.6250915527344,566.1143188476562,358.5834655761719
1888,460.0195007324219,366.14874267578125,466.4302978515625,0,415.2778625488281,455.4622497558594,503.3644714355469,345.8180236816406,536.6729125976562,349.02593994140625
1889,459.31256103515625,317.67413330078125,0,0,444.2635192871094,404.1591491699219,427.98284912109375,283.0927429199219,-999,356.853759765625
1890,440.7291259765625,272.87176513671875,0,0,386.8133239746094,452.1181945800781,463.37567138671875,302.59539794921875,509.7667236328125,351.5552062988281
1891,507.42120361328125,389.92071533203125,0,0,462.1102294921875,463.27325439453125,494.8204650878906,284.88909912109375,560.7511596679688,386.779052734375
1892,500.5583801269531,412.6710205078125,0,0,490.9452209472656,492.92877197265625,489.9689636230469,323.365478515625,-999,397.0102233886719
1893,489.4202575683594,367.5738220214844,0,0,449.5144348144531,372.5447082519531,500.3910827636719,335.3399658203125,-999,357.9090881347656
1894,466.0604553222656,413.0496826171875,0,0,432.5841064453125,448.06982421875,526.0391235351562,357.53289794921875,-999,374.4951171875
1895,465.7834167480469,405.5933532714844,0,0,426.6613464355469,277.0682067871094,482.17193603515625,317.7543640136719,-999,348.7547912597656
1896,528.8866577148438,431.6798095703125,0,0,491.0870361328125,421.8522644042969,523.33642578125,364.1911315917969,332.441650390625,407.8887023925781
1897,521.3059692382812,449.8396911621094,0,0,545.5518798828125,511.57958984375,465.1311340332031,385.1165771484375,434.0292053222656,443.2423400878906
1898,379.6285400390625,329.4037780761719,0,0,359.9825439453125,356.02783203125,376.8221435546875,348.16656494140625,-999,276.9557800292969
1899,386.775146484375,325.16058349609375,0,0,398.417724609375,271.27374267578125,379.04913330078125,319.130859375,392.6310729980469,338.85284423828125
1900,459.106689453125,300.7102355957031,0,0,457.7638244628906,358.1584777832031,355.19329833984375,297.02777099609375,306.0384216308594,339.6655578613281
1901,430.0113525390625,345.8390808105469,0,0,392.9065246582031,454.61279296875,361.5157165527344,342.6684875488281,340.2265625,384.60113525390625
1902,331.30316162109375,270.3285827636719,0,0,424.1895446777344,461.87628173828125,332.9688415527344,333.9264221191406,622.2928466796875,308.9864807128906
1903,449.8254699707031,314.233154296875,0,0,421.3472595214844,438.9209289550781,337.8804626464844,348.498779296875,391.0491638183594,251.052978515625
1904,412.7127685546875,372.3916320800781,0,0,370.7049255371094,470.69000244140625,300.0644226074219,349.2509765625,414.3976135253906,256.2444763183594
1905,353.7903137207031,286.027099609375,0,432.2101745605469,391.30303955078125,394.127197265625,307.2005920410156,319.317138671875,807.5398559570312,266.8664855957031
1906,268.8952941894531,287.583984375,0,360.0322570800781,453.53759765625,411.35498046875,317.3186340332031,321.7370300292969,409.69427490234375,287.38922119140625
1907,-999,291.25787353515625,0,380.9881896972656,434.5490417480469,443.8868713378906,329.80633544921875,355.3785400390625,581.5148315429688,270.01544189453125
1908,582.1370849609375,438.51324462890625,0,398.7071228027344,506.3175048828125,484.34027099609375,317.2279357910156,367.1510925292969,409.4559631347656,409.0028381347656
1909,407.08026123046875,220.73707580566406,0,311.9960632324219,481.8834228515625,314.6462707519531,236.4550018310547,414.0376892089844,361.8678283691406,374.6094970703125
1910,442.8850402832031,407.0603942871094,0,298.9830322265625,549.0418090820312,505.90673828125,381.3597106933594,429.5243835449219,438.6609802246094,380.8221435546875
1911,-999,366.96307373046875,0,336.0077819824219,429.5495300292969,503.3004455566406,291.26190185546875,441.6595764160156,496.1725769042969,303.8269348144531
1912,251.32540893554688,219.1136932373047,0,209.45294189453125,287.61572265625,238.50355529785156,173.05682373046875,341.384033203125,384.2509765625,265.3479919433594
1913,320.7855529785156,340.2020263671875,0,237.5553741455078,387.6717529296875,364.79022216796875,318.7629089355469,371.8026428222656,384.4555358886719,435.7786865234375
1914,448.65313720703125,420.6054382324219,0,327.51116943359375,500.7284851074219,504.3946838378906,338.0190124511719,436.427001953125,428.51446533203125,413.1748962402344
1915,487.0071716308594,441.589111328125,0,259.0019836425781,480.4986877441406,426.9566955566406,340.9505310058594,479.2181701660156,569.7211303710938,411.273193359375
1916,519.5228271484375,705.6461791992188,0,393.3794860839844,397.9703674316406,477.5419616699219,375.80364990234375,528.1660766601562,365.4706115722656,420.5553283691406
1917,522.5570678710938,510.1846008300781,0,375.0529479980469,429.7117004394531,531.6145629882812,357.0633850097656,521.0195922851562,-999,452.5193786621094
1918,462.24945068359375,451.7082824707031,0,405.8563537597656,377.8839111328125,457.81060791015625,444.79901123046875,519.9776611328125,289.6192626953125,404.0261535644531
1919,519.6946411132812,512.848388671875,0,403.31317138671875,437.1461486816406,456.69476318359375,409.9986267089844,515.2217407226562,431.5752258300781,378.77447509765625
1920,572.4207153320312,634.9483642578125,0,495.4967956542969,432.9431457519531,481.8393859863281,405.9158020019531,603.4222412109375,506.0638732910156,432.2020263671875
1921,495.7455139160156,517.9100952148438,0,419.62847900390625,458.2055358886719,432.996826171875,335.9158935546875,496.6361083984375,-999,332.6249084472656
1922,625.8953857421875,484.5958251953125,0,436.0284118652344,447.64013671875,471.9436950683594,326.8132019042969,587.5770263671875,447.38525390625,393.40338134765625
1923,453.02972412109375,431.211181640625,0,438.8544616699219,410.14581298828125,465.0010681152344,353.7292785644531,587.1753540039062,582.8970336914062,402.8321533203125
1924,447.6788635253906,541.3530883789062,0,405.3305358886719,442.47796630859375,436.31573486328125,523.0338134765625,532.5989379882812,260.5447998046875,408.8120422363281
1925,398.6738586425781,427.2945556640625,0,420.0655822753906,386.1280822753906,409.97906494140625,782.913818359375,543.543212890625,389.420654296875,273.1517639160156
1926,415.3923645019531,460.1731872558594,0,391.6243896484375,373.97259521484375,419.01300048828125,427.5614318847656,522.6361694335938,449.4676513671875,375.2524108886719
1927,392.0141906738281,392.45501708984375,0,395.1120910644531,300.6656799316406,358.7125244140625,465.0546875,520.0437622070312,304.0128479003906,292.4364318847656
