year,MinRWKHA_03_,MinRWKHA_06_,MinRWKHA_09_,MinRWKHA_12_,MinRWKHA_14_,MinRWKHA_15_,MinRWKHA_16_,MinRWKHA_17_,MinRWKHA_19_,MinRWKHA_20_
1846,302.2890625,206.8828125,240.84375,186.4296875,137.046875,160.90625,250.421875,125.5546875,357.734375,212.6015625
1847,250.6875,73.8125,78.2109375,122.546875,65.7890625,82.65625,110.390625,252.8125,113.21875,203.328125
1848,188.109375,154.7421875,100.359375,196.7265625,85.75,0,160.765625,358.71875,296.4921875,243.078125
1849,105.2109375,42.5078125,-27.21875,292.0234375,25.625,79.8203125,15.875,174.8515625,5.296875,76.265625
1850,313.375,275.796875,183.3828125,350.8984375,133.5,200.671875,272.421875,229.515625,308.4375,151.1484375
1851,151.2578125,125.546875,141.46875,279.140625,42.453125,35.3671875,230.484375,118.1015625,117.3671875,128.6796875
1852,334.984375,300.578125,380.5625,529.671875,264.7734375,474.828125,571.890625,424.8359375,666.234375,400.484375
1853,312.5546875,280.2734375,142.3203125,241.3515625,316.5,306.296875,349.4296875,412.2734375,371,176.3125
1854,496.84375,330.375,218.3671875,410.453125,525.984375,327.9609375,363.9921875,861.046875,458.390625,337.109375
1855,756.3671875,332.890625,290.421875,293.5625,431.4375,285.578125,338.8359375,752.578125,596.1484375,262.0703125
1856,450.4140625,289.0859375,137.5703125,381.859375,447.5546875,401.25,380.0703125,630.96875,709.4453125,295.28125
1857,747.4609375,337.28125,395.1484375,601.828125,649.65625,391.6484375,433.4609375,632.7734375,882.28125,439.4453125
1858,376.6015625,283.3125,253.7109375,617.8359375,341.7265625,313.5078125,429.3828125,498.015625,-86.859375,384.84375
1859,253.734375,207.7890625,190.546875,543.1796875,415.015625,119.375,465.46875,412.671875,423.046875,346.09375
1860,553.390625,471.421875,315.109375,760.1328125,487.1640625,443.9140625,408.234375,711.375,853.4296875,578.15625
1861,644.0390625,481.7265625,293,641.578125,367.953125,289.546875,391.96875,726.2578125,592.3515625,395.015625
