year,MLAKHA_03_,MLAKHA_06_,MLAKHA_09_,MLAKHA_12_,MLAKHA_14_,MLAKHA_15_,MLAKHA_16_,MLAKHA_17_,MLAKHA_19_,MLAKHA_20_
1792,258.60504150390625,296.3388977050781,447.4380798339844,267.2180480957031,0,270.7696228027344,288.27508544921875,0,231.44020080566406,234.54884338378906
1793,276.892333984375,437.3690490722656,488.0274658203125,374.2185974121094,0,301.40380859375,321.0364074707031,0,295.50408935546875,295.81805419921875
1794,326.1539306640625,391.0102233886719,518.3758544921875,412.40936279296875,402.30078125,270.3977355957031,326.3782958984375,0,310.5193176269531,308.9449768066406
1795,310.8049621582031,386.6769104003906,417.5333251953125,339.8558349609375,380.52606201171875,335.2916564941406,379.9361572265625,0,267.0938415527344,271.2500305175781
1796,330.6977233886719,389.3719482421875,478.5779113769531,458.1098937988281,560.090087890625,407.7024230957031,420.79345703125,0,318.2446594238281,287.3879699707031
1797,303.6071472167969,367.7459716796875,454.38763427734375,461.5520935058594,575.5053100585938,325.8473205566406,462.3290710449219,0,307.75213623046875,310.47100830078125
1798,282.46514892578125,313.9000244140625,376.38629150390625,422.16693115234375,487.7767028808594,282.0622253417969,302.34381103515625,0,246.38140869140625,271.2889099121094
1799,308.41107177734375,411.27825927734375,542.5448608398438,447.5990905761719,620.35400390625,416.61553955078125,746.3851928710938,0,294.19476318359375,355.30084228515625
1800,205.5426025390625,264.1263732910156,363.171630859375,340.34234619140625,410.0975341796875,318.5601806640625,0,0,173.66517639160156,243.65069580078125
1801,301.8823547363281,418.69140625,437.9480285644531,374.2840270996094,586.5538330078125,381.7892761230469,0,0,196.9288330078125,274.32611083984375
1802,303.60211181640625,439.0946044921875,505.5412902832031,451.7901916503906,615.1256103515625,426.9959411621094,0,0,290.33990478515625,334.68878173828125
1803,308.33148193359375,404.4563293457031,423.333251953125,333.38494873046875,439.1724853515625,378.2820739746094,0,0,272.2439270019531,317.6705322265625
