year,RAKHA_03_,RAKHA_06_,RAKHA_09_,RAKHA_12_,RAKHA_14_,RAKHA_15_,RAKHA_16_,RAKHA_17_,RAKHA_19_,RAKHA_20_
1849,0.5249764869524824,0.2384466434259025,0.006765811461249882,1.1718823633924131,0.12681457086478076,1.016546840337,0.11302339827756214,0.7638836856464053,0.19305536909465104,0.33293660709539097
1850,1.2626901491006208,1.0579830923305025,0.7415621377784447,1.31516913027653,0.5276529255010871,0.8136624496912219,1.0377772419526679,0.9386432101237006,1.2961825538127698,0.8420946306978294
1851,0.6435583672773078,0.5756434851785457,0.5631227173910958,1.0845395590044262,0.23561512856616673,0.26318283061748105,0.9648052218990699,0.5230367374785914,0.5479094008381082,0.5783832340689798
1852,1.4248085560442547,1.145243630525698,1.480541834844857,1.9793770602832552,1.0903782751731796,1.8986340030154594,2.2210945826255113,1.60777044855908,2.864751525114741,1.5734222986066158
1853,1.2424561745388445,1.053057684265255,0.7033380357511021,0.95815009630482,1.2262481813693284,1.2227740680291959,1.3231395629320417,1.7086520405887455,1.6692222297717194,0.8501022187456613
1854,1.9865188780169944,1.2800979450748287,0.9264476212951394,1.5894709592911482,2.1241601970538255,1.3615603288892402,1.4502542305526447,3.3022912035814187,2.4894486563357106,1.3486336443736349
1855,3.187502715042882,1.3345397442627842,1.1893892396543464,1.2409953085669372,1.6784071888719438,1.2259576199226672,1.3146833651042158,2.792775008273381,2.470422025845309,1.0813425405450943
1856,1.9175513686575556,1.302577642397651,0.666989132150789,1.4321829074526846,1.7061428108418113,1.6388219099709147,1.4417680054377513,2.3933314520766515,2.8700511650294516,1.1248553526299219
1857,2.80477326300678,1.573417018204978,1.6451606126498461,2.540721869715753,2.4510114594377086,1.5374065080880257,1.6791828628744696,2.355660397465911,3.3986023197461606,1.6793847387525318
1858,1.4619758929031264,1.2983653174137828,0.9982784859267468,2.414797137352636,1.3560239967005288,1.2815887620569129,1.6620637792290012,1.926441621196318,0.9652589815571417,1.4625356415037345
1859,1.0276527128092425,0.803200485811729,0.774046795115666,2.0999574167830133,1.5570664140633284,0.5639389727765405,1.761778343508567,1.5693773201626158,1.7391935427868503,1.351928764390081
1860,2.0879109281088404,1.8202454073564098,1.1978749596851657,3.0825338027050293,1.926222957442036,1.6707862963039872,2.0619010428903835,2.636181503357861,3.142579555658429,2.2122567566425033
1861,2.474981649040032,1.7717483437732824,1.168097620054965,2.449285624186558,1.4770157977817888,1.1002708376051942,1.6967055079360307,2.6781594360839875,2.1788574758187735,1.5841853047405294
1862,1.8431155027562482,1.6377635619636237,0.9684173618966838,2.243643614489514,1.461002814193975,0.720643676250404,1.6370868546821669,2.6434115867169368,1.9661969141272522,1.932789968383048
