year,DhKHA_03_,DhKHA_06_,DhKHA_09_,DhKHA_12_,DhKHA_14_,DhKHA_15_,DhKHA_16_,DhKHA_17_,DhKHA_19_,DhKHA_20_
1830,28.092727661132812,15.99904727935791,21.47936248779297,24.5570011138916,21.972198486328125,29.797704696655273,24.26572036743164,0,23.969181060791016,25.637813568115234
1831,32.45154571533203,32.02436828613281,32.054931640625,32.795143127441406,27.270401000976562,30.76614761352539,28.52077865600586,0,25.849985122680664,28.67962074279785
1832,32.4236946105957,32.29726791381836,33.459312438964844,31.455902099609375,25.508699417114258,33.05832290649414,27.632505416870117,0,26.312774658203125,28.870054244995117
1833,28.018959045410156,31.319740295410156,27.00286293029785,29.736021041870117,23.856786727905273,0,0,0,25.269315719604492,27.69131088256836
1834,31.553632736206055,31.459794998168945,32.20804977416992,32.69971466064453,28.294742584228516,29.118919372558594,0,10.208641052246094,26.587026596069336,29.403610229492188
1835,30.755287170410156,32.662315368652344,32.15737533569336,30.059377670288086,28.55870246887207,31.209861755371094,36.53529357910156,13.05306625366211,26.131641387939453,29.400909423828125
1836,32.28511047363281,30.940927505493164,31.46001625061035,31.71693992614746,26.961471557617188,31.982778549194336,0,15.304353713989258,26.73322105407715,27.492958068847656
1837,30.278791427612305,31.11404800415039,29.178266525268555,32.723724365234375,23.607301712036133,34.41956329345703,33.892940521240234,14.480426788330078,29.901817321777344,24.213117599487305
1838,25.328187942504883,27.06330680847168,27.86785125732422,27.677820205688477,25.63381576538086,26.64220428466797,24.36899185180664,12.920794486999512,26.061189651489258,26.560270309448242
1839,32.41691970825195,30.570642471313477,31.430274963378906,33.03274154663086,27.743894577026367,31.955829620361328,18.31504249572754,15.711053848266602,28.459754943847656,29.43387222290039
1840,33.26203918457031,31.706228256225586,30.864459991455078,32.919124603271484,28.459850311279297,33.996429443359375,23.74929428100586,15.423444747924805,28.600479125976562,29.2570743560791
1841,33.13847351074219,29.119447708129883,33.27785110473633,33.530853271484375,28.73571014404297,33.369083404541016,28.485177993774414,14.158157348632812,0,31.017885208129883
1842,33.88766098022461,29.14016342163086,34.500328063964844,35.029937744140625,28.69525909423828,34.443878173828125,30.190160751342773,14.852882385253906,0,30.812599182128906
1843,32.08830642700195,30.050649642944336,30.51439666748047,33.11126708984375,28.0583553314209,0,0,16.072744369506836,0,29.651607513427734
1844,28.967103958129883,31.05583953857422,32.69677734375,32.8143196105957,27.853527069091797,0,28.70750617980957,17.054563522338867,0,27.473997116088867
1845,30.444921493530273,31.258501052856445,32.232425689697266,32.4538688659668,28.446075439453125,0,31.50933837890625,15.037097930908203,0,28.227807998657227
1846,31.703588485717773,31.71006202697754,34.87864303588867,35.17841339111328,29.52735137939453,0,32.838043212890625,15.37852954864502,0,29.77823829650879
1847,34.67280197143555,30.113441467285156,31.18490219116211,33.79886245727539,26.339338302612305,0,33.45902633666992,16.941625595092773,0,30.539119720458984
1848,31.755107879638672,28.1864013671875,30.060653686523438,33.45872497558594,26.754695892333984,0,28.14813995361328,18.561466217041016,0,29.112075805664062
1849,29.892578125,27.220415115356445,24.73151397705078,26.520103454589844,20.025955200195312,30.62188720703125,20.75162696838379,18.663854598999023,0,26.97843360900879
1850,32.51522445678711,30.970108032226562,32.73838806152344,29.48868179321289,27.244905471801758,34.178340911865234,32.501930236816406,20.211584091186523,0,27.392480850219727
1851,30.24618911743164,29.86945343017578,32.16292190551758,31.264392852783203,25.642852783203125,29.245431900024414,29.73326873779297,19.330820083618164,0,25.074024200439453
1852,33.87282180786133,30.850688934326172,33.33298110961914,30.474449157714844,28.3727970123291,32.31392288208008,31.77902603149414,19.088064193725586,0,28.39126205444336
1853,30.526269912719727,31.608234405517578,31.291057586669922,30.544239044189453,27.12864875793457,28.233049392700195,31.081226348876953,19.459331512451172,0,25.746522903442383
1854,32.06494140625,30.773727416992188,32.78667449951172,33.169273376464844,28.47960662841797,28.193756103515625,31.785659790039062,20.988426208496094,15.650657653808594,28.204965591430664
1855,30.178815841674805,30.712867736816406,32.96870803833008,31.862834930419922,28.067453384399414,26.89072608947754,31.669218063354492,19.05568504333496,23.533655166625977,28.121503829956055
1856,30.378915786743164,30.749818801879883,31.127845764160156,32.51078796386719,27.071237564086914,29.051462173461914,31.403656005859375,20.328989028930664,26.330860137939453,27.863344192504883
1857,32.230384826660156,31.321733474731445,31.954191207885742,35.629764556884766,29.288515090942383,29.545730590820312,33.541290283203125,21.80403709411621,0,27.070608139038086
1858,33.43286895751953,32.86874771118164,34.70195770263672,37.81327819824219,31.269611358642578,31.31117820739746,34.87632369995117,23.721744537353516,32.03270721435547,30.078044891357422
1859,31.329015731811523,32.37501525878906,33.4000358581543,33.10221862792969,28.995647430419922,25.828996658325195,33.044551849365234,23.14813995361328,29.530838012695312,29.451412200927734
1860,33.95207977294922,33.52169418334961,34.97594451904297,36.13827133178711,31.357513427734375,29.857431411743164,33.40266036987305,25.022245407104492,32.37660217285156,29.535444259643555
1861,32.834163665771484,32.88629150390625,33.219261169433594,34.020965576171875,28.795793533325195,28.96141242980957,34.148311614990234,23.957176208496094,30.623348236083984,27.191133499145508
1862,32.631282806396484,33.93283462524414,35.25654602050781,33.597129821777344,30.706995010375977,30.68050193786621,33.875892639160156,26.311399459838867,33.33739471435547,29.72609519958496
1863,30.799049377441406,32.90216064453125,34.928001403808594,34.67271041870117,29.620487213134766,28.79604148864746,34.624996185302734,25.879013061523438,32.527889251708984,28.36333656311035
1864,33.53135681152344,32.76904296875,34.2410774230957,34.147186279296875,29.913911819458008,28.83483123779297,0,26.812259674072266,31.87214469909668,27.789386749267578
1865,34.496456146240234,31.59884262084961,33.80262756347656,32.26847839355469,28.384605407714844,28.881336212158203,29.233570098876953,25.09459114074707,30.67289161682129,30.92152214050293
1866,32.392967224121094,31.346675872802734,30.189287185668945,30.587018966674805,27.667634963989258,27.852060317993164,29.50524139404297,26.475730895996094,28.304447174072266,33.32588195800781
1867,29.861587524414062,27.55682945251465,31.236879348754883,29.097990036010742,27.90386199951172,29.410844802856445,26.457361221313477,26.239171981811523,29.621545791625977,28.697574615478516
1868,33.93844223022461,31.39183807373047,33.00762176513672,32.36362075805664,28.786588668823242,29.132549285888672,28.614286422729492,26.57147216796875,31.04613494873047,32.22198486328125
1869,29.89097023010254,31.89939308166504,16.625755310058594,30.009750366210938,25.633056640625,0,29.72861671447754,27.386377334594727,26.201213836669922,28.859159469604492
1870,28.72966766357422,29.164405822753906,32.18115997314453,21.7898006439209,25.84371566772461,33.124725341796875,28.672178268432617,25.87510871887207,27.604665756225586,31.021499633789062
1871,31.82613754272461,32.81209182739258,34.45547103881836,33.5596923828125,29.053287506103516,34.309268951416016,29.44662857055664,28.285160064697266,31.38568687438965,32.37298583984375
1872,30.887392044067383,32.082576751708984,31.779891967773438,32.224613189697266,28.731674194335938,34.314022064208984,28.309101104736328,27.994647979736328,33.49751663208008,34.3063850402832
1873,30.890323638916016,33.38998031616211,31.740406036376953,32.130027770996094,27.052486419677734,32.72389602661133,26.490535736083984,29.91045379638672,30.479293823242188,31.006742477416992
1874,30.847137451171875,30.960844039916992,26.13994026184082,31.011432647705078,21.71832275390625,29.815263748168945,27.655858993530273,29.638378143310547,30.3801326751709,32.00104522705078
