year,MRadDistKHA_03_,MRadDistKHA_06_,MRadDistKHA_09_,MRadDistKHA_12_,MRadDistKHA_14_,MRadDistKHA_15_,MRadDistKHA_16_,MRadDistKHA_17_,MRadDistKHA_19_,MRadDistKHA_20_
1842,4905.859375,4088.5,1704.28125,7929.15625,8540.8359375,13222.796875,3716.0390625,1729.78125,1995.59375,10413.4609375
1843,5466.09375,4288.078125,1854.3359375,545.3984375,8670.6875,13271.2578125,3985.7421875,2146.046875,2404.921875,10795.1640625
1844,5657.515625,4451.546875,2012.046875,700.6875,8796.0234375,13362.65625,4142.515625,2616.15625,2680.9375,10948.578125
1845,5932.9609375,4654.9921875,2220.4609375,871.859375,8955.4609375,13430.34375,4355.3828125,3111.53125,3096.453125,11144.65625
1846,6264.6953125,4882.140625,2495.5390625,1098.3359375,9119.4921875,13608.8671875,4627.796875,3673.6015625,3569.234375,11380.15625
1847,6539.390625,4978.8515625,2594.8125,1241.140625,9199.0546875,13709.5625,4759.40625,3956.09375,3770.25,11628.828125
1848,6772.8828125,5189.109375,2715.765625,1471.546875,9309.53125,0,4944.765625,4356.8984375,4122.2578125,11893.59375
1849,6923.3984375,5256.0625,2717.625,467.8125,9344.8515625,292.5234375,4976.2421875,4572.2109375,4175.3203125,11986.71875
1850,7279.734375,5555.6640625,2926.9296875,839.9140625,9494.796875,522.6640625,5269.25,4837.859375,4542.2890625,450.7265625
1851,7460.9921875,5719.140625,3086.0546875,1146.90625,9562.921875,597.109375,5539.8515625,4985.6796875,4698.2265625,614.328125
1852,7862.0625,6043.265625,3504.3984375,1706.7265625,9873.4921875,1133.5546875,6165.546875,5441.0390625,5508.2578125,1058.7265625
1853,8214.453125,6341.671875,3702.875,2887.9609375,10220.90625,1479.3359375,6538.609375,5923.9765625,5975.953125,1299.203125
1854,8774.2109375,6702.65625,3965.8125,3338.8203125,10823.40625,1863.78125,6948.9765625,6858.3515625,6676.7109375,1680.578125
1855,9674.8203125,677.4609375,4301.796875,3689.6953125,11299.8359375,2210.015625,7320.4453125,7646.4453125,7375.1328125,1986.4140625
1856,10216.5703125,1048.1875,4489.3671875,4095.5703125,11779.890625,2672.7890625,7728.6875,8324.1875,8191.546875,2305.2734375
1857,11011.453125,1492.2578125,4954.96875,4812.8203125,12470.4765625,3107.7109375,8205.7578125,8992.046875,9146.6796875,2780.46875
1858,745.7578125,1858.4453125,5237.671875,5495.3671875,12851.8203125,3470.3359375,8676.3203125,9537.234375,278.5625,3194.4921875
1859,1036.375,2085.4921875,5456.46875,1698.75,13290.4296875,3630.5703125,9173.6953125,9979.5390625,770.359375,3577.2109375
1860,1626.9296875,2599.515625,5795.5,2570.03125,13833.171875,4103.390625,9760.7890625,10724.953125,1659.3046875,4202.2265625
1861,2326.7421875,3100.5,6125.796875,3261.4296875,1284.7265625,4413.9921875,10243.265625,1689.53125,2275.1484375,4648.9609375
1862,2847.84375,3563.71875,6399.2578125,3895.25,1697.359375,4617.625,10707.140625,2436.125,2832.21875,5196.625
1863,3233.796875,3852.4765625,6726.2109375,4492.0390625,2120.96875,4871.25,11333.3359375,3171.09375,3454.9765625,5697.9765625
1864,3668.2265625,4256.9921875,7101.9609375,5198.890625,2632.203125,5100.2421875,0,3820.6328125,4093.71875,6136.625
1865,4366.28125,4650.5546875,7479.5859375,6068.046875,3236.4375,5436.921875,920.5234375,4614.7890625,4750.5234375,742.3046875
1866,4570,4781.71875,7563.8515625,6397.8828125,3365.203125,5518,1110.1796875,4858.1328125,4863.6484375,947.5859375
1867,4823.046875,4861.21875,7656.5390625,6798.046875,3543.9375,5677.1953125,1361.0859375,5213.828125,5028.6640625,1135.0078125
1868,5618.0625,5250.5390625,8009.4453125,7559.1484375,4023.3984375,6086.421875,2029.8984375,5884.703125,5567.5078125,1671.1796875
1869,5832.4140625,5357.7890625,8011.3515625,7790.78125,4098.375,0,2220.3125,6107.90625,5628.046875,1759.984375
1870,6273.3359375,5507.8984375,8158.296875,7986.3671875,4199.109375,520.8359375,2463.203125,6349.1796875,5807.0078125,1917.6171875
1871,6996.375,5765.015625,8326.515625,8427.0078125,4372.3671875,894.34375,2805.1484375,6762.328125,6089.2421875,2152.3515625
1872,7752.6875,6126.3828125,8531.2265625,8968.6328125,4590.6015625,1384.0390625,3310.8984375,7525.9375,6454.109375,2497.546875
1873,7956.15625,6294.359375,8624.0390625,1116.8359375,4699.6328125,1512.125,3509.2109375,7910.3203125,6572.2578125,2627.2578125
1874,8102.2109375,6450.171875,8627.6484375,1444.4140625,4738.0078125,1628.4453125,3705.5390625,8202.6796875,6658.78125,2756.8828125
1875,8630.75,6716.671875,8819.765625,2074.4140625,4812.9375,2081.5703125,4065.6875,8699.203125,6962.890625,3049.671875
1876,8948.375,6910.734375,8906.2421875,2485.953125,4917.234375,2283.5,4285.1796875,9115.265625,7125.640625,3243.9921875
1877,9653.78125,7280.4765625,9124.7421875,3375.1328125,5211.671875,2722.578125,4785.8359375,9918.2109375,7557.390625,3707.625
1878,451.21875,419.4765625,9344.4296875,4109.0625,5566.6875,3408.9375,5360.3984375,3990.59375,8144.0390625,4190.3046875
1879,1302.671875,850.046875,9535.828125,4837.34375,5861.625,4044.4453125,5919.875,4805.453125,8671.4765625,4643.84375
1880,2266.1796875,1242.6640625,9714.46875,5660.828125,6074.75,4850.7578125,6522.1328125,5634.9609375,9204.1875,5114.7109375
1881,3013.1171875,1501.203125,9828.75,6366.7421875,6202.5859375,5128.90625,6928.2578125,6172.203125,9509.328125,5456.6015625
1882,3776.1015625,1746.125,10081.671875,7117.5703125,6368.375,5427.1796875,7305.4140625,6690.0703125,9774.1953125,5784.5
1883,4525.359375,2033.1640625,10339.9765625,8053.4453125,6610.7734375,5966.765625,7823.3359375,7557.8203125,10254.1796875,6160.3671875
1884,4760.0703125,2130.25,10407.6171875,8381.78125,6619.8046875,6097.6953125,7957.1328125,7941.6953125,10373.7578125,6269.53125
1885,4936.1484375,2167.484375,10439.375,0,6634.5703125,6165.5625,8080.015625,8351.1875,10438.390625,6351.4375
1886,5224.3984375,2376.1640625,10569.0390625,0,6771.9765625,6437.5,8333.921875,8965.8359375,10612.09375,6533.546875
1887,5689.78125,2631.4140625,10770.9765625,0,7003.7421875,6932.796875,8814.2109375,9868.0703125,10865.1015625,6883.0078125
1888,6178.140625,2789.9453125,11083.296875,0,7201.40625,7339.2578125,9182.390625,10874.6640625,11113.0859375,7216.6875
1889,6471.4453125,2886.328125,0,0,7334.140625,7618.828125,9342.8515625,11414.3984375,11253.9765625,7486.8828125
1890,6792.578125,3064.421875,0,0,7448.6328125,7977.359375,9641.640625,12006.453125,11455.9609375,7815.5625
1891,7512.2734375,3472.203125,0,0,7798.9609375,8717.90625,10222.65625,1527.125,11925.046875,8439.6875
