year,MRWKHA_03_,MRWKHA_06_,MRWKHA_09_,MRWKHA_12_,MRWKHA_14_,MRWKHA_15_,MRWKHA_16_,MRWKHA_17_,MRWKHA_19_,MRWKHA_20_
1860,589.701904296875,513.43359375,336.1279602050781,869.0303344726562,543.60400390625,471.8896179199219,579.8778686523438,740.434326171875,875.5836791992188,603.4277954101562
1861,698.2277221679688,498.95794677734375,328.27557373046875,690.6172485351562,413.4718017578125,310.9580993652344,479.4678039550781,745.5264892578125,607.9392700195312,432.4693603515625
1862,520.1881103515625,461.4024963378906,271.8729248046875,631.1509399414062,409.6355895996094,203.4069366455078,462.3854064941406,739.0648193359375,548.448486328125,524.04296875
1863,384.9759826660156,287.4548034667969,324.8316955566406,593.4160766601562,419.92462158203125,253.67579650878906,630.861083984375,728.2346801757812,615.3922119140625,477.6959228515625
1864,434.8269348144531,402.6502685546875,372.51727294921875,703.3092041015625,506.6560363769531,229.72720336914062,0,644.4338989257812,633.0980224609375,421.63275146484375
1865,698.7092895507812,391.39691162109375,374.2635192871094,868.050048828125,597.7874145507812,335.321533203125,920.5234375,789.0385131835938,651.1072387695312,601.5853881835938
1866,202.7561798095703,130.0301513671875,84.67601013183594,329.0636901855469,126.8926010131836,81.36913299560547,189.80661010742188,242.6464080810547,111.87935638427734,205.31700134277344
1867,252.27821350097656,79.61949157714844,90.53097534179688,398.9277648925781,176.8371124267578,158.6516571044922,250.30137634277344,353.66754150390625,163.52731323242188,186.82476806640625
1868,790.5248413085938,386.94378662109375,350.7035217285156,761.6378784179688,474.5213317871094,408.3680114746094,669.4426879882812,667.5101928710938,537.2798461914062,536.9051513671875
1869,210.74964904785156,106.84072875976562,1.9911067485809326,230.90023803710938,73.89874267578125,0,190.75428771972656,221.96580505371094,59.72249221801758,88.37440490722656
1870,437.7501525878906,150.07467651367188,146.00030517578125,194.27476501464844,100.3893814086914,520.8359375,242.28883361816406,241.6855010986328,177.47158813476562,157.93833923339844
1871,708.9617309570312,255.17620849609375,167.0836944580078,442.1627502441406,170.1258544921875,372.0678405761719,341.2727966308594,412.3819580078125,281.7424621582031,235.23072814941406
1872,745.9113159179688,359.08465576171875,203.488525390625,539.3951416015625,215.520263671875,488.2257080078125,504.9083251953125,764.6864624023438,362.7953796386719,345.7423400878906
1873,200.38021850585938,167.3421173095703,92.42369079589844,317.43792724609375,108.93126678466797,127.7628173828125,197.96051025390625,385.4109191894531,118.01224517822266,129.8027801513672
1874,144.6956024169922,154.6807403564453,3.3510894775390625,324.6107177734375,37.831024169921875,115.97755432128906,196.57943725585938,292.79144287109375,86.11852264404297,129.82247924804688
