year,MinLAKHA_03_,MinLAKHA_06_,MinLAKHA_09_,MinLAKHA_12_,MinLAKHA_14_,MinLAKHA_15_,MinLAKHA_16_,MinLAKHA_17_,MinLAKHA_19_,MinLAKHA_20_
1829,40.078392028808594,19.74884033203125,40.75558090209961,42.330039978027344,42.1827507019043,44.707984924316406,80.65633392333984,0,40.11037063598633,16.13372802734375
1830,40.083927154541016,17.03833770751953,41.65423583984375,40.34469985961914,40.05015182495117,807.967529296875,105.3963394165039,0,40.19795227050781,16.053516387939453
1831,40.57240295410156,17.27686309814453,40.05033493041992,40.003379821777344,40.45779800415039,40.89887237548828,741.7223510742188,0,40.246253967285156,16.00421714782715
1832,40.12691879272461,17.16275978088379,40.029605865478516,41.55967712402344,40.05171203613281,60.17725372314453,603.1024169921875,0,40.44147872924805,17.298946380615234
1833,41.53282165527344,19.357839584350586,40.40816116333008,40.588077545166016,41.15281677246094,0,0,0,40.40315246582031,16.33898162841797
1834,40.352359771728516,17.876384735107422,40.000370025634766,40.051666259765625,41.16101837158203,68.06937408447266,0,40.27387237548828,40.10240936279297,16.063335418701172
1835,40.11627197265625,17.314468383789062,40.07114791870117,40.05134582519531,40.43626022338867,46.99660873413086,1053.8170166015625,40.01852798461914,40.00160598754883,16.21613311767578
1836,40.53969192504883,21.083877563476562,40.000091552734375,41.13950729370117,41.25605010986328,60.31184005737305,0,40.20600891113281,40.001766204833984,16.13446807861328
1837,40.72727584838867,35.02775955200195,41.39678955078125,40.05119323730469,41.26390838623047,214.51519775390625,915.1939086914062,40.26252365112305,40.01946258544922,18.642454147338867
1838,40.37548065185547,18.267263412475586,40.19755554199219,40.01850509643555,40.03619384765625,101.47049713134766,162.20742797851562,40.0267219543457,40.3258056640625,16.09589958190918
1839,40.44972229003906,19.33917808532715,40.2626838684082,40.04450225830078,41.66569137573242,369.0806579589844,232.4742889404297,40.08393096923828,40.03046417236328,17.793596267700195
1840,40.350059509277344,18.16924476623535,40.00210189819336,40.419315338134766,40.23602294921875,41.88914489746094,423.5979309082031,40.08295440673828,40.04987716674805,16.000944137573242
1841,40.13243103027344,17.02132797241211,40.2977180480957,40.11631774902344,45.837738037109375,135.0692596435547,614.7448120117188,40.05152130126953,0,16.113943099975586
1842,40.05765914916992,17.33853530883789,40.7783203125,41.874454498291016,40.132625579833984,73.54947662353516,746.4188842773438,40.0048828125,0,16.070274353027344
1843,40.043006896972656,19.22748374938965,40.10013961791992,40.20054244995117,41.14228057861328,0,0,40.0869026184082,0,16.058944702148438
1844,40.222808837890625,31.992488861083984,40.01983642578125,40.49088668823242,40.74298858642578,0,116.63101196289062,40.02728271484375,0,16.00377655029297
1845,40.088069915771484,18.861467361450195,40.04593276977539,40.35205841064453,40.01317596435547,0,96.02571105957031,40.00297927856445,0,16.248903274536133
1846,40.115596771240234,17.0216064453125,40.06678771972656,40.0674934387207,40.751163482666016,0,41.458431243896484,40.02635192871094,0,16.133804321289062
1847,40.18223190307617,24.291210174560547,40.540138244628906,42.06192398071289,40.09839630126953,0,124.9986343383789,40.002403259277344,0,16.264209747314453
1848,40.49081039428711,17.064571380615234,40.21929168701172,40.00267791748047,40.156864166259766,0,42.14608383178711,40.013427734375,0,16.191120147705078
1849,40.86754608154297,25.75768280029297,109.71724700927734,7.619360446929932,42.12883758544922,40.14918518066406,51.039215087890625,40.100032806396484,0,16.005525588989258
1850,40.49015426635742,18.96762466430664,40.58158493041992,6.059311389923096,40.16761016845703,40.14337158203125,42.36361312866211,40.02070999145508,0,15.361082077026367
1851,40.13124084472656,19.53754425048828,40.09569549560547,9.27989387512207,45.529991149902344,42.9600944519043,143.30865478515625,40.003082275390625,0,15.45079231262207
1852,40.026485443115234,17.615827560424805,40.10065460205078,6.992629528045654,40.327972412109375,40.01128387451172,49.521141052246094,40.14873504638672,0,15.022359848022461
1853,40.0059928894043,17.111005783081055,40.002342224121094,40.101070404052734,41.37245178222656,40.051082611083984,139.28341674804688,40.06648254394531,0,15.102949142456055
1854,40.173519134521484,17.730857849121094,40.10002899169922,42.47137451171875,40.10165023803711,40.376922607421875,49.402809143066406,40.00296401977539,72.60774993896484,15.092634201049805
1855,40.011783599853516,18.617164611816406,40.4305534362793,40.295440673828125,40.47427749633789,40.246036529541016,46.79167938232422,40.01905822753906,57.895198822021484,15.445202827453613
1856,40.020721435546875,18.050073623657227,40.21365737915039,40.100276947021484,40.47199249267578,40.067893981933594,42.4676399230957,40.02595138549805,57.49448013305664,15.087355613708496
1857,40.02595901489258,18.120576858520508,40.198299407958984,40.01950454711914,40.19840621948242,40.33074951171875,40.38533401489258,40.027957916259766,0,15.198151588439941
1858,40.10027313232422,18.104578018188477,40.246665954589844,40.17304611206055,40.030582427978516,40.00209045410156,52.255210876464844,40.07529067993164,40.7352409362793,15.068153381347656
1859,40.10709762573242,20.546024322509766,40.36207580566406,40.03450393676758,41.12676239013672,40.588565826416016,40.0341796875,40.098304748535156,40.092201232910156,15.222681999206543
1860,40.26310348510742,18.31633186340332,40.181922912597656,40.034664154052734,40.24170684814453,40.00299072265625,40.81736373901367,40.00300216674805,40.0185546875,15.076298713684082
1861,40.00349044799805,18.82150650024414,40.03476333618164,40.099571228027344,41.89115524291992,40.04518127441406,40.23086166381836,40.02954864501953,40.02879333496094,15.01126480102539
1862,40.00210189819336,18.21892738342285,40.845069885253906,40.01832580566406,40.03457260131836,40.579341888427734,40.26084518432617,40.002220153808594,40.24085235595703,15.450336456298828
1863,40.151119232177734,18.56138801574707,40.13319396972656,40.00290298461914,40.55548858642578,40.00221252441406,41.856597900390625,40.04546356201172,40.32778549194336,16.183313369750977
1864,40.46952819824219,18.593143463134766,40.05051040649414,40.48508071899414,40.094722747802734,40.189491271972656,0,40.034854888916016,40.00185775756836,77.3260498046875
1865,40.036109924316406,18.07109832763672,40.00229263305664,40.010276794433594,40.1005973815918,40.07563781738281,40.06999206542969,40.04249572753906,40.321075439453125,15.108783721923828
1866,40.036094665527344,20.470129013061523,40.25788879394531,40.08456039428711,40.00990676879883,40.798789978027344,41.20732879638672,40.001617431640625,40.93001174926758,16.582218170166016
1867,40.78272247314453,18.886812210083008,40.403560638427734,40.036014556884766,40.384986877441406,40.296875,40.18135452270508,40.00161361694336,40.4658088684082,15.1576566696167
1868,40.035404205322266,19.390342712402344,40.00910186767578,40.746788024902344,44.78849411010742,40.15718078613281,40.15715026855469,40.13255310058594,40.027099609375,15.390854835510254
1869,42.49395751953125,22.234207153320312,169.8178253173828,40.561668395996094,43.36695861816406,0,44.72624588012695,40.203216552734375,42.607078552246094,22.605934143066406
1870,40.11635208129883,18.86409568786621,40.15057373046875,40.32238006591797,40.42536544799805,40.141170501708984,40.08448028564453,40.01789855957031,40.01849365234375,15.548500061035156
1871,40.10762023925781,18.511905670166016,40.70069122314453,40.18321228027344,40.38734436035156,40.02125549316406,40.08399963378906,40.00038528442383,40.344791412353516,15.732769966125488
1872,40.08428192138672,18.381319046020508,40.046669006347656,40.16010284423828,40.76620101928711,40.015907287597656,40.24655532836914,40.13316345214844,40.10090637207031,15.491302490234375
1873,40.02626037597656,20.317663192749023,45.744728088378906,40.03504180908203,41.657955169677734,40.19701385498047,40.143280029296875,40.12489318847656,40.50666809082031,15.298993110656738
1874,40.398719787597656,19.63417625427246,334.3485107421875,40.083377838134766,43.714080810546875,41.126583099365234,40.42822265625,40.20680618286133,40.23746871948242,17.45319938659668
1875,40.01226806640625,18.107295989990234,40.01272964477539,40.034568786621094,40.85190200805664,40.05146789550781,40.001708984375,40.04484939575195,42.32121276855469,15.092694282531738
1876,40.46033477783203,18.225690841674805,41.55046081542969,40.1158447265625,41.0026969909668,40.32061004638672,40.27133560180664,40.296607971191406,40.19709396362305,15.043642044067383
1877,40.26931381225586,18.56096076965332,41.490577697753906,40.01338195800781,40.801544189453125,40.100101470947266,40.278594970703125,40.099849700927734,40.001007080078125,15.00312614440918
1878,40.23054504394531,20.05783462524414,40.02854537963867,40.018882751464844,41.59052658081055,40.05195236206055,40.050437927246094,8.710264205932617,41.39461135864258,15.174263954162598
1879,40.51524353027344,22.80122947692871,40.377235412597656,40.350318908691406,40.001529693603516,40.00382995605469,40.15707778930664,6.105630874633789,43.53941345214844,15.026742935180664
1880,40.00228500366211,20.155908584594727,41.70625305175781,40.11125183105469,40.5887336730957,40.083412170410156,40.15957260131836,7.825691223144531,41.0796012878418,15.055299758911133
1881,40.10834884643555,20.34850311279297,40.75035095214844,40.07633972167969,40.475643157958984,40.849769592285156,40.100067138671875,5.69033670425415,46.651710510253906,15.060345649719238
1882,40.27341842651367,21.697240829467773,42.019020080566406,40.18130874633789,40.14897155761719,40.24603271484375,40.501853942871094,8.297654151916504,47.18132019042969,15.135764122009277
1883,40.050750732421875,20.660526275634766,40.45672607421875,40.027061462402344,40.13316345214844,40.197444915771484,40.89798355102539,5.5672221183776855,84.76898193359375,15.04287052154541
1884,40.013397216796875,30.96620750427246,44.66518020629883,41.02446365356445,49.316951751708984,41.36622619628906,40.79119873046875,6.78070592880249,81.03783416748047,16.78500747680664
1885,40.014225006103516,61.56869125366211,40.51435470581055,0,41.54928207397461,43.90824508666992,43.00515365600586,7.424106597900391,119.44572448730469,17.28129768371582
1886,40.86018371582031,24.9913330078125,40.408897399902344,0,41.90720748901367,40.109519958496094,40.41807174682617,5.7312517166137695,57.26416015625,15.046673774719238
1887,40.278053283691406,20.272621154785156,42.027992248535156,0,40.45296859741211,40.0696907043457,40.110023498535156,7.991494178771973,71.26905059814453,15.103272438049316
1888,40.066856384277344,23.729087829589844,46.1867790222168,0,40.158634185791016,40.034934997558594,40.053619384765625,5.046833038330078,44.74846267700195,15.01071834564209
1889,40.22971725463867,21.0296688079834,0,0,40.51475143432617,40.67815399169922,40.74643325805664,6.968899726867676,116.76766967773438,15.011338233947754
1890,40.4375,23.770423889160156,0,0,41.19880294799805,40.11637496948242,40.21813201904297,5.029942035675049,73.40325927734375,15.141056060791016
1891,40.00351333618164,21.710927963256836,0,0,40.76774978637695,40.14152526855469,40.18154525756836,40.075439453125,92.48350524902344,15.028038024902344
1892,40.00480270385742,21.05193519592285,0,0,40.09984588623047,40.066688537597656,40.067378997802734,40.266048431396484,0,15.092449188232422
1893,40.00238037109375,20.061344146728516,0,0,41.79460144042969,40.16704177856445,40.026275634765625,40.116546630859375,497.1648254394531,15.093811988830566
1894,40.05257034301758,20.30304527282715,0,0,40.52518844604492,40.1966552734375,40.18915939331055,40.078277587890625,81.99153137207031,15.076666831970215
1895,40.06837844848633,20.32670021057129,0,0,40.80683135986328,40.406829833984375,40.241180419921875,40.04262924194336,40.02082824707031,15.011505126953125
