year,CWTradKHA_03_,CWTradKHA_06_,CWTradKHA_09_,CWTradKHA_12_,CWTradKHA_14_,CWTradKHA_15_,CWTradKHA_16_,CWTradKHA_17_,CWTradKHA_19_,CWTradKHA_20_
1822,3.6280341148376465,4.28239107131958,4.207338809967041,3.946615695953369,3.944383382797241,3.6485557556152344,3.9174647331237793,0,3.9164462089538574,5.094577789306641
1823,4.4001784324646,4.385635852813721,5.034753799438477,4.445148468017578,5.058141231536865,4.3969221115112305,4.160736560821533,0,4.228954792022705,5.1023268699646
1824,3.8680191040039062,3.5952234268188477,4.116279602050781,4.396965026855469,4.075660705566406,5.441349029541016,5.062592506408691,0,3.26362681388855,4.717957019805908
1825,2.9448840618133545,2.5723094940185547,-999,5.2933430671691895,4.944982051849365,5.522778034210205,3.280597448348999,0,3.0337631702423096,3.5005764961242676
1826,3.6962428092956543,3.222263813018799,3.815499782562256,3.2577710151672363,4.396572589874268,4.173593521118164,3.5272552967071533,0,3.8364789485931396,4.4529218673706055
1827,3.411221742630005,3.4483187198638916,3.868626356124878,3.4003446102142334,4.068121433258057,4.05320405960083,3.941875696182251,0,2.9457638263702393,4.507647514343262
1828,5.08309268951416,4.390701770782471,4.663279056549072,3.8966941833496094,4.459808826446533,4.055840015411377,3.5920002460479736,0,3.433669328689575,5.138057231903076
1829,4.050992488861084,3.8839309215545654,4.035632133483887,2.9388866424560547,4.065364837646484,4.002140522003174,3.7407679557800293,0,3.3682541847229004,4.340156078338623
1830,4.279907703399658,3.83197283744812,4.304908275604248,2.721170425415039,4.604192733764648,3.1405866146087646,2.9651474952697754,0,3.7906622886657715,4.232339859008789
1831,4.144010066986084,4.24471378326416,4.193179130554199,3.6330509185791016,4.1236796379089355,3.847676992416382,-999,0,3.501192808151245,4.757505416870117
1832,3.9977364540100098,3.497455596923828,4.100188732147217,2.7626559734344482,4.154937744140625,3.51543927192688,-999,0,3.4474337100982666,4.155960559844971
1833,2.913891315460205,3.399249792098999,4.144104480743408,2.6917946338653564,3.8230371475219727,-999,-999,0,3.3715226650238037,3.865954875946045
1834,4.08096170425415,3.89037823677063,4.534281253814697,3.687584638595581,4.54684591293335,3.655747652053833,-999,3.0186638832092285,3.7540526390075684,4.79490852355957
1835,3.9875881671905518,4.195496082305908,4.364924907684326,3.5917184352874756,4.189713954925537,3.7124059200286865,-999,2.5576975345611572,3.4428346157073975,4.8924126625061035
1836,4.463354587554932,4.422893524169922,4.6080145835876465,4.091557025909424,4.585606575012207,4.049128532409668,-999,2.6199791431427,4.052786827087402,5.232778549194336
1837,2.7932326793670654,2.5665664672851562,3.2435383796691895,2.2911791801452637,3.728825807571411,4.135756969451904,-999,2.4857795238494873,3.1518683433532715,3.370404005050659
1838,3.194101572036743,3.1585376262664795,4.084084987640381,3.2769885063171387,4.339775085449219,4.423679828643799,-999,2.7495365142822266,4.024839878082275,4.548032760620117
1839,3.562723159790039,3.5253806114196777,4.014468193054199,3.022338628768921,3.9624502658843994,3.9398372173309326,-999,3.0315048694610596,3.8754756450653076,4.1120805740356445
1840,4.268610000610352,4.081995010375977,3.9093549251556396,3.6253457069396973,4.396231651306152,4.5096611976623535,-999,2.3503642082214355,4.056971549987793,4.651708126068115
1841,5.092395305633545,4.310369968414307,3.9415061473846436,4.068414688110352,3.8760879039764404,3.7678449153900146,-999,3.2271475791931152,-999,5.533895492553711
1842,4.340016841888428,4.135663032531738,4.164510250091553,3.5442886352539062,4.254002571105957,4.068152904510498,-999,3.3431806564331055,-999,4.5965375900268555
1843,4.843655109405518,3.5374834537506104,4.482978820800781,3.1536340713500977,4.759236812591553,-999,-999,3.291977882385254,-999,5.099380970001221
1844,3.963893175125122,3.5701208114624023,4.293883323669434,3.04915189743042,4.156949043273926,-999,3.6239254474639893,4.01686954498291,-999,3.9527828693389893
1845,4.23658561706543,3.7332828044891357,4.595789909362793,3.118544101715088,4.453433513641357,-999,3.6761314868927,4.302453994750977,-999,4.381365776062012
1846,4.662233352661133,4.86629581451416,4.599968910217285,3.807279109954834,4.303924560546875,-999,4.159843444824219,4.573777198791504,-999,4.707415580749512
1847,3.1780917644500732,2.734363317489624,3.7318496704101562,2.3275632858276367,4.080960750579834,-999,3.678100109100342,3.3655717372894287,-999,3.858391761779785
1848,4.2982587814331055,3.7462522983551025,3.9596569538116455,3.1858813762664795,4.031109809875488,0,3.7682316303253174,3.2474353313446045,-999,4.735700607299805
1849,2.8605830669403076,2.3667566776275635,2.974781036376953,5.069105625152588,3.8886122703552246,3.2971465587615967,3.9060451984405518,2.2981209754943848,-999,3.6252694129943848
1850,3.505760431289673,3.1403117179870605,3.7868502140045166,4.147420406341553,4.1276326179504395,3.3279335498809814,3.7742464542388916,2.3305182456970215,-999,4.564003944396973
1851,3.6028971672058105,3.626431703567505,4.2870306968688965,3.762146234512329,4.167806625366211,3.007742166519165,3.76613712310791,2.2976675033569336,-999,4.615713119506836
1852,4.241782188415527,4.255692005157471,4.136819839477539,4.522695064544678,4.22855806350708,4.952281951904297,3.6235897541046143,3.1983118057250977,-999,5.3578691482543945
1853,4.680330276489258,5.47896146774292,4.0861124992370605,3.245058536529541,4.360665798187256,5.689084053039551,3.9065651893615723,2.9920241832733154,-999,5.201833724975586
1854,3.9484024047851562,4.928028583526611,5.078740119934082,3.344681739807129,4.249568462371826,5.621109485626221,3.492431402206421,2.4981679916381836,6.180387020111084,5.070799350738525
1855,3.686161994934082,5.2261061668396,4.841411113739014,3.8366808891296387,4.682366847991943,5.727964401245117,3.445760488510132,3.028430938720703,5.342958927154541,5.010173320770264
1856,4.334633827209473,5.486583232879639,4.410235404968262,4.187407970428467,4.317877292633057,6.4217119216918945,3.061187982559204,2.8941495418548584,4.353896141052246,5.409735679626465
1857,3.7247424125671387,4.822836399078369,4.802313327789307,3.1049821376800537,4.221220970153809,5.262757778167725,3.8611273765563965,2.6419026851654053,-999,5.04019021987915
1858,3.6838951110839844,4.382935047149658,4.166446685791016,3.5964608192443848,3.926961898803711,4.801772117614746,2.7212889194488525,2.8608429431915283,4.33123779296875,4.120076656341553
1859,4.5963945388793945,4.55513334274292,4.725496292114258,4.4940595626831055,4.541440010070801,4.9085845947265625,4.234288692474365,3.310753583908081,5.1593403816223145,4.365392684936523
1860,5.027857780456543,5.272183418273926,4.407362937927246,4.568964004516602,4.5973052978515625,6.24128532409668,4.027799129486084,3.4075076580047607,4.494556427001953,5.214615345001221
1861,4.100200653076172,4.819436550140381,4.34998893737793,4.075601577758789,4.016523838043213,5.464648723602295,3.356118679046631,2.79449725151062,4.2377777099609375,3.926170825958252
1862,4.010283470153809,4.877767562866211,3.953770637512207,3.992222309112549,4.485320091247559,4.922435760498047,3.304649829864502,3.175480842590332,4.330145359039307,3.9436168670654297
1863,5.649141788482666,5.619902610778809,5.215392589569092,4.639227867126465,4.740952491760254,7.168209075927734,3.9638020992279053,3.6781885623931885,5.01321268081665,4.4605393409729
1864,4.198288917541504,5.0415263175964355,4.566354274749756,4.131810665130615,4.28890323638916,5.913859844207764,0,3.2488770484924316,4.28523063659668,3.9672393798828125
