year,KhKHA_03_,KhKHA_06_,KhKHA_09_,KhKHA_12_,KhKHA_14_,KhKHA_15_,KhKHA_16_,KhKHA_17_,KhKHA_19_,KhKHA_20_
1829,1.0379391132010783e-8,8.196438547530478e-9,6.475727631386442e-9,8.608685922727509e-9,1.6133036618317832e-9,3.852448863458185e-9,1.7187496448318812e-9,0,6.133263755018156e-9,2.203928580295273e-9
1830,4.626350430396302e-9,2.443276195468865e-10,3.865119416360029e-10,1.0672630647940814e-9,2.8002291037252805e-10,2.0160748995256407e-11,1.101575225617736e-10,0,1.7054737374592128e-9,1.4210901199384369e-9
1831,1.259146587700601e-8,6.932842404699964e-9,5.8422639002609805e-9,1.1140727416819534e-8,2.3246692204642396e-9,1.4752635116024234e-9,1.6939592287482876e-11,0,6.494488929259877e-9,3.158744907763434e-9
1832,9.75891957189037e-9,5.406425549522139e-9,5.771820569538313e-9,8.87331136684251e-9,1.336313989856835e-9,5.1787300808443156e-9,1.424858117219899e-11,0,4.256291695617508e-9,2.799263758994183e-9
1833,2.5192844553732335e-9,4.006193764575643e-9,1.4306466622555922e-10,3.826687260335474e-9,4.3159822775826373e-10,0,0,0,2.274247373684325e-9,1.4819033694842576e-9
1834,8.93950805086155e-9,6.902564539438992e-9,9.751339981276198e-9,1.1208483052475864e-8,3.787897967349626e-9,7.446120245765448e-10,0,1.3018986209267872e-11,8.411718363996035e-9,3.794151473279417e-9
1835,9.947131154051045e-9,1.2461778678322318e-8,1.7262679436486107e-8,1.0729658578798123e-8,5.822268136731209e-9,2.4841808823183108e-9,4.355082406676891e-11,2.092941036217226e-10,1.3611972168437014e-8,5.6847071700719125e-9
1836,6.921730424997426e-9,4.65631533770976e-9,9.973173416570464e-9,1.1104503388166559e-8,1.936189011489628e-9,2.3808224870583205e-9,0,3.954775561564769e-10,8.153340700176821e-9,1.7871171970346523e-9
1837,4.158622366195691e-9,2.9394218281501618e-9,2.074606346424718e-9,6.8757263301148885e-9,6.35289841768e-10,8.070646549489074e-10,3.2210182120867876e-11,2.1464145867899986e-10,3.2689362680099095e-9,7.249383693093109e-10
1838,3.0937099617774406e-9,2.3503372721974128e-9,3.786352470031492e-9,2.9732929176169398e-9,1.5619499063472196e-9,7.9777946999685e-10,1.0432407734992475e-11,3.8591075436444164e-10,4.052695297928148e-9,2.149904330798842e-9
1839,6.865509795153469e-9,3.634839058373833e-9,6.043624273100367e-9,8.24751648696978e-9,1.9958576816161816e-9,6.280440504780442e-10,5.360694347600102e-12,1.1436572585211081e-9,6.594925616910371e-9,2.664996300477853e-9
1840,7.930357526134648e-9,6.450043432290335e-9,7.58066376995762e-9,6.8893012804005904e-9,2.4811814215098247e-9,2.0576423930920855e-9,1.5663963549962812e-11,7.675035133402625e-10,1.110858996901631e-8,3.083056984646658e-9
1841,6.669295804423412e-9,2.380946479366574e-9,1.0245960747475615e-8,9.482626985827696e-9,3.157257774786878e-9,1.2640230009364847e-9,4.8247858899791295e-11,4.5536864338758817e-10,0,3.630325868484765e-9
1842,1.5523723642453157e-8,2.74956435797649e-9,1.4617890465698511e-8,1.524400053142748e-8,3.81234194586e-9,2.2279718032770773e-9,4.081088702314293e-11,1.0518282089277133e-9,0,5.6839882684022765e-9
1843,1.2295451573737759e-8,3.2726133508480568e-9,3.6326876483522586e-9,1.0598429526271842e-8,2.0978027007701477e-9,0,0,2.1136954688558514e-9,0,4.777345901584727e-9
1844,4.1172574707552966e-9,3.475752440403447e-9,6.1613599419510995e-9,6.228228611645803e-9,2.7517591363511925e-9,0,1.9649266449730455e-9,2.0245774452586566e-9,0,2.597102645401571e-9
1845,5.2453065468923644e-9,3.6711767613150523e-9,7.1076216026528005e-9,6.598855851185023e-9,3.0026566765521707e-9,0,2.363928458508026e-9,1.6230663175918006e-9,0,2.51528341869254e-9
1846,6.260293670013795e-9,4.142976668398143e-9,1.080052768337324e-8,9.422281391360895e-9,3.4852162617094456e-9,0,3.606596421946658e-9,1.9021580056724123e-9,0,3.5798152645865644e-9
1847,7.675449852603888e-9,2.6514856354566955e-9,2.7417361562643514e-9,6.371847429186176e-9,1.3625686359016732e-9,0,1.1831844774724429e-9,2.006573992667618e-9,0,4.761754045223419e-9
1848,4.924165170376857e-9,4.095691491904311e-9,3.3245856082119623e-9,7.76139590519891e-9,1.8557691538631467e-9,0,1.489164952460341e-9,3.86856716693244e-9,0,3.263640199871026e-9
1849,2.9714417632747433e-9,1.7714996684737634e-9,2.0825971858960473e-11,5.410571143361082e-9,2.879261873967525e-10,1.6029447848099922e-9,1.3838203414934057e-10,2.908685716872758e-9,0,1.029606767323953e-9
1850,8.11853482685415e-9,7.449094636903846e-9,9.304446497469744e-9,1.2965915882381825e-8,2.774228878813707e-9,9.115982823755093e-9,6.610090093298902e-9,4.611117031037988e-9,0,1.844190808862865e-9
1851,4.20293006679432e-9,3.3646984579062346e-9,5.566643609520687e-9,1.3012937674332667e-8,1.2295467396724974e-9,1.873498683288109e-9,2.194387278735554e-9,2.243120551431412e-9,0,1.3334336891825118e-9
1852,9.224421175959249e-9,7.479651320743618e-9,1.547006302329289e-8,1.6724878203321544e-8,6.819287026681403e-9,8.012650049914396e-9,8.136980509986465e-9,5.134005225843164e-9,0,4.176037521676877e-9
1853,5.135305663059315e-9,4.6217446931160735e-9,4.875082360944659e-9,8.185675746270396e-9,4.480749625748068e-9,2.930231812692103e-9,4.940883456074788e-9,5.640666480930572e-9,0,1.4685212818989814e-9
1854,1.2010668655566643e-8,5.478434369970553e-9,5.8396717836309106e-9,1.794227837385337e-8,1.0911553290661899e-8,2.5313454767478907e-9,5.38084064526068e-9,1.6966283780993784e-8,1.9054128459312188e-11,2.845156767880798e-9
1855,1.8474240529822713e-8,5.378695640740954e-9,8.178218939762594e-9,1.2973324503915988e-8,8.589626747093415e-9,3.038817091695362e-9,6.275175569398106e-9,1.0118647318540308e-8,3.9296807744818055e-10,2.1701216497235125e-9
1856,9.447953557500163e-9,3.7733253405136e-9,3.876714526456789e-9,1.2283157466024293e-8,6.893875304614377e-9,3.0432165268748027e-9,8.484558038572708e-9,1.0143193633337477e-8,1.2941297752665959e-9,2.289102339332042e-9
1857,2.366534831575323e-8,5.248183994078503e-9,8.587239360360909e-9,3.753196214135892e-8,1.2580103393631415e-8,4.807539003701586e-9,1.2112253277059263e-8,1.268064875292802e-8,0,2.687433881705626e-9
